location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
,Mnarani Beach Cottages,,Test,,0,,USD,Standard Room  Garden view  Double,,2,0,2,1,2,0.0,0.0,0.0,0.0,11/01/2026,19/12/2026
,Mnarani Beach Cottages,,Test,,0,,USD,Standard Room  Garden view  Double,,2,3,10,1,2,35.0,60.0,30.0,55.0,11/01/2026,19/12/2026
,Mnarani Beach Cottages,,Test,,0,,USD,Standard Room  Garden view  Double,,2,11,99,1,2,60.0,60.0,30.0,55.0,11/01/2026,19/12/2026
,Mnarani Beach Cottages,,Test,,0,,USD,Standard Room  Garden view  Double,,2,0,2,1,2,0.0,0.0,0.0,0.0,20/12/2026,10/01/2027
,Mnarani Beach Cottages,,Test,,0,,USD,Standard Room  Garden view  Double,,2,3,10,1,2,35.0,75.0,30.0,55.0,20/12/2026,10/01/2027
,Mnarani Beach Cottages,,Test,,0,,USD,Standard Room  Garden view  Double,,2,11,99,1,2,75.0,75.0,30.0,55.0,20/12/2026,10/01/2027
,Mnarani Beach Cottages,,Test,,0,,USD,Standard Room  Garden view Twin,,2,0,2,1,2,0.0,0.0,0.0,0.0,11/01/2026,19/12/2026
,Mnarani Beach Cottages,,Test,,0,,USD,Standard Room  Garden view Twin,,2,3,10,1,2,35.0,60.0,30.0,55.0,11/01/2026,19/12/2026
,Mnarani Beach Cottages,,Test,,0,,USD,Standard Room  Garden view Twin,,2,11,99,1,2,60.0,60.0,30.0,55.0,11/01/2026,19/12/2026
,Mnarani Beach Cottages,,Test,,0,,USD,Standard Room  Garden view Twin,,2,0,2,1,2,0.0,0.0,0.0,0.0,20/12/2026,10/01/2027
,Mnarani Beach Cottages,,Test,,0,,USD,Standard Room  Garden view Twin,,2,3,10,1,2,35.0,75.0,30.0,55.0,20/12/2026,10/01/2027
,Mnarani Beach Cottages,,Test,,0,,USD,Standard Room  Garden view Twin,,2,11,99,1,2,75.0,75.0,30.0,55.0,20/12/2026,10/01/2027
,Mnarani Beach Cottages,,Test,,0,,USD,Standard Room Sea view  Double,,2,0,2,1,2,0.0,0.0,0.0,0.0,11/01/2026,19/12/2026
,Mnarani Beach Cottages,,Test,,0,,USD,Standard Room Sea view  Double,,2,3,10,1,2,35.0,65.0,30.0,55.0,11/01/2026,19/12/2026
,Mnarani Beach Cottages,,Test,,0,,USD,Standard Room Sea view  Double,,2,11,99,1,2,65.0,65.0,30.0,55.0,11/01/2026,19/12/2026
,Mnarani Beach Cottages,,Test,,0,,USD,Standard Room Sea view  Double,,2,0,2,1,2,0.0,0.0,0.0,0.0,20/12/2026,10/01/2027
,Mnarani Beach Cottages,,Test,,0,,USD,Standard Room Sea view  Double,,2,3,10,1,2,35.0,85.0,30.0,55.0,20/12/2026,10/01/2027
,Mnarani Beach Cottages,,Test,,0,,USD,Standard Room Sea view  Double,,2,11,99,1,2,85.0,85.0,30.0,55.0,20/12/2026,10/01/2027
,Mnarani Beach Cottages,,Test,,0,,USD,Standard Room Sea view  Twin,,2,0,2,1,2,0.0,0.0,0.0,0.0,11/01/2026,19/12/2026
,Mnarani Beach Cottages,,Test,,0,,USD,Standard Room Sea view  Twin,,2,3,10,1,2,35.0,65.0,30.0,55.0,11/01/2026,19/12/2026
,Mnarani Beach Cottages,,Test,,0,,USD,Standard Room Sea view  Twin,,2,11,99,1,2,65.0,65.0,30.0,55.0,11/01/2026,19/12/2026
,Mnarani Beach Cottages,,Test,,0,,USD,Standard Room Sea view  Twin,,2,0,2,1,2,0.0,0.0,0.0,0.0,20/12/2026,10/01/2027
,Mnarani Beach Cottages,,Test,,0,,USD,Standard Room Sea view  Twin,,2,3,10,1,2,35.0,85.0,30.0,55.0,20/12/2026,10/01/2027
,Mnarani Beach Cottages,,Test,,0,,USD,Standard Room Sea view  Twin,,2,11,99,1,2,85.0,85.0,30.0,55.0,20/12/2026,10/01/2027
,Mnarani Beach Cottages,,Test,,0,,USD,Duplex Gallery  Room Double,,2,0,2,1,2,0.0,0.0,0.0,0.0,11/01/2026,19/12/2026
,Mnarani Beach Cottages,,Test,,0,,USD,Duplex Gallery  Room Double,,2,3,10,1,2,35.0,90.0,30.0,55.0,11/01/2026,19/12/2026
,Mnarani Beach Cottages,,Test,,0,,USD,Duplex Gallery  Room Double,,2,11,99,1,2,90.0,90.0,30.0,55.0,11/01/2026,19/12/2026
,Mnarani Beach Cottages,,Test,,0,,USD,Duplex Gallery  Room Double,,2,0,2,1,2,0.0,0.0,0.0,0.0,20/12/2026,10/01/2027
,Mnarani Beach Cottages,,Test,,0,,USD,Duplex Gallery  Room Double,,2,3,10,1,2,35.0,110.0,30.0,55.0,20/12/2026,10/01/2027
,Mnarani Beach Cottages,,Test,,0,,USD,Duplex Gallery  Room Double,,2,11,99,1,2,110.0,110.0,30.0,55.0,20/12/2026,10/01/2027
,Mnarani Beach Cottages,,Test,,0,,USD,Duplex Gallery  Room Triple,,3,0,2,1,3,0.0,0.0,0.0,0.0,11/01/2026,19/12/2026
,Mnarani Beach Cottages,,Test,,0,,USD,Duplex Gallery  Room Triple,,3,3,10,1,3,35.0,72.0,30.0,55.0,11/01/2026,19/12/2026
,Mnarani Beach Cottages,,Test,,0,,USD,Duplex Gallery  Room Triple,,3,11,99,1,3,72.0,72.0,30.0,55.0,11/01/2026,19/12/2026
,Mnarani Beach Cottages,,Test,,0,,USD,Duplex Gallery  Room Triple,,3,0,2,1,3,0.0,0.0,0.0,0.0,20/12/2026,10/01/2027
,Mnarani Beach Cottages,,Test,,0,,USD,Duplex Gallery  Room Triple,,3,3,10,1,3,35.0,88.0,30.0,55.0,20/12/2026,10/01/2027
,Mnarani Beach Cottages,,Test,,0,,USD,Duplex Gallery  Room Triple,,3,11,99,1,3,88.0,88.0,30.0,55.0,20/12/2026,10/01/2027
,Mnarani Beach Cottages,,Test,,0,,USD,Duplex Gallery  Room Quadruple,,4,0,2,1,4,0.0,0.0,0.0,0.0,11/01/2026,19/12/2026
,Mnarani Beach Cottages,,Test,,0,,USD,Duplex Gallery  Room Quadruple,,4,3,10,1,4,35.0,65.0,30.0,55.0,11/01/2026,19/12/2026
,Mnarani Beach Cottages,,Test,,0,,USD,Duplex Gallery  Room Quadruple,,4,11,99,1,4,65.0,65.0,30.0,55.0,11/01/2026,19/12/2026
,Mnarani Beach Cottages,,Test,,0,,USD,Duplex Gallery  Room Quadruple,,4,0,2,1,4,0.0,0.0,0.0,0.0,20/12/2026,10/01/2027
,Mnarani Beach Cottages,,Test,,0,,USD,Duplex Gallery  Room Quadruple,,4,3,10,1,4,35.0,79.25,30.0,55.0,20/12/2026,10/01/2027
,Mnarani Beach Cottages,,Test,,0,,USD,Duplex Gallery  Room Quadruple,,4,11,99,1,4,79.25,79.25,30.0,55.0,20/12/2026,10/01/2027
,Mnarani Beach Cottages,,Test,,0,,USD,Budget Room 2/3 Bedroom Apartment,,6,0,2,1,6,0.0,0.0,0.0,0.0,11/01/2026,19/12/2026
,Mnarani Beach Cottages,,Test,,0,,USD,Budget Room 2/3 Bedroom Apartment,,6,3,10,1,6,35.0,17.5,30.0,55.0,11/01/2026,19/12/2026
,Mnarani Beach Cottages,,Test,,0,,USD,Budget Room 2/3 Bedroom Apartment,,6,11,99,1,6,17.5,17.5,30.0,55.0,11/01/2026,19/12/2026
,Mnarani Beach Cottages,,Test,,0,,USD,Budget Room 2/3 Bedroom Apartment,,6,0,2,1,6,0.0,0.0,0.0,0.0,20/12/2026,10/01/2027
,Mnarani Beach Cottages,,Test,,0,,USD,Budget Room 2/3 Bedroom Apartment,,6,3,10,1,6,35.0,20.0,30.0,55.0,20/12/2026,10/01/2027
,Mnarani Beach Cottages,,Test,,0,,USD,Budget Room 2/3 Bedroom Apartment,,6,11,99,1,6,20.0,20.0,30.0,55.0,20/12/2026,10/01/2027
,Mnarani Beach Cottages,,Test,,0,,USD,Deluxe room with Sea View Double Occupancy,,2,0,2,1,2,0.0,0.0,0.0,0.0,11/01/2026,19/12/2026
,Mnarani Beach Cottages,,Test,,0,,USD,Deluxe room with Sea View Double Occupancy,,2,3,10,1,2,35.0,80.0,30.0,55.0,11/01/2026,19/12/2026
,Mnarani Beach Cottages,,Test,,0,,USD,Deluxe room with Sea View Double Occupancy,,2,11,99,1,2,80.0,80.0,30.0,55.0,11/01/2026,19/12/2026
,Mnarani Beach Cottages,,Test,,0,,USD,Deluxe room with Sea View Double Occupancy,,2,0,2,1,2,0.0,0.0,0.0,0.0,20/12/2026,10/01/2027
,Mnarani Beach Cottages,,Test,,0,,USD,Deluxe room with Sea View Double Occupancy,,2,3,10,1,2,35.0,97.5,30.0,55.0,20/12/2026,10/01/2027
,Mnarani Beach Cottages,,Test,,0,,USD,Deluxe room with Sea View Double Occupancy,,2,11,99,1,2,97.5,97.5,30.0,55.0,20/12/2026,10/01/2027
,Mnarani Beach Cottages,,Test,,0,,USD,Deluxe room with Sea View Triple Occupancy,,3,0,2,1,3,0.0,0.0,0.0,0.0,11/01/2026,19/12/2026
,Mnarani Beach Cottages,,Test,,0,,USD,Deluxe room with Sea View Triple Occupancy,,3,3,10,1,3,35.0,64.0,30.0,55.0,11/01/2026,19/12/2026
,Mnarani Beach Cottages,,Test,,0,,USD,Deluxe room with Sea View Triple Occupancy,,3,11,99,1,3,64.0,64.0,30.0,55.0,11/01/2026,19/12/2026
,Mnarani Beach Cottages,,Test,,0,,USD,Deluxe room with Sea View Triple Occupancy,,3,0,2,1,3,0.0,0.0,0.0,0.0,20/12/2026,10/01/2027
,Mnarani Beach Cottages,,Test,,0,,USD,Deluxe room with Sea View Triple Occupancy,,3,3,10,1,3,35.0,78.0,30.0,55.0,20/12/2026,10/01/2027
,Mnarani Beach Cottages,,Test,,0,,USD,Deluxe room with Sea View Triple Occupancy,,3,11,99,1,3,78.0,78.0,30.0,55.0,20/12/2026,10/01/2027
,Mnarani Beach Cottages,,Test,,0,,USD,Pent House  with Sea View Double,,2,0,2,1,2,0.0,0.0,0.0,0.0,11/01/2026,19/12/2026
,Mnarani Beach Cottages,,Test,,0,,USD,Pent House  with Sea View Double,,2,3,10,1,2,35.0,87.5,30.0,55.0,11/01/2026,19/12/2026
,Mnarani Beach Cottages,,Test,,0,,USD,Pent House  with Sea View Double,,2,11,99,1,2,87.5,87.5,30.0,55.0,11/01/2026,19/12/2026
,Mnarani Beach Cottages,,Test,,0,,USD,Pent House  with Sea View Double,,2,0,2,1,2,0.0,0.0,0.0,0.0,20/12/2026,10/01/2027
,Mnarani Beach Cottages,,Test,,0,,USD,Pent House  with Sea View Double,,2,3,10,1,2,35.0,107.5,30.0,55.0,20/12/2026,10/01/2027
,Mnarani Beach Cottages,,Test,,0,,USD,Pent House  with Sea View Double,,2,11,99,1,2,107.5,107.5,30.0,55.0,20/12/2026,10/01/2027
,Mnarani Beach Cottages,,Test,,0,,USD,Luxury  Suite Double Occupancy,,2,0,2,1,2,0.0,0.0,0.0,0.0,11/01/2026,19/12/2026
,Mnarani Beach Cottages,,Test,,0,,USD,Luxury  Suite Double Occupancy,,2,3,10,1,2,35.0,122.5,30.0,55.0,11/01/2026,19/12/2026
,Mnarani Beach Cottages,,Test,,0,,USD,Luxury  Suite Double Occupancy,,2,11,99,1,2,122.5,122.5,30.0,55.0,11/01/2026,19/12/2026
,Mnarani Beach Cottages,,Test,,0,,USD,Luxury  Suite Double Occupancy,,2,0,2,1,2,0.0,0.0,0.0,0.0,20/12/2026,10/01/2027
,Mnarani Beach Cottages,,Test,,0,,USD,Luxury  Suite Double Occupancy,,2,3,10,1,2,35.0,145.0,30.0,55.0,20/12/2026,10/01/2027
,Mnarani Beach Cottages,,Test,,0,,USD,Luxury  Suite Double Occupancy,,2,11,99,1,2,145.0,145.0,30.0,55.0,20/12/2026,10/01/2027
,Mnarani Beach Cottages,,Test,,0,,USD,Superior with sea view Double Occupancy,,2,0,2,1,2,0.0,0.0,0.0,0.0,11/01/2026,19/12/2026
,Mnarani Beach Cottages,,Test,,0,,USD,Superior with sea view Double Occupancy,,2,3,10,1,2,35.0,97.5,30.0,55.0,11/01/2026,19/12/2026
,Mnarani Beach Cottages,,Test,,0,,USD,Superior with sea view Double Occupancy,,2,11,99,1,2,97.5,97.5,30.0,55.0,11/01/2026,19/12/2026
,Mnarani Beach Cottages,,Test,,0,,USD,Superior with sea view Double Occupancy,,2,0,2,1,2,0.0,0.0,0.0,0.0,20/12/2026,10/01/2027
,Mnarani Beach Cottages,,Test,,0,,USD,Superior with sea view Double Occupancy,,2,3,10,1,2,35.0,112.5,30.0,55.0,20/12/2026,10/01/2027
,Mnarani Beach Cottages,,Test,,0,,USD,Superior with sea view Double Occupancy,,2,11,99,1,2,112.5,112.5,30.0,55.0,20/12/2026,10/01/2027
,Mnarani Beach Cottages,,Test,,0,,USD,Superior with sea view Twin Occupancy,,2,0,2,1,2,0.0,0.0,0.0,0.0,11/01/2026,19/12/2026
,Mnarani Beach Cottages,,Test,,0,,USD,Superior with sea view Twin Occupancy,,2,3,10,1,2,35.0,97.5,30.0,55.0,11/01/2026,19/12/2026
,Mnarani Beach Cottages,,Test,,0,,USD,Superior with sea view Twin Occupancy,,2,11,99,1,2,97.5,97.5,30.0,55.0,11/01/2026,19/12/2026
,Mnarani Beach Cottages,,Test,,0,,USD,Superior with sea view Twin Occupancy,,2,0,2,1,2,0.0,0.0,0.0,0.0,20/12/2026,10/01/2027
,Mnarani Beach Cottages,,Test,,0,,USD,Superior with sea view Twin Occupancy,,2,3,10,1,2,35.0,112.5,30.0,55.0,20/12/2026,10/01/2027
,Mnarani Beach Cottages,,Test,,0,,USD,Superior with sea view Twin Occupancy,,2,11,99,1,2,112.5,112.5,30.0,55.0,20/12/2026,10/01/2027
,Mnarani Beach Cottages,,Test,,0,,USD,Superior with sea view Triple Occupancy,,3,0,2,1,3,0.0,0.0,0.0,0.0,11/01/2026,19/12/2026
,Mnarani Beach Cottages,,Test,,0,,USD,Superior with sea view Triple Occupancy,,3,3,10,1,3,35.0,78.33,30.0,55.0,11/01/2026,19/12/2026
,Mnarani Beach Cottages,,Test,,0,,USD,Superior with sea view Triple Occupancy,,3,11,99,1,3,78.33,78.33,30.0,55.0,11/01/2026,19/12/2026
,Mnarani Beach Cottages,,Test,,0,,USD,Superior with sea view Triple Occupancy,,3,0,2,1,3,0.0,0.0,0.0,0.0,20/12/2026,10/01/2027
,Mnarani Beach Cottages,,Test,,0,,USD,Superior with sea view Triple Occupancy,,3,3,10,1,3,35.0,90.0,30.0,55.0,20/12/2026,10/01/2027
,Mnarani Beach Cottages,,Test,,0,,USD,Superior with sea view Triple Occupancy,,3,11,99,1,3,90.0,90.0,30.0,55.0,20/12/2026,10/01/2027
