location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
,Turaco Nungwe Resort,,Test,,0,,USD,Garden View  Double Occupancy,,2,0,5,1,2,28.75,115.0,0.0,25.0,01/03/2026,31/03/2026
,Turaco Nungwe Resort,,Test,,0,,USD,Garden View  Double Occupancy,,2,6,12,1,2,57.5,115.0,0.0,25.0,01/03/2026,31/03/2026
,Turaco Nungwe Resort,,Test,,0,,USD,Garden View  Double Occupancy,,2,13,99,1,2,115.0,115.0,0.0,25.0,01/03/2026,31/03/2026
,Turaco Nungwe Resort,,Test,,0,,USD,Garden View  Double Occupancy,,2,0,5,1,2,21.25,85.0,0.0,25.0,01/04/2026,31/05/2026
,Turaco Nungwe Resort,,Test,,0,,USD,Garden View  Double Occupancy,,2,6,12,1,2,42.5,85.0,0.0,25.0,01/04/2026,31/05/2026
,Turaco Nungwe Resort,,Test,,0,,USD,Garden View  Double Occupancy,,2,13,99,1,2,85.0,85.0,0.0,25.0,01/04/2026,31/05/2026
,Turaco Nungwe Resort,,Test,,0,,USD,Garden View  Double Occupancy,,2,0,5,1,2,25.0,100.0,0.0,25.0,01/06/2026,30/06/2026
,Turaco Nungwe Resort,,Test,,0,,USD,Garden View  Double Occupancy,,2,6,12,1,2,50.0,100.0,0.0,25.0,01/06/2026,30/06/2026
,Turaco Nungwe Resort,,Test,,0,,USD,Garden View  Double Occupancy,,2,13,99,1,2,100.0,100.0,0.0,25.0,01/06/2026,30/06/2026
,Turaco Nungwe Resort,,Test,,0,,USD,Garden View  Double Occupancy,,2,0,5,1,2,33.75,135.0,0.0,25.0,01/07/2026,31/07/2026
,Turaco Nungwe Resort,,Test,,0,,USD,Garden View  Double Occupancy,,2,6,12,1,2,67.5,135.0,0.0,25.0,01/07/2026,31/07/2026
,Turaco Nungwe Resort,,Test,,0,,USD,Garden View  Double Occupancy,,2,13,99,1,2,135.0,135.0,0.0,25.0,01/07/2026,31/07/2026
,Turaco Nungwe Resort,,Test,,0,,USD,Garden View  Double Occupancy,,2,0,5,1,2,40.0,160.0,0.0,25.0,01/08/2026,31/08/2026
,Turaco Nungwe Resort,,Test,,0,,USD,Garden View  Double Occupancy,,2,6,12,1,2,80.0,160.0,0.0,25.0,01/08/2026,31/08/2026
,Turaco Nungwe Resort,,Test,,0,,USD,Garden View  Double Occupancy,,2,13,99,1,2,160.0,160.0,0.0,25.0,01/08/2026,31/08/2026
,Turaco Nungwe Resort,,Test,,0,,USD,Garden View  Double Occupancy,,2,0,5,1,2,33.75,135.0,0.0,25.0,01/09/2026,30/09/2026
,Turaco Nungwe Resort,,Test,,0,,USD,Garden View  Double Occupancy,,2,6,12,1,2,67.5,135.0,0.0,25.0,01/09/2026,30/09/2026
,Turaco Nungwe Resort,,Test,,0,,USD,Garden View  Double Occupancy,,2,13,99,1,2,135.0,135.0,0.0,25.0,01/09/2026,30/09/2026
,Turaco Nungwe Resort,,Test,,0,,USD,Garden View  Double Occupancy,,2,0,5,1,2,35.0,140.0,0.0,25.0,01/10/2026,31/10/2026
,Turaco Nungwe Resort,,Test,,0,,USD,Garden View  Double Occupancy,,2,6,12,1,2,70.0,140.0,0.0,25.0,01/10/2026,31/10/2026
,Turaco Nungwe Resort,,Test,,0,,USD,Garden View  Double Occupancy,,2,13,99,1,2,140.0,140.0,0.0,25.0,01/10/2026,31/10/2026
,Turaco Nungwe Resort,,Test,,0,,USD,Garden View  Double Occupancy,,2,0,5,1,2,32.5,130.0,0.0,25.0,01/11/2026,21/12/2026
,Turaco Nungwe Resort,,Test,,0,,USD,Garden View  Double Occupancy,,2,6,12,1,2,65.0,130.0,0.0,25.0,01/11/2026,21/12/2026
,Turaco Nungwe Resort,,Test,,0,,USD,Garden View  Double Occupancy,,2,13,99,1,2,130.0,130.0,0.0,25.0,01/11/2026,21/12/2026
,Turaco Nungwe Resort,,Test,,0,,USD,Garden View  Double Occupancy,,2,0,5,1,2,53.75,215.0,0.0,25.0,22/12/2026,05/01/2027
,Turaco Nungwe Resort,,Test,,0,,USD,Garden View  Double Occupancy,,2,6,12,1,2,107.5,215.0,0.0,25.0,22/12/2026,05/01/2027
,Turaco Nungwe Resort,,Test,,0,,USD,Garden View  Double Occupancy,,2,13,99,1,2,215.0,215.0,0.0,25.0,22/12/2026,05/01/2027
,Turaco Nungwe Resort,,Test,,0,,USD,Garden View  Double Occupancy,,2,0,5,1,2,40.0,160.0,0.0,25.0,06/01/2027,28/02/2027
,Turaco Nungwe Resort,,Test,,0,,USD,Garden View  Double Occupancy,,2,6,12,1,2,80.0,160.0,0.0,25.0,06/01/2027,28/02/2027
,Turaco Nungwe Resort,,Test,,0,,USD,Garden View  Double Occupancy,,2,13,99,1,2,160.0,160.0,0.0,25.0,06/01/2027,28/02/2027
,Turaco Nungwe Resort,,Test,,0,,USD,Garden View  Double Occupancy,,2,0,5,1,2,30.0,120.0,0.0,25.0,01/03/2027,31/03/2027
,Turaco Nungwe Resort,,Test,,0,,USD,Garden View  Double Occupancy,,2,6,12,1,2,60.0,120.0,0.0,25.0,01/03/2027,31/03/2027
,Turaco Nungwe Resort,,Test,,0,,USD,Garden View  Double Occupancy,,2,13,99,1,2,120.0,120.0,0.0,25.0,01/03/2027,31/03/2027
,Turaco Nungwe Resort,,Test,,0,,USD,Garden View  Single Occupancy,,1,0,5,1,1,48.88,0.0,0.0,25.0,01/03/2026,31/03/2026
,Turaco Nungwe Resort,,Test,,0,,USD,Garden View  Single Occupancy,,1,6,12,1,1,97.75,0.0,0.0,25.0,01/03/2026,31/03/2026
,Turaco Nungwe Resort,,Test,,0,,USD,Garden View  Single Occupancy,,1,13,99,1,1,195.5,0.0,0.0,25.0,01/03/2026,31/03/2026
,Turaco Nungwe Resort,,Test,,0,,USD,Garden View  Single Occupancy,,1,0,5,1,1,36.12,0.0,0.0,25.0,01/04/2026,31/05/2026
,Turaco Nungwe Resort,,Test,,0,,USD,Garden View  Single Occupancy,,1,6,12,1,1,72.25,0.0,0.0,25.0,01/04/2026,31/05/2026
,Turaco Nungwe Resort,,Test,,0,,USD,Garden View  Single Occupancy,,1,13,99,1,1,144.5,0.0,0.0,25.0,01/04/2026,31/05/2026
,Turaco Nungwe Resort,,Test,,0,,USD,Garden View  Single Occupancy,,1,0,5,1,1,42.5,0.0,0.0,25.0,01/06/2026,30/06/2026
,Turaco Nungwe Resort,,Test,,0,,USD,Garden View  Single Occupancy,,1,6,12,1,1,85.0,0.0,0.0,25.0,01/06/2026,30/06/2026
,Turaco Nungwe Resort,,Test,,0,,USD,Garden View  Single Occupancy,,1,13,99,1,1,170.0,0.0,0.0,25.0,01/06/2026,30/06/2026
,Turaco Nungwe Resort,,Test,,0,,USD,Garden View  Single Occupancy,,1,0,5,1,1,57.38,0.0,0.0,25.0,01/07/2026,31/07/2026
,Turaco Nungwe Resort,,Test,,0,,USD,Garden View  Single Occupancy,,1,6,12,1,1,114.75,0.0,0.0,25.0,01/07/2026,31/07/2026
,Turaco Nungwe Resort,,Test,,0,,USD,Garden View  Single Occupancy,,1,13,99,1,1,229.5,0.0,0.0,25.0,01/07/2026,31/07/2026
,Turaco Nungwe Resort,,Test,,0,,USD,Garden View  Single Occupancy,,1,0,5,1,1,68.12,0.0,0.0,25.0,01/08/2026,31/08/2026
,Turaco Nungwe Resort,,Test,,0,,USD,Garden View  Single Occupancy,,1,6,12,1,1,136.25,0.0,0.0,25.0,01/08/2026,31/08/2026
,Turaco Nungwe Resort,,Test,,0,,USD,Garden View  Single Occupancy,,1,13,99,1,1,272.5,0.0,0.0,25.0,01/08/2026,31/08/2026
,Turaco Nungwe Resort,,Test,,0,,USD,Garden View  Single Occupancy,,1,0,5,1,1,57.38,0.0,0.0,25.0,01/09/2026,30/09/2026
,Turaco Nungwe Resort,,Test,,0,,USD,Garden View  Single Occupancy,,1,6,12,1,1,114.75,0.0,0.0,25.0,01/09/2026,30/09/2026
,Turaco Nungwe Resort,,Test,,0,,USD,Garden View  Single Occupancy,,1,13,99,1,1,229.5,0.0,0.0,25.0,01/09/2026,30/09/2026
,Turaco Nungwe Resort,,Test,,0,,USD,Garden View  Single Occupancy,,1,0,5,1,1,59.5,0.0,0.0,25.0,01/10/2026,31/10/2026
,Turaco Nungwe Resort,,Test,,0,,USD,Garden View  Single Occupancy,,1,6,12,1,1,119.0,0.0,0.0,25.0,01/10/2026,31/10/2026
,Turaco Nungwe Resort,,Test,,0,,USD,Garden View  Single Occupancy,,1,13,99,1,1,238.0,0.0,0.0,25.0,01/10/2026,31/10/2026
,Turaco Nungwe Resort,,Test,,0,,USD,Garden View  Single Occupancy,,1,0,5,1,1,55.25,0.0,0.0,25.0,01/11/2026,21/12/2026
