location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
,Under the shade safari lodge,,test,,0,,USD,Standard Single Room,,1,0,5,1,1,0.0,0.0,0.0,0.0,01/01/2027,31/12/2028
,Under the shade safari lodge,,test,,0,,USD,Standard Single Room,,1,6,11,1,1,75.0,0.0,10.0,20.0,01/01/2027,31/12/2028
,Under the shade safari lodge,,test,,0,,USD,Standard Single Room,,1,12,99,1,1,150.0,0.0,20.0,40.0,01/01/2027,31/12/2028
,Under the shade safari lodge,,test,,0,,USD,Standard Double Room,,2,0,5,1,2,0.0,0.0,0.0,0.0,01/01/2027,31/12/2028
,Under the shade safari lodge,,test,,0,,USD,Standard Double Room,,2,6,11,1,2,40.0,80.0,10.0,20.0,01/01/2027,31/12/2028
,Under the shade safari lodge,,test,,0,,USD,Standard Double Room,,2,12,99,1,2,80.0,80.0,20.0,40.0,01/01/2027,31/12/2028
,Under the shade safari lodge,,test,,0,,USD,Standard Twin Room,,2,0,5,1,2,0.0,0.0,0.0,0.0,01/01/2027,31/12/2028
,Under the shade safari lodge,,test,,0,,USD,Standard Twin Room,,2,6,11,1,2,40.0,80.0,10.0,20.0,01/01/2027,31/12/2028
,Under the shade safari lodge,,test,,0,,USD,Standard Twin Room,,2,12,99,1,2,80.0,80.0,20.0,40.0,01/01/2027,31/12/2028
,Under the shade safari lodge,,test,,0,,USD,Standard Triple Chalet,,3,0,5,1,3,0.0,0.0,0.0,0.0,01/01/2027,31/12/2028
,Under the shade safari lodge,,test,,0,,USD,Standard Triple Chalet,,3,6,11,1,3,30.0,60.0,10.0,20.0,01/01/2027,31/12/2028
,Under the shade safari lodge,,test,,0,,USD,Standard Triple Chalet,,3,12,99,1,3,60.0,60.0,20.0,40.0,01/01/2027,31/12/2028
,Under the shade safari lodge,,test,,0,,USD,Family Room,,4,0,5,1,4,0.0,0.0,0.0,0.0,01/01/2027,31/12/2028
,Under the shade safari lodge,,test,,0,,USD,Family Room,,4,6,11,1,4,27.5,55.0,10.0,20.0,01/01/2027,31/12/2028
,Under the shade safari lodge,,test,,0,,USD,Family Room,,4,12,99,1,4,55.0,55.0,20.0,40.0,01/01/2027,31/12/2028
,Under the shade safari lodge,,test,,0,,USD,Standard Single Chalet,,1,0,5,1,1,0.0,0.0,0.0,0.0,01/01/2027,31/12/2028
,Under the shade safari lodge,,test,,0,,USD,Standard Single Chalet,,1,6,11,1,1,80.0,0.0,10.0,20.0,01/01/2027,31/12/2028
,Under the shade safari lodge,,test,,0,,USD,Standard Single Chalet,,1,12,99,1,1,160.0,0.0,20.0,40.0,01/01/2027,31/12/2028
,Under the shade safari lodge,,test,,0,,USD,Standard Double Chalet,,2,0,5,1,2,0.0,0.0,0.0,0.0,01/01/2027,31/12/2028
,Under the shade safari lodge,,test,,0,,USD,Standard Double Chalet,,2,6,11,1,2,42.5,85.0,10.0,20.0,01/01/2027,31/12/2028
,Under the shade safari lodge,,test,,0,,USD,Standard Double Chalet,,2,12,99,1,2,85.0,85.0,20.0,40.0,01/01/2027,31/12/2028
,Under the shade safari lodge,,test,,0,,USD,Standard Twin Chalet,,2,0,5,1,2,0.0,0.0,0.0,0.0,01/01/2027,31/12/2028
,Under the shade safari lodge,,test,,0,,USD,Standard Twin Chalet,,2,6,11,1,2,42.5,85.0,10.0,20.0,01/01/2027,31/12/2028
,Under the shade safari lodge,,test,,0,,USD,Standard Twin Chalet,,2,12,99,1,2,85.0,85.0,20.0,40.0,01/01/2027,31/12/2028
,Under the shade safari lodge,,test,,0,,USD,Single Deluxe Room,,1,0,5,1,1,0.0,0.0,0.0,0.0,01/01/2027,31/12/2028
,Under the shade safari lodge,,test,,0,,USD,Single Deluxe Room,,1,6,11,1,1,80.0,0.0,10.0,20.0,01/01/2027,31/12/2028
,Under the shade safari lodge,,test,,0,,USD,Single Deluxe Room,,1,12,99,1,1,160.0,0.0,20.0,40.0,01/01/2027,31/12/2028
,Under the shade safari lodge,,test,,0,,USD,Double Deluxe Room,,2,0,5,1,2,0.0,0.0,0.0,0.0,01/01/2027,31/12/2028
,Under the shade safari lodge,,test,,0,,USD,Double Deluxe Room,,2,6,11,1,2,42.5,85.0,10.0,20.0,01/01/2027,31/12/2028
,Under the shade safari lodge,,test,,0,,USD,Double Deluxe Room,,2,12,99,1,2,85.0,85.0,20.0,40.0,01/01/2027,31/12/2028
,Under the shade safari lodge,,test,,0,,USD,Super Single Deluxe Room,,1,0,5,1,1,0.0,0.0,0.0,0.0,01/01/2027,31/12/2028
,Under the shade safari lodge,,test,,0,,USD,Super Single Deluxe Room,,1,6,11,1,1,90.0,0.0,10.0,20.0,01/01/2027,31/12/2028
,Under the shade safari lodge,,test,,0,,USD,Super Single Deluxe Room,,1,12,99,1,1,180.0,0.0,20.0,40.0,01/01/2027,31/12/2028
,Under the shade safari lodge,,test,,0,,USD,Super Double Deluxe Room,,2,0,5,1,2,0.0,0.0,0.0,0.0,01/01/2027,31/12/2028
,Under the shade safari lodge,,test,,0,,USD,Super Double Deluxe Room,,2,6,11,1,2,47.5,95.0,10.0,20.0,01/01/2027,31/12/2028
,Under the shade safari lodge,,test,,0,,USD,Super Double Deluxe Room,,2,12,99,1,2,95.0,95.0,20.0,40.0,01/01/2027,31/12/2028
,Under the shade safari lodge,,test,,0,,USD,Luxury Suite Single,,1,0,5,1,1,0.0,0.0,0.0,0.0,01/01/2027,31/12/2028
,Under the shade safari lodge,,test,,0,,USD,Luxury Suite Single,,1,6,11,1,1,100.0,0.0,10.0,20.0,01/01/2027,31/12/2028
,Under the shade safari lodge,,test,,0,,USD,Luxury Suite Single,,1,12,99,1,1,200.0,0.0,20.0,40.0,01/01/2027,31/12/2028
,Under the shade safari lodge,,test,,0,,USD,Luxury Suite Double,,2,0,5,1,2,0.0,0.0,0.0,0.0,01/01/2027,31/12/2028
,Under the shade safari lodge,,test,,0,,USD,Luxury Suite Double,,2,6,11,1,2,55.0,110.0,10.0,20.0,01/01/2027,31/12/2028
,Under the shade safari lodge,,test,,0,,USD,Luxury Suite Double,,2,12,99,1,2,110.0,110.0,20.0,40.0,01/01/2027,31/12/2028
,Under the shade safari lodge,,test,,0,,USD,Family Suite Chalet With Pool,,4,0,5,1,4,0.0,0.0,0.0,0.0,01/01/2027,31/12/2028
,Under the shade safari lodge,,test,,0,,USD,Family Suite Chalet With Pool,,4,6,11,1,4,39.38,78.75,10.0,20.0,01/01/2027,31/12/2028
,Under the shade safari lodge,,test,,0,,USD,Family Suite Chalet With Pool,,4,12,99,1,4,78.75,78.75,20.0,40.0,01/01/2027,31/12/2028
