location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
,Forest Hill Hotel 2027,,Test,,0,,USD,Single Room,,1,1,3,1,1,0.0,0.0,0.0,0.0,01/01/2027,31/12/2027
,Forest Hill Hotel 2027,,Test,,0,,USD,Single Room,,1,4,12,1,1,65.0,0.0,10.0,20.0,01/01/2027,31/12/2027
,Forest Hill Hotel 2027,,Test,,0,,USD,Single Room,,1,13,99,1,1,130.0,0.0,20.0,40.0,01/01/2027,31/12/2027
,Forest Hill Hotel 2027,,Test,,0,,USD,Double Room,,2,1,3,1,2,0.0,0.0,0.0,0.0,01/01/2027,31/12/2027
,Forest Hill Hotel 2027,,Test,,0,,USD,Double Room,,2,4,12,1,2,42.5,85.0,10.0,20.0,01/01/2027,31/12/2027
,Forest Hill Hotel 2027,,Test,,0,,USD,Double Room,,2,13,99,1,2,85.0,85.0,20.0,40.0,01/01/2027,31/12/2027
,Forest Hill Hotel 2027,,Test,,0,,USD,Twin Room,,2,1,3,1,2,0.0,0.0,0.0,0.0,01/01/2027,31/12/2027
,Forest Hill Hotel 2027,,Test,,0,,USD,Twin Room,,2,4,12,1,2,42.5,85.0,10.0,20.0,01/01/2027,31/12/2027
,Forest Hill Hotel 2027,,Test,,0,,USD,Twin Room,,2,13,99,1,2,85.0,85.0,20.0,40.0,01/01/2027,31/12/2027
,Forest Hill Hotel 2027,,Test,,0,,USD,Triple Room,,3,1,3,1,3,0.0,0.0,0.0,0.0,01/01/2027,31/12/2027
,Forest Hill Hotel 2027,,Test,,0,,USD,Triple Room,,3,4,12,1,3,33.34,66.67,10.0,20.0,01/01/2027,31/12/2027
,Forest Hill Hotel 2027,,Test,,0,,USD,Triple Room,,3,13,99,1,3,66.67,66.67,20.0,40.0,01/01/2027,31/12/2027
