location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
,Gran Melia Arusha 2027,,Test,,0,,USD,Deluxe City View Room( Single),,1,0,3,1,1,0.0,0.0,0.0,0.0,04/01/2027,28/02/2027
,Gran Melia Arusha 2027,,Test,,0,,USD,Deluxe City View Room( Single),,1,4,11,1,1,132.5,0.0,35.0,70.0,04/01/2027,28/02/2027
,Gran Melia Arusha 2027,,Test,,0,,USD,Deluxe City View Room( Single),,1,12,99,1,1,265.0,0.0,35.0,70.0,04/01/2027,28/02/2027
,Gran Melia Arusha 2027,,Test,,0,,USD,Deluxe City View Room( Single),,1,0,3,1,1,0.0,0.0,0.0,0.0,01/03/2027,31/03/2027
,Gran Melia Arusha 2027,,Test,,0,,USD,Deluxe City View Room( Single),,1,4,11,1,1,120.0,0.0,35.0,70.0,01/03/2027,31/03/2027
,Gran Melia Arusha 2027,,Test,,0,,USD,Deluxe City View Room( Single),,1,12,99,1,1,240.0,0.0,35.0,70.0,01/03/2027,31/03/2027
,Gran Melia Arusha 2027,,Test,,0,,USD,Deluxe City View Room( Single),,1,0,3,1,1,0.0,0.0,0.0,0.0,01/04/2027,31/05/2027
,Gran Melia Arusha 2027,,Test,,0,,USD,Deluxe City View Room( Single),,1,4,11,1,1,102.5,0.0,35.0,70.0,01/04/2027,31/05/2027
,Gran Melia Arusha 2027,,Test,,0,,USD,Deluxe City View Room( Single),,1,12,99,1,1,205.0,0.0,35.0,70.0,01/04/2027,31/05/2027
,Gran Melia Arusha 2027,,Test,,0,,USD,Deluxe City View Room( Single),,1,0,3,1,1,0.0,0.0,0.0,0.0,01/06/2027,31/08/2027
,Gran Melia Arusha 2027,,Test,,0,,USD,Deluxe City View Room( Single),,1,4,11,1,1,165.0,0.0,35.0,70.0,01/06/2027,31/08/2027
,Gran Melia Arusha 2027,,Test,,0,,USD,Deluxe City View Room( Single),,1,12,99,1,1,330.0,0.0,35.0,70.0,01/06/2027,31/08/2027
,Gran Melia Arusha 2027,,Test,,0,,USD,Deluxe City View Room( Single),,1,0,3,1,1,0.0,0.0,0.0,0.0,01/09/2027,31/10/2027
,Gran Melia Arusha 2027,,Test,,0,,USD,Deluxe City View Room( Single),,1,4,11,1,1,132.5,0.0,35.0,70.0,01/09/2027,31/10/2027
,Gran Melia Arusha 2027,,Test,,0,,USD,Deluxe City View Room( Single),,1,12,99,1,1,265.0,0.0,35.0,70.0,01/09/2027,31/10/2027
,Gran Melia Arusha 2027,,Test,,0,,USD,Deluxe City View Room( Single),,1,0,3,1,1,0.0,0.0,0.0,0.0,01/11/2027,20/12/2027
,Gran Melia Arusha 2027,,Test,,0,,USD,Deluxe City View Room( Single),,1,4,11,1,1,120.0,0.0,35.0,70.0,01/11/2027,20/12/2027
,Gran Melia Arusha 2027,,Test,,0,,USD,Deluxe City View Room( Single),,1,12,99,1,1,240.0,0.0,35.0,70.0,01/11/2027,20/12/2027
,Gran Melia Arusha 2027,,Test,,0,,USD,Deluxe City View Room( Single),,1,0,3,1,1,0.0,0.0,0.0,0.0,21/12/2027,03/01/2028
,Gran Melia Arusha 2027,,Test,,0,,USD,Deluxe City View Room( Single),,1,4,11,1,1,165.0,0.0,35.0,70.0,21/12/2027,03/01/2028
,Gran Melia Arusha 2027,,Test,,0,,USD,Deluxe City View Room( Single),,1,12,99,1,1,330.0,0.0,35.0,70.0,21/12/2027,03/01/2028
,Gran Melia Arusha 2027,,Test,,0,,USD,Deluxe City View Room( Double),,2,0,3,1,2,0.0,0.0,0.0,0.0,04/01/2027,28/02/2027
,Gran Melia Arusha 2027,,Test,,0,,USD,Deluxe City View Room( Double),,2,4,11,1,2,83.75,167.5,35.0,70.0,04/01/2027,28/02/2027
,Gran Melia Arusha 2027,,Test,,0,,USD,Deluxe City View Room( Double),,2,12,99,1,2,167.5,167.5,35.0,70.0,04/01/2027,28/02/2027
,Gran Melia Arusha 2027,,Test,,0,,USD,Deluxe City View Room( Double),,2,0,3,1,2,0.0,0.0,0.0,0.0,01/03/2027,31/03/2027
,Gran Melia Arusha 2027,,Test,,0,,USD,Deluxe City View Room( Double),,2,4,11,1,2,82.5,165.0,35.0,70.0,01/03/2027,31/03/2027
,Gran Melia Arusha 2027,,Test,,0,,USD,Deluxe City View Room( Double),,2,12,99,1,2,165.0,165.0,35.0,70.0,01/03/2027,31/03/2027
,Gran Melia Arusha 2027,,Test,,0,,USD,Deluxe City View Room( Double),,2,0,3,1,2,0.0,0.0,0.0,0.0,01/04/2027,31/05/2027
,Gran Melia Arusha 2027,,Test,,0,,USD,Deluxe City View Room( Double),,2,4,11,1,2,63.75,127.5,35.0,70.0,01/04/2027,31/05/2027
,Gran Melia Arusha 2027,,Test,,0,,USD,Deluxe City View Room( Double),,2,12,99,1,2,127.5,127.5,35.0,70.0,01/04/2027,31/05/2027
,Gran Melia Arusha 2027,,Test,,0,,USD,Deluxe City View Room( Double),,2,0,3,1,2,0.0,0.0,0.0,0.0,01/06/2027,31/08/2027
,Gran Melia Arusha 2027,,Test,,0,,USD,Deluxe City View Room( Double),,2,4,11,1,2,102.5,205.0,35.0,70.0,01/06/2027,31/08/2027
,Gran Melia Arusha 2027,,Test,,0,,USD,Deluxe City View Room( Double),,2,12,99,1,2,205.0,205.0,35.0,70.0,01/06/2027,31/08/2027
,Gran Melia Arusha 2027,,Test,,0,,USD,Deluxe City View Room( Double),,2,0,3,1,2,0.0,0.0,0.0,0.0,01/09/2027,31/10/2027
