location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
,Ang'ata Tarangire Camp 2027,,Test,,0,,USD,Single Room,,1,0,99,1,1,355.0,0.0,0.0,0.0,01/01/2027,31/03/2027
,Ang'ata Tarangire Camp 2027,,Test,,0,,USD,Single Room,,1,0,99,1,1,310.0,0.0,0.0,0.0,01/04/2027,14/06/2027
,Ang'ata Tarangire Camp 2027,,Test,,0,,USD,Single Room,,1,0,99,1,1,355.0,0.0,0.0,0.0,15/06/2027,14/09/2027
,Ang'ata Tarangire Camp 2027,,Test,,0,,USD,Single Room,,1,0,99,1,1,310.0,0.0,0.0,0.0,15/09/2027,09/12/2027
,Ang'ata Tarangire Camp 2027,,Test,,0,,USD,Single Room,,1,0,99,1,1,355.0,0.0,0.0,0.0,10/12/2027,31/12/2027
,Ang'ata Tarangire Camp 2027,,Test,,0,,USD,Double Room,,2,0,99,1,2,207.5,207.5,0.0,0.0,01/01/2027,31/03/2027
,Ang'ata Tarangire Camp 2027,,Test,,0,,USD,Double Room,,2,0,99,1,2,195.0,195.0,0.0,0.0,01/04/2027,14/06/2027
,Ang'ata Tarangire Camp 2027,,Test,,0,,USD,Double Room,,2,0,99,1,2,207.5,207.5,0.0,0.0,15/06/2027,14/09/2027
,Ang'ata Tarangire Camp 2027,,Test,,0,,USD,Double Room,,2,0,99,1,2,195.0,195.0,0.0,0.0,15/09/2027,09/12/2027
,Ang'ata Tarangire Camp 2027,,Test,,0,,USD,Double Room,,2,0,99,1,2,207.5,207.5,0.0,0.0,10/12/2027,31/12/2027
,Ang'ata Tarangire Camp 2027,,Test,,0,,USD,Triple Room,,3,0,99,1,3,171.67,171.67,0.0,0.0,01/01/2027,31/03/2027
,Ang'ata Tarangire Camp 2027,,Test,,0,,USD,Triple Room,,3,0,99,1,3,153.33,153.33,0.0,0.0,01/04/2027,14/06/2027
,Ang'ata Tarangire Camp 2027,,Test,,0,,USD,Triple Room,,3,0,99,1,3,171.67,171.67,0.0,0.0,15/06/2027,14/09/2027
,Ang'ata Tarangire Camp 2027,,Test,,0,,USD,Triple Room,,3,0,99,1,3,153.33,153.33,0.0,0.0,15/09/2027,09/12/2027
,Ang'ata Tarangire Camp 2027,,Test,,0,,USD,Triple Room,,3,0,99,1,3,171.67,171.67,0.0,0.0,10/12/2027,31/12/2027
