location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
,Elephant  Lair Camp 2027,,Test,,0,,USD,Deluxe Tent Single Room,,1,0,2,1,1,0.0,0.0,0.0,0.0,01/01/2026,28/02/2026
,Elephant  Lair Camp 2027,,Test,,0,,USD,Deluxe Tent Single Room,,1,3,11,1,1,294.75,0.0,0.0,0.0,01/01/2026,28/02/2026
,Elephant  Lair Camp 2027,,Test,,0,,USD,Deluxe Tent Single Room,,1,12,99,1,1,393.0,0.0,0.0,0.0,01/01/2026,28/02/2026
,Elephant  Lair Camp 2027,,Test,,0,,USD,Deluxe Tent Single Room,,1,0,2,1,1,0.0,0.0,0.0,0.0,01/03/2026,31/03/2026
,Elephant  Lair Camp 2027,,Test,,0,,USD,Deluxe Tent Single Room,,1,3,11,1,1,232.5,0.0,0.0,0.0,01/03/2026,31/03/2026
,Elephant  Lair Camp 2027,,Test,,0,,USD,Deluxe Tent Single Room,,1,12,99,1,1,310.0,0.0,0.0,0.0,01/03/2026,31/03/2026
,Elephant  Lair Camp 2027,,Test,,0,,USD,Deluxe Tent Single Room,,1,0,2,1,1,0.0,0.0,0.0,0.0,01/04/2026,31/05/2026
,Elephant  Lair Camp 2027,,Test,,0,,USD,Deluxe Tent Single Room,,1,3,11,1,1,192.75,0.0,0.0,0.0,01/04/2026,31/05/2026
,Elephant  Lair Camp 2027,,Test,,0,,USD,Deluxe Tent Single Room,,1,12,99,1,1,257.0,0.0,0.0,0.0,01/04/2026,31/05/2026
,Elephant  Lair Camp 2027,,Test,,0,,USD,Deluxe Tent Single Room,,1,0,2,1,1,0.0,0.0,0.0,0.0,01/06/2026,31/10/2026
,Elephant  Lair Camp 2027,,Test,,0,,USD,Deluxe Tent Single Room,,1,3,11,1,1,294.75,0.0,0.0,0.0,01/06/2026,31/10/2026
,Elephant  Lair Camp 2027,,Test,,0,,USD,Deluxe Tent Single Room,,1,12,99,1,1,393.0,0.0,0.0,0.0,01/06/2026,31/10/2026
,Elephant  Lair Camp 2027,,Test,,0,,USD,Deluxe Tent Single Room,,1,0,2,1,1,0.0,0.0,0.0,0.0,01/11/2026,15/12/2026
,Elephant  Lair Camp 2027,,Test,,0,,USD,Deluxe Tent Single Room,,1,3,11,1,1,232.5,0.0,0.0,0.0,01/11/2026,15/12/2026
,Elephant  Lair Camp 2027,,Test,,0,,USD,Deluxe Tent Single Room,,1,12,99,1,1,310.0,0.0,0.0,0.0,01/11/2026,15/12/2026
,Elephant  Lair Camp 2027,,Test,,0,,USD,Deluxe Tent Single Room,,1,0,2,1,1,0.0,0.0,0.0,0.0,16/12/2026,31/12/2026
,Elephant  Lair Camp 2027,,Test,,0,,USD,Deluxe Tent Single Room,,1,3,11,1,1,294.75,0.0,0.0,0.0,16/12/2026,31/12/2026
,Elephant  Lair Camp 2027,,Test,,0,,USD,Deluxe Tent Single Room,,1,12,99,1,1,393.0,0.0,0.0,0.0,16/12/2026,31/12/2026
,Elephant  Lair Camp 2027,,Test,,0,,USD,Deluxe Tent Double Room,,2,0,2,1,2,0.0,0.0,0.0,0.0,01/01/2026,28/02/2026
,Elephant  Lair Camp 2027,,Test,,0,,USD,Deluxe Tent Double Room,,2,3,11,1,2,214.5,286.0,0.0,0.0,01/01/2026,28/02/2026
,Elephant  Lair Camp 2027,,Test,,0,,USD,Deluxe Tent Double Room,,2,12,99,1,2,286.0,286.0,0.0,0.0,01/01/2026,28/02/2026
,Elephant  Lair Camp 2027,,Test,,0,,USD,Deluxe Tent Double Room,,2,0,2,1,2,0.0,0.0,0.0,0.0,01/03/2026,31/03/2026
,Elephant  Lair Camp 2027,,Test,,0,,USD,Deluxe Tent Double Room,,2,3,11,1,2,150.0,200.0,0.0,0.0,01/03/2026,31/03/2026
,Elephant  Lair Camp 2027,,Test,,0,,USD,Deluxe Tent Double Room,,2,12,99,1,2,200.0,200.0,0.0,0.0,01/03/2026,31/03/2026
,Elephant  Lair Camp 2027,,Test,,0,,USD,Deluxe Tent Double Room,,2,0,2,1,2,0.0,0.0,0.0,0.0,01/04/2026,31/05/2026
,Elephant  Lair Camp 2027,,Test,,0,,USD,Deluxe Tent Double Room,,2,3,11,1,2,141.75,189.0,0.0,0.0,01/04/2026,31/05/2026
,Elephant  Lair Camp 2027,,Test,,0,,USD,Deluxe Tent Double Room,,2,12,99,1,2,189.0,189.0,0.0,0.0,01/04/2026,31/05/2026
,Elephant  Lair Camp 2027,,Test,,0,,USD,Deluxe Tent Double Room,,2,0,2,1,2,0.0,0.0,0.0,0.0,01/06/2026,31/10/2026
,Elephant  Lair Camp 2027,,Test,,0,,USD,Deluxe Tent Double Room,,2,3,11,1,2,214.5,286.0,0.0,0.0,01/06/2026,31/10/2026
,Elephant  Lair Camp 2027,,Test,,0,,USD,Deluxe Tent Double Room,,2,12,99,1,2,286.0,286.0,0.0,0.0,01/06/2026,31/10/2026
,Elephant  Lair Camp 2027,,Test,,0,,USD,Deluxe Tent Double Room,,2,0,2,1,2,0.0,0.0,0.0,0.0,01/11/2026,15/12/2026
,Elephant  Lair Camp 2027,,Test,,0,,USD,Deluxe Tent Double Room,,2,3,11,1,2,150.0,200.0,0.0,0.0,01/11/2026,15/12/2026
,Elephant  Lair Camp 2027,,Test,,0,,USD,Deluxe Tent Double Room,,2,12,99,1,2,200.0,200.0,0.0,0.0,01/11/2026,15/12/2026
,Elephant  Lair Camp 2027,,Test,,0,,USD,Deluxe Tent Double Room,,2,0,2,1,2,0.0,0.0,0.0,0.0,16/12/2026,31/12/2026
,Elephant  Lair Camp 2027,,Test,,0,,USD,Deluxe Tent Double Room,,2,3,11,1,2,214.5,286.0,0.0,0.0,16/12/2026,31/12/2026
,Elephant  Lair Camp 2027,,Test,,0,,USD,Deluxe Tent Double Room,,2,12,99,1,2,286.0,286.0,0.0,0.0,16/12/2026,31/12/2026
,Elephant  Lair Camp 2027,,Test,,0,,USD,Deluxe Tent Triple Room,,3,0,2,1,3,0.0,0.0,0.0,0.0,01/01/2026,28/02/2026
,Elephant  Lair Camp 2027,,Test,,0,,USD,Deluxe Tent Triple Room,,3,3,11,1,3,192.75,257.0,0.0,0.0,01/01/2026,28/02/2026
,Elephant  Lair Camp 2027,,Test,,0,,USD,Deluxe Tent Triple Room,,3,12,99,1,3,257.0,257.0,0.0,0.0,01/01/2026,28/02/2026
,Elephant  Lair Camp 2027,,Test,,0,,USD,Deluxe Tent Triple Room,,3,0,2,1,3,0.0,0.0,0.0,0.0,01/03/2026,31/03/2026
,Elephant  Lair Camp 2027,,Test,,0,,USD,Deluxe Tent Triple Room,,3,3,11,1,3,117.75,157.0,0.0,0.0,01/03/2026,31/03/2026
,Elephant  Lair Camp 2027,,Test,,0,,USD,Deluxe Tent Triple Room,,3,12,99,1,3,157.0,157.0,0.0,0.0,01/03/2026,31/03/2026
,Elephant  Lair Camp 2027,,Test,,0,,USD,Deluxe Tent Triple Room,,3,0,2,1,3,0.0,0.0,0.0,0.0,01/04/2026,31/05/2026
,Elephant  Lair Camp 2027,,Test,,0,,USD,Deluxe Tent Triple Room,,3,3,11,1,3,110.25,147.0,0.0,0.0,01/04/2026,31/05/2026
,Elephant  Lair Camp 2027,,Test,,0,,USD,Deluxe Tent Triple Room,,3,12,99,1,3,147.0,147.0,0.0,0.0,01/04/2026,31/05/2026
,Elephant  Lair Camp 2027,,Test,,0,,USD,Deluxe Tent Triple Room,,3,0,2,1,3,0.0,0.0,0.0,0.0,01/06/2026,31/10/2026
,Elephant  Lair Camp 2027,,Test,,0,,USD,Deluxe Tent Triple Room,,3,3,11,1,3,192.75,257.0,0.0,0.0,01/06/2026,31/10/2026
,Elephant  Lair Camp 2027,,Test,,0,,USD,Deluxe Tent Triple Room,,3,12,99,1,3,257.0,257.0,0.0,0.0,01/06/2026,31/10/2026
,Elephant  Lair Camp 2027,,Test,,0,,USD,Deluxe Tent Triple Room,,3,0,2,1,3,0.0,0.0,0.0,0.0,01/11/2026,15/12/2026
,Elephant  Lair Camp 2027,,Test,,0,,USD,Deluxe Tent Triple Room,,3,3,11,1,3,117.75,157.0,0.0,0.0,01/11/2026,15/12/2026
,Elephant  Lair Camp 2027,,Test,,0,,USD,Deluxe Tent Triple Room,,3,12,99,1,3,157.0,157.0,0.0,0.0,01/11/2026,15/12/2026
,Elephant  Lair Camp 2027,,Test,,0,,USD,Deluxe Tent Triple Room,,3,0,2,1,3,0.0,0.0,0.0,0.0,16/12/2026,31/12/2026
,Elephant  Lair Camp 2027,,Test,,0,,USD,Deluxe Tent Triple Room,,3,3,11,1,3,192.75,257.0,0.0,0.0,16/12/2026,31/12/2026
,Elephant  Lair Camp 2027,,Test,,0,,USD,Deluxe Tent Triple Room,,3,12,99,1,3,257.0,257.0,0.0,0.0,16/12/2026,31/12/2026
,Elephant  Lair Camp 2027,,Test,,0,,USD,Villa Tent Single Room,,1,0,2,1,1,0.0,0.0,0.0,0.0,01/01/2026,28/02/2026
,Elephant  Lair Camp 2027,,Test,,0,,USD,Villa Tent Single Room,,1,3,11,1,1,448.5,0.0,0.0,0.0,01/01/2026,28/02/2026
,Elephant  Lair Camp 2027,,Test,,0,,USD,Villa Tent Single Room,,1,12,99,1,1,598.0,0.0,0.0,0.0,01/01/2026,28/02/2026
,Elephant  Lair Camp 2027,,Test,,0,,USD,Villa Tent Single Room,,1,0,2,1,1,0.0,0.0,0.0,0.0,01/03/2026,31/03/2026
,Elephant  Lair Camp 2027,,Test,,0,,USD,Villa Tent Single Room,,1,3,11,1,1,393.0,0.0,0.0,0.0,01/03/2026,31/03/2026
