location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
,Tarangire Kati Kati - Adventure,,Test,,0,,USD,Single Room,,1,0,2,1,1,0.0,0.0,0.0,0.0,01/01/2027,31/03/2027
,Tarangire Kati Kati - Adventure,,Test,,0,,USD,Single Room,,1,3,16,1,1,133.5,0.0,0.0,0.0,01/01/2027,31/03/2027
,Tarangire Kati Kati - Adventure,,Test,,0,,USD,Single Room,,1,17,99,1,1,267.0,0.0,0.0,0.0,01/01/2027,31/03/2027
,Tarangire Kati Kati - Adventure,,Test,,0,,USD,Single Room,,1,0,2,1,1,0.0,0.0,0.0,0.0,01/04/2027,31/05/2027
,Tarangire Kati Kati - Adventure,,Test,,0,,USD,Single Room,,1,3,16,1,1,111.0,0.0,0.0,0.0,01/04/2027,31/05/2027
,Tarangire Kati Kati - Adventure,,Test,,0,,USD,Single Room,,1,17,99,1,1,222.0,0.0,0.0,0.0,01/04/2027,31/05/2027
,Tarangire Kati Kati - Adventure,,Test,,0,,USD,Single Room,,1,0,2,1,1,0.0,0.0,0.0,0.0,01/06/2027,31/10/2027
,Tarangire Kati Kati - Adventure,,Test,,0,,USD,Single Room,,1,3,16,1,1,133.5,0.0,0.0,0.0,01/06/2027,31/10/2027
,Tarangire Kati Kati - Adventure,,Test,,0,,USD,Single Room,,1,17,99,1,1,267.0,0.0,0.0,0.0,01/06/2027,31/10/2027
,Tarangire Kati Kati - Adventure,,Test,,0,,USD,Single Room,,1,0,2,1,1,0.0,0.0,0.0,0.0,01/11/2027,15/12/2027
,Tarangire Kati Kati - Adventure,,Test,,0,,USD,Single Room,,1,3,16,1,1,122.0,0.0,0.0,0.0,01/11/2027,15/12/2027
,Tarangire Kati Kati - Adventure,,Test,,0,,USD,Single Room,,1,17,99,1,1,244.0,0.0,0.0,0.0,01/11/2027,15/12/2027
,Tarangire Kati Kati - Adventure,,Test,,0,,USD,Single Room,,1,0,2,1,1,0.0,0.0,0.0,0.0,16/12/2027,31/12/2027
,Tarangire Kati Kati - Adventure,,Test,,0,,USD,Single Room,,1,3,16,1,1,133.5,0.0,0.0,0.0,16/12/2027,31/12/2027
,Tarangire Kati Kati - Adventure,,Test,,0,,USD,Single Room,,1,17,99,1,1,267.0,0.0,0.0,0.0,16/12/2027,31/12/2027
,Tarangire Kati Kati - Adventure,,Test,,0,,USD,Double Room,,2,0,2,1,2,0.0,0.0,0.0,0.0,01/01/2027,31/03/2027
,Tarangire Kati Kati - Adventure,,Test,,0,,USD,Double Room,,2,3,16,1,2,93.5,187.0,0.0,0.0,01/01/2027,31/03/2027
,Tarangire Kati Kati - Adventure,,Test,,0,,USD,Double Room,,2,17,99,1,2,187.0,187.0,0.0,0.0,01/01/2027,31/03/2027
,Tarangire Kati Kati - Adventure,,Test,,0,,USD,Double Room,,2,0,2,1,2,0.0,0.0,0.0,0.0,01/04/2027,31/05/2027
,Tarangire Kati Kati - Adventure,,Test,,0,,USD,Double Room,,2,3,16,1,2,78.0,156.0,0.0,0.0,01/04/2027,31/05/2027
,Tarangire Kati Kati - Adventure,,Test,,0,,USD,Double Room,,2,17,99,1,2,156.0,156.0,0.0,0.0,01/04/2027,31/05/2027
,Tarangire Kati Kati - Adventure,,Test,,0,,USD,Double Room,,2,0,2,1,2,0.0,0.0,0.0,0.0,01/06/2027,31/10/2027
,Tarangire Kati Kati - Adventure,,Test,,0,,USD,Double Room,,2,3,16,1,2,93.5,187.0,0.0,0.0,01/06/2027,31/10/2027
,Tarangire Kati Kati - Adventure,,Test,,0,,USD,Double Room,,2,17,99,1,2,187.0,187.0,0.0,0.0,01/06/2027,31/10/2027
,Tarangire Kati Kati - Adventure,,Test,,0,,USD,Double Room,,2,0,2,1,2,0.0,0.0,0.0,0.0,01/11/2027,15/12/2027
,Tarangire Kati Kati - Adventure,,Test,,0,,USD,Double Room,,2,3,16,1,2,85.5,171.0,0.0,0.0,01/11/2027,15/12/2027
,Tarangire Kati Kati - Adventure,,Test,,0,,USD,Double Room,,2,17,99,1,2,171.0,171.0,0.0,0.0,01/11/2027,15/12/2027
,Tarangire Kati Kati - Adventure,,Test,,0,,USD,Double Room,,2,0,2,1,2,0.0,0.0,0.0,0.0,16/12/2027,31/12/2027
,Tarangire Kati Kati - Adventure,,Test,,0,,USD,Double Room,,2,3,16,1,2,93.5,187.0,0.0,0.0,16/12/2027,31/12/2027
,Tarangire Kati Kati - Adventure,,Test,,0,,USD,Double Room,,2,17,99,1,2,187.0,187.0,0.0,0.0,16/12/2027,31/12/2027
,Tarangire Kati Kati - Adventure,,Test,,0,,USD,Triple Room,,3,0,2,1,3,0.0,0.0,0.0,0.0,01/01/2027,31/03/2027
,Tarangire Kati Kati - Adventure,,Test,,0,,USD,Triple Room,,3,3,16,1,3,81.0,162.0,0.0,0.0,01/01/2027,31/03/2027
,Tarangire Kati Kati - Adventure,,Test,,0,,USD,Triple Room,,3,17,99,1,3,162.0,162.0,0.0,0.0,01/01/2027,31/03/2027
,Tarangire Kati Kati - Adventure,,Test,,0,,USD,Triple Room,,3,0,2,1,3,0.0,0.0,0.0,0.0,01/04/2027,31/05/2027
,Tarangire Kati Kati - Adventure,,Test,,0,,USD,Triple Room,,3,3,16,1,3,68.0,136.0,0.0,0.0,01/04/2027,31/05/2027
,Tarangire Kati Kati - Adventure,,Test,,0,,USD,Triple Room,,3,17,99,1,3,136.0,136.0,0.0,0.0,01/04/2027,31/05/2027
,Tarangire Kati Kati - Adventure,,Test,,0,,USD,Triple Room,,3,0,2,1,3,0.0,0.0,0.0,0.0,01/06/2027,31/10/2027
,Tarangire Kati Kati - Adventure,,Test,,0,,USD,Triple Room,,3,3,16,1,3,81.0,162.0,0.0,0.0,01/06/2027,31/10/2027
,Tarangire Kati Kati - Adventure,,Test,,0,,USD,Triple Room,,3,17,99,1,3,162.0,162.0,0.0,0.0,01/06/2027,31/10/2027
,Tarangire Kati Kati - Adventure,,Test,,0,,USD,Triple Room,,3,0,2,1,3,0.0,0.0,0.0,0.0,01/11/2027,15/12/2027
,Tarangire Kati Kati - Adventure,,Test,,0,,USD,Triple Room,,3,3,16,1,3,74.5,149.0,0.0,0.0,01/11/2027,15/12/2027
,Tarangire Kati Kati - Adventure,,Test,,0,,USD,Triple Room,,3,17,99,1,3,149.0,149.0,0.0,0.0,01/11/2027,15/12/2027
,Tarangire Kati Kati - Adventure,,Test,,0,,USD,Triple Room,,3,0,2,1,3,0.0,0.0,0.0,0.0,16/12/2027,31/12/2027
,Tarangire Kati Kati - Adventure,,Test,,0,,USD,Triple Room,,3,3,16,1,3,81.0,162.0,0.0,0.0,16/12/2027,31/12/2027
,Tarangire Kati Kati - Adventure,,Test,,0,,USD,Triple Room,,3,17,99,1,3,162.0,162.0,0.0,0.0,16/12/2027,31/12/2027
