location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
,Burunge Tented Lodge - Adventure,,Test,,0,,USD,Single Room,,1,0,2,1,1,0.0,0.0,0.0,0.0,01/01/2027,31/03/2027
,Burunge Tented Lodge - Adventure,,Test,,0,,USD,Single Room,,1,3,16,1,1,90.0,0.0,0.0,0.0,01/01/2027,31/03/2027
,Burunge Tented Lodge - Adventure,,Test,,0,,USD,Single Room,,1,17,99,1,1,180.0,0.0,0.0,0.0,01/01/2027,31/03/2027
,Burunge Tented Lodge - Adventure,,Test,,0,,USD,Single Room,,1,0,2,1,1,0.0,0.0,0.0,0.0,01/04/2027,31/05/2027
,Burunge Tented Lodge - Adventure,,Test,,0,,USD,Single Room,,1,3,16,1,1,65.5,0.0,0.0,0.0,01/04/2027,31/05/2027
,Burunge Tented Lodge - Adventure,,Test,,0,,USD,Single Room,,1,17,99,1,1,131.0,0.0,0.0,0.0,01/04/2027,31/05/2027
,Burunge Tented Lodge - Adventure,,Test,,0,,USD,Single Room,,1,0,2,1,1,0.0,0.0,0.0,0.0,01/06/2027,31/10/2027
,Burunge Tented Lodge - Adventure,,Test,,0,,USD,Single Room,,1,3,16,1,1,90.0,0.0,0.0,0.0,01/06/2027,31/10/2027
,Burunge Tented Lodge - Adventure,,Test,,0,,USD,Single Room,,1,17,99,1,1,180.0,0.0,0.0,0.0,01/06/2027,31/10/2027
,Burunge Tented Lodge - Adventure,,Test,,0,,USD,Single Room,,1,0,2,1,1,0.0,0.0,0.0,0.0,01/11/2027,15/12/2027
,Burunge Tented Lodge - Adventure,,Test,,0,,USD,Single Room,,1,3,16,1,1,78.0,0.0,0.0,0.0,01/11/2027,15/12/2027
,Burunge Tented Lodge - Adventure,,Test,,0,,USD,Single Room,,1,17,99,1,1,156.0,0.0,0.0,0.0,01/11/2027,15/12/2027
,Burunge Tented Lodge - Adventure,,Test,,0,,USD,Single Room,,1,0,2,1,1,0.0,0.0,0.0,0.0,16/12/2027,31/12/2027
,Burunge Tented Lodge - Adventure,,Test,,0,,USD,Single Room,,1,3,16,1,1,90.0,0.0,0.0,0.0,16/12/2027,31/12/2027
,Burunge Tented Lodge - Adventure,,Test,,0,,USD,Single Room,,1,17,99,1,1,180.0,0.0,0.0,0.0,16/12/2027,31/12/2027
