location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
Karatu,The Manor Ngorongoro,,Test,FALSE,0,FALSE,USD,Manor Suite Single Room,Test,1,0,11,1,1,0.0,0.0,0.0,0.0,04/01/2027,31/03/2027
Karatu,The Manor Ngorongoro,,Test,FALSE,0,FALSE,USD,Manor Suite Single Room,Test,1,12,17,1,1,477.5,0.0,0.0,0.0,04/01/2027,31/03/2027
Karatu,The Manor Ngorongoro,,Test,FALSE,0,FALSE,USD,Manor Suite Single Room,Test,1,18,99,1,1,955.0,0.0,0.0,0.0,04/01/2027,31/03/2027
Karatu,The Manor Ngorongoro,,Test,FALSE,0,FALSE,USD,Manor Suite Single Room,Test,1,0,11,1,1,0.0,0.0,0.0,0.0,01/04/2027,31/05/2027
Karatu,The Manor Ngorongoro,,Test,FALSE,0,FALSE,USD,Manor Suite Single Room,Test,1,12,17,1,1,350.5,0.0,0.0,0.0,01/04/2027,31/05/2027
Karatu,The Manor Ngorongoro,,Test,FALSE,0,FALSE,USD,Manor Suite Single Room,Test,1,18,99,1,1,701.0,0.0,0.0,0.0,01/04/2027,31/05/2027
Karatu,The Manor Ngorongoro,,Test,FALSE,0,FALSE,USD,Manor Suite Single Room,Test,1,0,11,1,1,0.0,0.0,0.0,0.0,01/06/2027,31/10/2027
Karatu,The Manor Ngorongoro,,Test,FALSE,0,FALSE,USD,Manor Suite Single Room,Test,1,12,17,1,1,603.5,0.0,0.0,0.0,01/06/2027,31/10/2027
Karatu,The Manor Ngorongoro,,Test,FALSE,0,FALSE,USD,Manor Suite Single Room,Test,1,18,99,1,1,1207.0,0.0,0.0,0.0,01/06/2027,31/10/2027
Karatu,The Manor Ngorongoro,,Test,FALSE,0,FALSE,USD,Manor Suite Single Room,Test,1,0,11,1,1,0.0,0.0,0.0,0.0,01/11/2027,19/12/2027
Karatu,The Manor Ngorongoro,,Test,FALSE,0,FALSE,USD,Manor Suite Single Room,Test,1,12,17,1,1,477.5,0.0,0.0,0.0,01/11/2027,19/12/2027
Karatu,The Manor Ngorongoro,,Test,FALSE,0,FALSE,USD,Manor Suite Single Room,Test,1,18,99,1,1,955.0,0.0,0.0,0.0,01/11/2027,19/12/2027
Karatu,The Manor Ngorongoro,,Test,FALSE,0,FALSE,USD,Manor Suite Single Room,Test,1,0,11,1,1,0.0,0.0,0.0,0.0,20/12/2027,03/01/2028
Karatu,The Manor Ngorongoro,,Test,FALSE,0,FALSE,USD,Manor Suite Single Room,Test,1,12,17,1,1,603.5,0.0,0.0,0.0,20/12/2027,03/01/2028
Karatu,The Manor Ngorongoro,,Test,FALSE,0,FALSE,USD,Manor Suite Single Room,Test,1,18,99,1,1,1207.0,0.0,0.0,0.0,20/12/2027,03/01/2028
Karatu,The Manor Ngorongoro,,Test,FALSE,0,FALSE,USD,Manor Suite Double Room,Test,2,0,11,1,2,0.0,0.0,0.0,0.0,04/01/2027,31/03/2027
Karatu,The Manor Ngorongoro,,Test,FALSE,0,FALSE,USD,Manor Suite Double Room,Test,2,12,17,1,2,318.0,636.0,0.0,0.0,04/01/2027,31/03/2027
Karatu,The Manor Ngorongoro,,Test,FALSE,0,FALSE,USD,Manor Suite Double Room,Test,2,18,99,1,2,636.0,636.0,0.0,0.0,04/01/2027,31/03/2027
Karatu,The Manor Ngorongoro,,Test,FALSE,0,FALSE,USD,Manor Suite Double Room,Test,2,0,11,1,2,0.0,0.0,0.0,0.0,01/04/2027,31/05/2027
Karatu,The Manor Ngorongoro,,Test,FALSE,0,FALSE,USD,Manor Suite Double Room,Test,2,12,17,1,2,234.0,468.0,0.0,0.0,01/04/2027,31/05/2027
Karatu,The Manor Ngorongoro,,Test,FALSE,0,FALSE,USD,Manor Suite Double Room,Test,2,18,99,1,2,468.0,468.0,0.0,0.0,01/04/2027,31/05/2027
Karatu,The Manor Ngorongoro,,Test,FALSE,0,FALSE,USD,Manor Suite Double Room,Test,2,0,11,1,2,0.0,0.0,0.0,0.0,01/06/2027,31/10/2027
Karatu,The Manor Ngorongoro,,Test,FALSE,0,FALSE,USD,Manor Suite Double Room,Test,2,12,17,1,2,404.0,808.0,0.0,0.0,01/06/2027,31/10/2027
Karatu,The Manor Ngorongoro,,Test,FALSE,0,FALSE,USD,Manor Suite Double Room,Test,2,18,99,1,2,808.0,808.0,0.0,0.0,01/06/2027,31/10/2027
