location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
Ngorongoro,Ngorongoro tortilis Camp 27,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,0,2,1,1,0.0,0.0,0.0,0.0,01/01/2027,28/02/2027
Ngorongoro,Ngorongoro tortilis Camp 27,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,3,12,1,1,152.5,0.0,0.0,0.0,01/01/2027,28/02/2027
Ngorongoro,Ngorongoro tortilis Camp 27,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,13,99,1,1,305.0,0.0,0.0,0.0,01/01/2027,28/02/2027
Ngorongoro,Ngorongoro tortilis Camp 27,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,0,2,1,1,0.0,0.0,0.0,0.0,01/03/2027,31/03/2027
Ngorongoro,Ngorongoro tortilis Camp 27,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,3,12,1,1,128.5,0.0,0.0,0.0,01/03/2027,31/03/2027
Ngorongoro,Ngorongoro tortilis Camp 27,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,13,99,1,1,257.0,0.0,0.0,0.0,01/03/2027,31/03/2027
Ngorongoro,Ngorongoro tortilis Camp 27,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,0,2,1,1,0.0,0.0,0.0,0.0,01/04/2027,31/05/2027
Ngorongoro,Ngorongoro tortilis Camp 27,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,3,12,1,1,88.5,0.0,0.0,0.0,01/04/2027,31/05/2027
Ngorongoro,Ngorongoro tortilis Camp 27,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,13,99,1,1,177.0,0.0,0.0,0.0,01/04/2027,31/05/2027
Ngorongoro,Ngorongoro tortilis Camp 27,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,0,2,1,1,0.0,0.0,0.0,0.0,01/06/2027,31/10/2027
Ngorongoro,Ngorongoro tortilis Camp 27,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,3,12,1,1,152.5,0.0,0.0,0.0,01/06/2027,31/10/2027
Ngorongoro,Ngorongoro tortilis Camp 27,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,13,99,1,1,305.0,0.0,0.0,0.0,01/06/2027,31/10/2027
Ngorongoro,Ngorongoro tortilis Camp 27,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,0,2,1,1,0.0,0.0,0.0,0.0,01/11/2027,15/12/2027
Ngorongoro,Ngorongoro tortilis Camp 27,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,3,12,1,1,128.5,0.0,0.0,0.0,01/11/2027,15/12/2027
Ngorongoro,Ngorongoro tortilis Camp 27,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,13,99,1,1,257.0,0.0,0.0,0.0,01/11/2027,15/12/2027
Ngorongoro,Ngorongoro tortilis Camp 27,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,0,2,1,1,0.0,0.0,0.0,0.0,16/12/2027,31/12/2027
Ngorongoro,Ngorongoro tortilis Camp 27,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,3,12,1,1,152.5,0.0,0.0,0.0,16/12/2027,31/12/2027
Ngorongoro,Ngorongoro tortilis Camp 27,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,13,99,1,1,305.0,0.0,0.0,0.0,16/12/2027,31/12/2027
Ngorongoro,Ngorongoro tortilis Camp 27,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,0,2,1,2,0.0,0.0,0.0,0.0,01/01/2027,28/02/2027
Ngorongoro,Ngorongoro tortilis Camp 27,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,3,12,1,2,126.0,252.0,0.0,0.0,01/01/2027,28/02/2027
Ngorongoro,Ngorongoro tortilis Camp 27,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,13,99,1,2,252.0,252.0,0.0,0.0,01/01/2027,28/02/2027
Ngorongoro,Ngorongoro tortilis Camp 27,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,0,2,1,2,0.0,0.0,0.0,0.0,01/03/2027,31/03/2027
Ngorongoro,Ngorongoro tortilis Camp 27,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,3,12,1,2,102.0,204.0,0.0,0.0,01/03/2027,31/03/2027
Ngorongoro,Ngorongoro tortilis Camp 27,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,13,99,1,2,204.0,204.0,0.0,0.0,01/03/2027,31/03/2027
Ngorongoro,Ngorongoro tortilis Camp 27,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,0,2,1,2,0.0,0.0,0.0,0.0,01/04/2027,31/05/2027
Ngorongoro,Ngorongoro tortilis Camp 27,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,3,12,1,2,88.5,177.0,0.0,0.0,01/04/2027,31/05/2027
Ngorongoro,Ngorongoro tortilis Camp 27,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,13,99,1,2,177.0,177.0,0.0,0.0,01/04/2027,31/05/2027
Ngorongoro,Ngorongoro tortilis Camp 27,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,0,2,1,2,0.0,0.0,0.0,0.0,01/06/2027,31/10/2027
Ngorongoro,Ngorongoro tortilis Camp 27,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,3,12,1,2,126.0,252.0,0.0,0.0,01/06/2027,31/10/2027
Ngorongoro,Ngorongoro tortilis Camp 27,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,13,99,1,2,252.0,252.0,0.0,0.0,01/06/2027,31/10/2027
Ngorongoro,Ngorongoro tortilis Camp 27,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,0,2,1,2,0.0,0.0,0.0,0.0,01/11/2027,15/12/2027
Ngorongoro,Ngorongoro tortilis Camp 27,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,3,12,1,2,102.0,204.0,0.0,0.0,01/11/2027,15/12/2027
Ngorongoro,Ngorongoro tortilis Camp 27,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,13,99,1,2,204.0,204.0,0.0,0.0,01/11/2027,15/12/2027
Ngorongoro,Ngorongoro tortilis Camp 27,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,0,2,1,2,0.0,0.0,0.0,0.0,16/12/2027,31/12/2027
Ngorongoro,Ngorongoro tortilis Camp 27,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,3,12,1,2,126.0,252.0,0.0,0.0,16/12/2027,31/12/2027
Ngorongoro,Ngorongoro tortilis Camp 27,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,13,99,1,2,252.0,252.0,0.0,0.0,16/12/2027,31/12/2027
Ngorongoro,Ngorongoro tortilis Camp 27,,Test,FALSE,0,FALSE,USD,Triple Room,Test,3,0,2,1,3,0.0,0.0,0.0,0.0,01/01/2027,28/02/2027
Ngorongoro,Ngorongoro tortilis Camp 27,,Test,FALSE,0,FALSE,USD,Triple Room,Test,3,3,12,1,3,123.5,247.0,0.0,0.0,01/01/2027,28/02/2027
Ngorongoro,Ngorongoro tortilis Camp 27,,Test,FALSE,0,FALSE,USD,Triple Room,Test,3,13,99,1,3,247.0,247.0,0.0,0.0,01/01/2027,28/02/2027
Ngorongoro,Ngorongoro tortilis Camp 27,,Test,FALSE,0,FALSE,USD,Triple Room,Test,3,0,2,1,3,0.0,0.0,0.0,0.0,01/03/2027,31/03/2027
Ngorongoro,Ngorongoro tortilis Camp 27,,Test,FALSE,0,FALSE,USD,Triple Room,Test,3,3,12,1,3,99.0,198.0,0.0,0.0,01/03/2027,31/03/2027
Ngorongoro,Ngorongoro tortilis Camp 27,,Test,FALSE,0,FALSE,USD,Triple Room,Test,3,13,99,1,3,198.0,198.0,0.0,0.0,01/03/2027,31/03/2027
Ngorongoro,Ngorongoro tortilis Camp 27,,Test,FALSE,0,FALSE,USD,Triple Room,Test,3,0,2,1,3,0.0,0.0,0.0,0.0,01/04/2027,31/05/2027
Ngorongoro,Ngorongoro tortilis Camp 27,,Test,FALSE,0,FALSE,USD,Triple Room,Test,3,3,12,1,3,88.5,177.0,0.0,0.0,01/04/2027,31/05/2027
Ngorongoro,Ngorongoro tortilis Camp 27,,Test,FALSE,0,FALSE,USD,Triple Room,Test,3,13,99,1,3,177.0,177.0,0.0,0.0,01/04/2027,31/05/2027
Ngorongoro,Ngorongoro tortilis Camp 27,,Test,FALSE,0,FALSE,USD,Triple Room,Test,3,0,2,1,3,0.0,0.0,0.0,0.0,01/06/2027,31/10/2027
Ngorongoro,Ngorongoro tortilis Camp 27,,Test,FALSE,0,FALSE,USD,Triple Room,Test,3,3,12,1,3,123.5,247.0,0.0,0.0,01/06/2027,31/10/2027
Ngorongoro,Ngorongoro tortilis Camp 27,,Test,FALSE,0,FALSE,USD,Triple Room,Test,3,13,99,1,3,247.0,247.0,0.0,0.0,01/06/2027,31/10/2027
Ngorongoro,Ngorongoro tortilis Camp 27,,Test,FALSE,0,FALSE,USD,Triple Room,Test,3,0,2,1,3,0.0,0.0,0.0,0.0,01/11/2027,15/12/2027
Ngorongoro,Ngorongoro tortilis Camp 27,,Test,FALSE,0,FALSE,USD,Triple Room,Test,3,3,12,1,3,99.0,198.0,0.0,0.0,01/11/2027,15/12/2027
Ngorongoro,Ngorongoro tortilis Camp 27,,Test,FALSE,0,FALSE,USD,Triple Room,Test,3,13,99,1,3,198.0,198.0,0.0,0.0,01/11/2027,15/12/2027
Ngorongoro,Ngorongoro tortilis Camp 27,,Test,FALSE,0,FALSE,USD,Triple Room,Test,3,0,2,1,3,0.0,0.0,0.0,0.0,16/12/2027,31/12/2027
Ngorongoro,Ngorongoro tortilis Camp 27,,Test,FALSE,0,FALSE,USD,Triple Room,Test,3,3,12,1,3,123.5,247.0,0.0,0.0,16/12/2027,31/12/2027
Ngorongoro,Ngorongoro tortilis Camp 27,,Test,FALSE,0,FALSE,USD,Triple Room,Test,3,13,99,1,3,247.0,247.0,0.0,0.0,16/12/2027,31/12/2027
