location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
Serengeti National park,Matawi Serengeti Camp 27,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,0,4,1,1,0.0,0.0,0.0,0.0,01/04/2027,31/05/2027
Serengeti National park,Matawi Serengeti Camp 27,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,5,12,1,1,93.5,0.0,0.0,0.0,01/04/2027,31/05/2027
Serengeti National park,Matawi Serengeti Camp 27,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,13,99,1,1,187.0,0.0,0.0,0.0,01/04/2027,31/05/2027
Serengeti National park,Matawi Serengeti Camp 27,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,0,4,1,1,0.0,0.0,0.0,0.0,01/07/2027,19/07/2027
Serengeti National park,Matawi Serengeti Camp 27,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,5,12,1,1,126.5,0.0,0.0,0.0,01/07/2027,19/07/2027
Serengeti National park,Matawi Serengeti Camp 27,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,13,99,1,1,253.0,0.0,0.0,0.0,01/07/2027,19/07/2027
Serengeti National park,Matawi Serengeti Camp 27,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,0,4,1,1,0.0,0.0,0.0,0.0,01/09/2027,10/09/2027
Serengeti National park,Matawi Serengeti Camp 27,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,5,12,1,1,126.5,0.0,0.0,0.0,01/09/2027,10/09/2027
Serengeti National park,Matawi Serengeti Camp 27,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,13,99,1,1,253.0,0.0,0.0,0.0,01/09/2027,10/09/2027
Serengeti National park,Matawi Serengeti Camp 27,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,0,4,1,1,0.0,0.0,0.0,0.0,01/11/2027,30/11/2027
Serengeti National park,Matawi Serengeti Camp 27,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,5,12,1,1,93.5,0.0,0.0,0.0,01/11/2027,30/11/2027
Serengeti National park,Matawi Serengeti Camp 27,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,13,99,1,1,187.0,0.0,0.0,0.0,01/11/2027,30/11/2027
Serengeti National park,Matawi Serengeti Camp 27,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,0,4,1,2,0.0,0.0,0.0,0.0,01/04/2027,31/05/2027
Serengeti National park,Matawi Serengeti Camp 27,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,5,12,1,2,77.0,154.0,0.0,0.0,01/04/2027,31/05/2027
Serengeti National park,Matawi Serengeti Camp 27,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,13,99,1,2,154.0,154.0,0.0,0.0,01/04/2027,31/05/2027
Serengeti National park,Matawi Serengeti Camp 27,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,0,4,1,2,0.0,0.0,0.0,0.0,01/07/2027,19/07/2027
Serengeti National park,Matawi Serengeti Camp 27,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,5,12,1,2,110.0,220.0,0.0,0.0,01/07/2027,19/07/2027
Serengeti National park,Matawi Serengeti Camp 27,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,13,99,1,2,220.0,220.0,0.0,0.0,01/07/2027,19/07/2027
Serengeti National park,Matawi Serengeti Camp 27,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,0,4,1,2,0.0,0.0,0.0,0.0,01/09/2027,10/09/2027
Serengeti National park,Matawi Serengeti Camp 27,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,5,12,1,2,110.0,220.0,0.0,0.0,01/09/2027,10/09/2027
Serengeti National park,Matawi Serengeti Camp 27,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,13,99,1,2,220.0,220.0,0.0,0.0,01/09/2027,10/09/2027
Serengeti National park,Matawi Serengeti Camp 27,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,0,4,1,2,0.0,0.0,0.0,0.0,01/11/2027,30/11/2027
Serengeti National park,Matawi Serengeti Camp 27,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,5,12,1,2,77.0,154.0,0.0,0.0,01/11/2027,30/11/2027
Serengeti National park,Matawi Serengeti Camp 27,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,13,99,1,2,154.0,154.0,0.0,0.0,01/11/2027,30/11/2027
Serengeti National park,Matawi Serengeti Camp 27,,Test,FALSE,0,FALSE,USD,Twin Room,Test,2,0,4,1,2,0.0,0.0,0.0,0.0,01/04/2027,31/05/2027
Serengeti National park,Matawi Serengeti Camp 27,,Test,FALSE,0,FALSE,USD,Twin Room,Test,2,5,12,1,2,77.0,154.0,0.0,0.0,01/04/2027,31/05/2027
Serengeti National park,Matawi Serengeti Camp 27,,Test,FALSE,0,FALSE,USD,Twin Room,Test,2,13,99,1,2,154.0,154.0,0.0,0.0,01/04/2027,31/05/2027
Serengeti National park,Matawi Serengeti Camp 27,,Test,FALSE,0,FALSE,USD,Twin Room,Test,2,0,4,1,2,0.0,0.0,0.0,0.0,01/07/2027,19/07/2027
Serengeti National park,Matawi Serengeti Camp 27,,Test,FALSE,0,FALSE,USD,Twin Room,Test,2,5,12,1,2,110.0,220.0,0.0,0.0,01/07/2027,19/07/2027
Serengeti National park,Matawi Serengeti Camp 27,,Test,FALSE,0,FALSE,USD,Twin Room,Test,2,13,99,1,2,220.0,220.0,0.0,0.0,01/07/2027,19/07/2027
Serengeti National park,Matawi Serengeti Camp 27,,Test,FALSE,0,FALSE,USD,Twin Room,Test,2,0,4,1,2,0.0,0.0,0.0,0.0,01/09/2027,10/09/2027
Serengeti National park,Matawi Serengeti Camp 27,,Test,FALSE,0,FALSE,USD,Twin Room,Test,2,5,12,1,2,110.0,220.0,0.0,0.0,01/09/2027,10/09/2027
Serengeti National park,Matawi Serengeti Camp 27,,Test,FALSE,0,FALSE,USD,Twin Room,Test,2,13,99,1,2,220.0,220.0,0.0,0.0,01/09/2027,10/09/2027
Serengeti National park,Matawi Serengeti Camp 27,,Test,FALSE,0,FALSE,USD,Twin Room,Test,2,0,4,1,2,0.0,0.0,0.0,0.0,01/11/2027,30/11/2027
Serengeti National park,Matawi Serengeti Camp 27,,Test,FALSE,0,FALSE,USD,Twin Room,Test,2,5,12,1,2,77.0,154.0,0.0,0.0,01/11/2027,30/11/2027
Serengeti National park,Matawi Serengeti Camp 27,,Test,FALSE,0,FALSE,USD,Twin Room,Test,2,13,99,1,2,154.0,154.0,0.0,0.0,01/11/2027,30/11/2027
Serengeti National park,Matawi Serengeti Camp 27,,Test,FALSE,0,FALSE,USD,Triple Room,Test,3,0,4,1,3,0.0,0.0,0.0,0.0,01/04/2027,31/05/2027
Serengeti National park,Matawi Serengeti Camp 27,,Test,FALSE,0,FALSE,USD,Triple Room,Test,3,5,12,1,3,71.5,143.0,0.0,0.0,01/04/2027,31/05/2027
Serengeti National park,Matawi Serengeti Camp 27,,Test,FALSE,0,FALSE,USD,Triple Room,Test,3,13,99,1,3,143.0,143.0,0.0,0.0,01/04/2027,31/05/2027
Serengeti National park,Matawi Serengeti Camp 27,,Test,FALSE,0,FALSE,USD,Triple Room,Test,3,0,4,1,3,0.0,0.0,0.0,0.0,01/07/2027,19/07/2027
Serengeti National park,Matawi Serengeti Camp 27,,Test,FALSE,0,FALSE,USD,Triple Room,Test,3,5,12,1,3,99.0,198.0,0.0,0.0,01/07/2027,19/07/2027
Serengeti National park,Matawi Serengeti Camp 27,,Test,FALSE,0,FALSE,USD,Triple Room,Test,3,13,99,1,3,198.0,198.0,0.0,0.0,01/07/2027,19/07/2027
