location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
Serengeri National Park,Tanzania Bush Camp cantral Serengeti 28,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,0,4,1,1,0.0,0.0,0.0,0.0,01/01/2028,28/02/2028
Serengeri National Park,Tanzania Bush Camp cantral Serengeti 28,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,5,12,1,1,100.0,0.0,0.0,0.0,01/01/2028,28/02/2028
Serengeri National Park,Tanzania Bush Camp cantral Serengeti 28,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,13,99,1,1,200.0,0.0,0.0,0.0,01/01/2028,28/02/2028
Serengeri National Park,Tanzania Bush Camp cantral Serengeti 28,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,0,4,1,1,0.0,0.0,0.0,0.0,01/03/2028,31/05/2028
Serengeri National Park,Tanzania Bush Camp cantral Serengeti 28,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,5,12,1,1,95.0,0.0,0.0,0.0,01/03/2028,31/05/2028
Serengeri National Park,Tanzania Bush Camp cantral Serengeti 28,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,13,99,1,1,190.0,0.0,0.0,0.0,01/03/2028,31/05/2028
Serengeri National Park,Tanzania Bush Camp cantral Serengeti 28,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,0,4,1,1,0.0,0.0,0.0,0.0,01/06/2028,31/10/2028
Serengeri National Park,Tanzania Bush Camp cantral Serengeti 28,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,5,12,1,1,100.0,0.0,0.0,0.0,01/06/2028,31/10/2028
Serengeri National Park,Tanzania Bush Camp cantral Serengeti 28,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,13,99,1,1,200.0,0.0,0.0,0.0,01/06/2028,31/10/2028
Serengeri National Park,Tanzania Bush Camp cantral Serengeti 28,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,0,4,1,1,0.0,0.0,0.0,0.0,01/11/2028,15/12/2028
Serengeri National Park,Tanzania Bush Camp cantral Serengeti 28,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,5,12,1,1,95.0,0.0,0.0,0.0,01/11/2028,15/12/2028
Serengeri National Park,Tanzania Bush Camp cantral Serengeti 28,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,13,99,1,1,190.0,0.0,0.0,0.0,01/11/2028,15/12/2028
Serengeri National Park,Tanzania Bush Camp cantral Serengeti 28,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,0,4,1,1,0.0,0.0,0.0,0.0,16/12/2028,31/12/2028
Serengeri National Park,Tanzania Bush Camp cantral Serengeti 28,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,5,12,1,1,100.0,0.0,0.0,0.0,16/12/2028,31/12/2028
Serengeri National Park,Tanzania Bush Camp cantral Serengeti 28,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,13,99,1,1,200.0,0.0,0.0,0.0,16/12/2028,31/12/2028
Serengeri National Park,Tanzania Bush Camp cantral Serengeti 28,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,0,4,1,2,0.0,0.0,0.0,0.0,01/01/2028,28/02/2028
Serengeri National Park,Tanzania Bush Camp cantral Serengeti 28,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,5,12,1,2,80.0,160.0,0.0,0.0,01/01/2028,28/02/2028
Serengeri National Park,Tanzania Bush Camp cantral Serengeti 28,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,13,99,1,2,160.0,160.0,0.0,0.0,01/01/2028,28/02/2028
Serengeri National Park,Tanzania Bush Camp cantral Serengeti 28,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,0,4,1,2,0.0,0.0,0.0,0.0,01/03/2028,31/05/2028
Serengeri National Park,Tanzania Bush Camp cantral Serengeti 28,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,5,12,1,2,75.0,150.0,0.0,0.0,01/03/2028,31/05/2028
Serengeri National Park,Tanzania Bush Camp cantral Serengeti 28,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,13,99,1,2,150.0,150.0,0.0,0.0,01/03/2028,31/05/2028
Serengeri National Park,Tanzania Bush Camp cantral Serengeti 28,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,0,4,1,2,0.0,0.0,0.0,0.0,01/06/2028,31/10/2028
Serengeri National Park,Tanzania Bush Camp cantral Serengeti 28,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,5,12,1,2,80.0,160.0,0.0,0.0,01/06/2028,31/10/2028
Serengeri National Park,Tanzania Bush Camp cantral Serengeti 28,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,13,99,1,2,160.0,160.0,0.0,0.0,01/06/2028,31/10/2028
Serengeri National Park,Tanzania Bush Camp cantral Serengeti 28,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,0,4,1,2,0.0,0.0,0.0,0.0,01/11/2028,15/12/2028
Serengeri National Park,Tanzania Bush Camp cantral Serengeti 28,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,5,12,1,2,75.0,150.0,0.0,0.0,01/11/2028,15/12/2028
Serengeri National Park,Tanzania Bush Camp cantral Serengeti 28,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,13,99,1,2,150.0,150.0,0.0,0.0,01/11/2028,15/12/2028
