location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
Serengeti National Park,Grumeti Serengeti River Lodge,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,0,2,1,1,0.0,0.0,0.0,0.0,11/01/2026,31/03/2026
Serengeti National Park,Grumeti Serengeti River Lodge,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,3,5,1,1,0.0,0.0,0.0,0.0,11/01/2026,31/03/2026
Serengeti National Park,Grumeti Serengeti River Lodge,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,6,16,1,1,932.5,0.0,0.0,0.0,11/01/2026,31/03/2026
Serengeti National Park,Grumeti Serengeti River Lodge,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,17,99,1,1,1865.0,0.0,0.0,0.0,11/01/2026,31/03/2026
Serengeti National Park,Grumeti Serengeti River Lodge,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,0,2,1,1,0.0,0.0,0.0,0.0,01/05/2026,15/05/2026
Serengeti National Park,Grumeti Serengeti River Lodge,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,3,5,1,1,0.0,0.0,0.0,0.0,01/05/2026,15/05/2026
Serengeti National Park,Grumeti Serengeti River Lodge,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,6,16,1,1,932.5,0.0,0.0,0.0,01/05/2026,15/05/2026
Serengeti National Park,Grumeti Serengeti River Lodge,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,17,99,1,1,1865.0,0.0,0.0,0.0,01/05/2026,15/05/2026
Serengeti National Park,Grumeti Serengeti River Lodge,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,0,2,1,1,0.0,0.0,0.0,0.0,16/05/2026,31/08/2026
Serengeti National Park,Grumeti Serengeti River Lodge,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,3,5,1,1,0.0,0.0,0.0,0.0,16/05/2026,31/08/2026
Serengeti National Park,Grumeti Serengeti River Lodge,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,6,16,1,1,1097.5,0.0,0.0,0.0,16/05/2026,31/08/2026
Serengeti National Park,Grumeti Serengeti River Lodge,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,17,99,1,1,2195.0,0.0,0.0,0.0,16/05/2026,31/08/2026
Serengeti National Park,Grumeti Serengeti River Lodge,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,0,2,1,1,0.0,0.0,0.0,0.0,01/09/2026,31/10/2026
Serengeti National Park,Grumeti Serengeti River Lodge,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,3,5,1,1,0.0,0.0,0.0,0.0,01/09/2026,31/10/2026
Serengeti National Park,Grumeti Serengeti River Lodge,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,6,16,1,1,932.5,0.0,0.0,0.0,01/09/2026,31/10/2026
Serengeti National Park,Grumeti Serengeti River Lodge,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,17,99,1,1,1865.0,0.0,0.0,0.0,01/09/2026,31/10/2026
Serengeti National Park,Grumeti Serengeti River Lodge,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,0,2,1,1,0.0,0.0,0.0,0.0,01/11/2026,20/12/2026
Serengeti National Park,Grumeti Serengeti River Lodge,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,3,5,1,1,0.0,0.0,0.0,0.0,01/11/2026,20/12/2026
Serengeti National Park,Grumeti Serengeti River Lodge,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,6,16,1,1,450.0,0.0,0.0,0.0,01/11/2026,20/12/2026
Serengeti National Park,Grumeti Serengeti River Lodge,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,17,99,1,1,900.0,0.0,0.0,0.0,01/11/2026,20/12/2026
Serengeti National Park,Grumeti Serengeti River Lodge,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,0,2,1,1,0.0,0.0,0.0,0.0,21/12/2026,10/01/2027
Serengeti National Park,Grumeti Serengeti River Lodge,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,3,5,1,1,0.0,0.0,0.0,0.0,21/12/2026,10/01/2027
Serengeti National Park,Grumeti Serengeti River Lodge,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,6,16,1,1,1097.5,0.0,0.0,0.0,21/12/2026,10/01/2027
Serengeti National Park,Grumeti Serengeti River Lodge,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,17,99,1,1,2195.0,0.0,0.0,0.0,21/12/2026,10/01/2027
Serengeti National Park,Grumeti Serengeti River Lodge,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,0,2,1,1,0.0,0.0,0.0,0.0,01/04/2026,30/04/2026
Serengeti National Park,Grumeti Serengeti River Lodge,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,3,5,1,1,0.0,0.0,0.0,0.0,01/04/2026,30/04/2026
Serengeti National Park,Grumeti Serengeti River Lodge,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,6,16,1,1,0.0,0.0,0.0,0.0,01/04/2026,30/04/2026
Serengeti National Park,Grumeti Serengeti River Lodge,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,17,99,1,1,0.0,0.0,0.0,0.0,01/04/2026,30/04/2026
Serengeti National Park,Grumeti Serengeti River Lodge,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,0,2,1,2,0.0,0.0,0.0,0.0,11/01/2026,31/03/2026
Serengeti National Park,Grumeti Serengeti River Lodge,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,3,5,1,2,0.0,0.0,0.0,0.0,11/01/2026,31/03/2026
Serengeti National Park,Grumeti Serengeti River Lodge,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,6,16,1,2,932.5,1865.0,0.0,0.0,11/01/2026,31/03/2026
Serengeti National Park,Grumeti Serengeti River Lodge,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,17,99,1,2,1865.0,1865.0,0.0,0.0,11/01/2026,31/03/2026
Serengeti National Park,Grumeti Serengeti River Lodge,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,0,2,1,2,0.0,0.0,0.0,0.0,01/05/2026,15/05/2026
Serengeti National Park,Grumeti Serengeti River Lodge,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,3,5,1,2,0.0,0.0,0.0,0.0,01/05/2026,15/05/2026
Serengeti National Park,Grumeti Serengeti River Lodge,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,6,16,1,2,932.5,1865.0,0.0,0.0,01/05/2026,15/05/2026
Serengeti National Park,Grumeti Serengeti River Lodge,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,17,99,1,2,1865.0,1865.0,0.0,0.0,01/05/2026,15/05/2026
