location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
Serengeti,Sidai Serengeti amp,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,0,4,1,1,0.0,0.0,0.0,0.0,01/01/2026,31/03/2026
Serengeti,Sidai Serengeti amp,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,5,15,1,1,85.0,0.0,0.0,0.0,01/01/2026,31/03/2026
Serengeti,Sidai Serengeti amp,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,16,99,1,1,170.0,0.0,0.0,0.0,01/01/2026,31/03/2026
Serengeti,Sidai Serengeti amp,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,0,4,1,1,0.0,0.0,0.0,0.0,01/04/2026,14/06/2026
Serengeti,Sidai Serengeti amp,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,5,15,1,1,75.0,0.0,0.0,0.0,01/04/2026,14/06/2026
Serengeti,Sidai Serengeti amp,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,16,99,1,1,150.0,0.0,0.0,0.0,01/04/2026,14/06/2026
Serengeti,Sidai Serengeti amp,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,0,4,1,1,0.0,0.0,0.0,0.0,15/06/2026,30/06/2026
Serengeti,Sidai Serengeti amp,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,5,15,1,1,85.0,0.0,0.0,0.0,15/06/2026,30/06/2026
Serengeti,Sidai Serengeti amp,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,16,99,1,1,170.0,0.0,0.0,0.0,15/06/2026,30/06/2026
Serengeti,Sidai Serengeti amp,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,0,4,1,1,0.0,0.0,0.0,0.0,01/07/2026,31/08/2026
Serengeti,Sidai Serengeti amp,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,5,15,1,1,95.0,0.0,0.0,0.0,01/07/2026,31/08/2026
Serengeti,Sidai Serengeti amp,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,16,99,1,1,190.0,0.0,0.0,0.0,01/07/2026,31/08/2026
Serengeti,Sidai Serengeti amp,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,0,4,1,1,0.0,0.0,0.0,0.0,01/09/2026,31/10/2026
