location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
Serengeti,Serengeti Orange River Luxury Lodge 27,,Test,FALSE,0,FALSE,USD,Single Room,test,1,0,3,1,1,0.0,0.0,0.0,0.0,15/01/2027,15/03/2027
Serengeti,Serengeti Orange River Luxury Lodge 27,,Test,FALSE,0,FALSE,USD,Single Room,test,1,4,11,1,1,225.0,0.0,0.0,0.0,15/01/2027,15/03/2027
Serengeti,Serengeti Orange River Luxury Lodge 27,,Test,FALSE,0,FALSE,USD,Single Room,test,1,12,99,1,1,450.0,0.0,0.0,0.0,15/01/2027,15/03/2027
Serengeti,Serengeti Orange River Luxury Lodge 27,,Test,FALSE,0,FALSE,USD,Single Room,test,1,0,3,1,1,0.0,0.0,0.0,0.0,16/03/2027,31/05/2027
Serengeti,Serengeti Orange River Luxury Lodge 27,,Test,FALSE,0,FALSE,USD,Single Room,test,1,4,11,1,1,175.0,0.0,0.0,0.0,16/03/2027,31/05/2027
Serengeti,Serengeti Orange River Luxury Lodge 27,,Test,FALSE,0,FALSE,USD,Single Room,test,1,12,99,1,1,350.0,0.0,0.0,0.0,16/03/2027,31/05/2027
Serengeti,Serengeti Orange River Luxury Lodge 27,,Test,FALSE,0,FALSE,USD,Single Room,test,1,0,3,1,1,0.0,0.0,0.0,0.0,01/06/2027,30/06/2027
Serengeti,Serengeti Orange River Luxury Lodge 27,,Test,FALSE,0,FALSE,USD,Single Room,test,1,4,11,1,1,200.0,0.0,0.0,0.0,01/06/2027,30/06/2027
Serengeti,Serengeti Orange River Luxury Lodge 27,,Test,FALSE,0,FALSE,USD,Single Room,test,1,12,99,1,1,400.0,0.0,0.0,0.0,01/06/2027,30/06/2027
Serengeti,Serengeti Orange River Luxury Lodge 27,,Test,FALSE,0,FALSE,USD,Single Room,test,1,0,3,1,1,0.0,0.0,0.0,0.0,01/07/2027,30/09/2027
Serengeti,Serengeti Orange River Luxury Lodge 27,,Test,FALSE,0,FALSE,USD,Single Room,test,1,4,11,1,1,225.0,0.0,0.0,0.0,01/07/2027,30/09/2027
Serengeti,Serengeti Orange River Luxury Lodge 27,,Test,FALSE,0,FALSE,USD,Single Room,test,1,12,99,1,1,450.0,0.0,0.0,0.0,01/07/2027,30/09/2027
Serengeti,Serengeti Orange River Luxury Lodge 27,,Test,FALSE,0,FALSE,USD,Single Room,test,1,0,3,1,1,0.0,0.0,0.0,0.0,01/10/2027,19/12/2027
Serengeti,Serengeti Orange River Luxury Lodge 27,,Test,FALSE,0,FALSE,USD,Single Room,test,1,4,11,1,1,200.0,0.0,0.0,0.0,01/10/2027,19/12/2027
Serengeti,Serengeti Orange River Luxury Lodge 27,,Test,FALSE,0,FALSE,USD,Single Room,test,1,12,99,1,1,400.0,0.0,0.0,0.0,01/10/2027,19/12/2027
Serengeti,Serengeti Orange River Luxury Lodge 27,,Test,FALSE,0,FALSE,USD,Single Room,test,1,0,3,1,1,0.0,0.0,0.0,0.0,20/12/2027,31/12/2027
Serengeti,Serengeti Orange River Luxury Lodge 27,,Test,FALSE,0,FALSE,USD,Single Room,test,1,4,11,1,1,225.0,0.0,0.0,0.0,20/12/2027,31/12/2027
Serengeti,Serengeti Orange River Luxury Lodge 27,,Test,FALSE,0,FALSE,USD,Single Room,test,1,12,99,1,1,450.0,0.0,0.0,0.0,20/12/2027,31/12/2027
Serengeti,Serengeti Orange River Luxury Lodge 27,,Test,FALSE,0,FALSE,USD,Double Room,test,2,0,3,1,2,0.0,0.0,0.0,0.0,15/01/2027,15/03/2027
Serengeti,Serengeti Orange River Luxury Lodge 27,,Test,FALSE,0,FALSE,USD,Double Room,test,2,4,11,1,2,200.0,400.0,0.0,0.0,15/01/2027,15/03/2027
Serengeti,Serengeti Orange River Luxury Lodge 27,,Test,FALSE,0,FALSE,USD,Double Room,test,2,12,99,1,2,400.0,400.0,0.0,0.0,15/01/2027,15/03/2027
Serengeti,Serengeti Orange River Luxury Lodge 27,,Test,FALSE,0,FALSE,USD,Double Room,test,2,0,3,1,2,0.0,0.0,0.0,0.0,16/03/2027,31/05/2027
Serengeti,Serengeti Orange River Luxury Lodge 27,,Test,FALSE,0,FALSE,USD,Double Room,test,2,4,11,1,2,150.0,300.0,0.0,0.0,16/03/2027,31/05/2027
Serengeti,Serengeti Orange River Luxury Lodge 27,,Test,FALSE,0,FALSE,USD,Double Room,test,2,12,99,1,2,300.0,300.0,0.0,0.0,16/03/2027,31/05/2027
Serengeti,Serengeti Orange River Luxury Lodge 27,,Test,FALSE,0,FALSE,USD,Double Room,test,2,0,3,1,2,0.0,0.0,0.0,0.0,01/06/2027,30/06/2027
Serengeti,Serengeti Orange River Luxury Lodge 27,,Test,FALSE,0,FALSE,USD,Double Room,test,2,4,11,1,2,175.0,350.0,0.0,0.0,01/06/2027,30/06/2027
Serengeti,Serengeti Orange River Luxury Lodge 27,,Test,FALSE,0,FALSE,USD,Double Room,test,2,12,99,1,2,350.0,350.0,0.0,0.0,01/06/2027,30/06/2027
Serengeti,Serengeti Orange River Luxury Lodge 27,,Test,FALSE,0,FALSE,USD,Double Room,test,2,0,3,1,2,0.0,0.0,0.0,0.0,01/07/2027,30/09/2027
Serengeti,Serengeti Orange River Luxury Lodge 27,,Test,FALSE,0,FALSE,USD,Double Room,test,2,4,11,1,2,200.0,400.0,0.0,0.0,01/07/2027,30/09/2027
Serengeti,Serengeti Orange River Luxury Lodge 27,,Test,FALSE,0,FALSE,USD,Double Room,test,2,12,99,1,2,400.0,400.0,0.0,0.0,01/07/2027,30/09/2027
Serengeti,Serengeti Orange River Luxury Lodge 27,,Test,FALSE,0,FALSE,USD,Double Room,test,2,0,3,1,2,0.0,0.0,0.0,0.0,01/10/2027,19/12/2027
Serengeti,Serengeti Orange River Luxury Lodge 27,,Test,FALSE,0,FALSE,USD,Double Room,test,2,4,11,1,2,175.0,350.0,0.0,0.0,01/10/2027,19/12/2027
Serengeti,Serengeti Orange River Luxury Lodge 27,,Test,FALSE,0,FALSE,USD,Double Room,test,2,12,99,1,2,350.0,350.0,0.0,0.0,01/10/2027,19/12/2027
Serengeti,Serengeti Orange River Luxury Lodge 27,,Test,FALSE,0,FALSE,USD,Double Room,test,2,0,3,1,2,0.0,0.0,0.0,0.0,20/12/2027,31/12/2027
Serengeti,Serengeti Orange River Luxury Lodge 27,,Test,FALSE,0,FALSE,USD,Double Room,test,2,4,11,1,2,200.0,400.0,0.0,0.0,20/12/2027,31/12/2027
Serengeti,Serengeti Orange River Luxury Lodge 27,,Test,FALSE,0,FALSE,USD,Double Room,test,2,12,99,1,2,400.0,400.0,0.0,0.0,20/12/2027,31/12/2027
Serengeti,Serengeti Orange River Luxury Lodge 27,,Test,FALSE,0,FALSE,USD,Twin Room,test,2,0,3,1,2,0.0,0.0,0.0,0.0,15/01/2027,15/03/2027
Serengeti,Serengeti Orange River Luxury Lodge 27,,Test,FALSE,0,FALSE,USD,Twin Room,test,2,4,11,1,2,200.0,400.0,0.0,0.0,15/01/2027,15/03/2027
Serengeti,Serengeti Orange River Luxury Lodge 27,,Test,FALSE,0,FALSE,USD,Twin Room,test,2,12,99,1,2,400.0,400.0,0.0,0.0,15/01/2027,15/03/2027
Serengeti,Serengeti Orange River Luxury Lodge 27,,Test,FALSE,0,FALSE,USD,Twin Room,test,2,0,3,1,2,0.0,0.0,0.0,0.0,16/03/2027,31/05/2027
Serengeti,Serengeti Orange River Luxury Lodge 27,,Test,FALSE,0,FALSE,USD,Twin Room,test,2,4,11,1,2,150.0,300.0,0.0,0.0,16/03/2027,31/05/2027
Serengeti,Serengeti Orange River Luxury Lodge 27,,Test,FALSE,0,FALSE,USD,Twin Room,test,2,12,99,1,2,300.0,300.0,0.0,0.0,16/03/2027,31/05/2027
Serengeti,Serengeti Orange River Luxury Lodge 27,,Test,FALSE,0,FALSE,USD,Twin Room,test,2,0,3,1,2,0.0,0.0,0.0,0.0,01/06/2027,30/06/2027
Serengeti,Serengeti Orange River Luxury Lodge 27,,Test,FALSE,0,FALSE,USD,Twin Room,test,2,4,11,1,2,175.0,350.0,0.0,0.0,01/06/2027,30/06/2027
Serengeti,Serengeti Orange River Luxury Lodge 27,,Test,FALSE,0,FALSE,USD,Twin Room,test,2,12,99,1,2,350.0,350.0,0.0,0.0,01/06/2027,30/06/2027
Serengeti,Serengeti Orange River Luxury Lodge 27,,Test,FALSE,0,FALSE,USD,Twin Room,test,2,0,3,1,2,0.0,0.0,0.0,0.0,01/07/2027,30/09/2027
Serengeti,Serengeti Orange River Luxury Lodge 27,,Test,FALSE,0,FALSE,USD,Twin Room,test,2,4,11,1,2,200.0,400.0,0.0,0.0,01/07/2027,30/09/2027
Serengeti,Serengeti Orange River Luxury Lodge 27,,Test,FALSE,0,FALSE,USD,Twin Room,test,2,12,99,1,2,400.0,400.0,0.0,0.0,01/07/2027,30/09/2027
Serengeti,Serengeti Orange River Luxury Lodge 27,,Test,FALSE,0,FALSE,USD,Twin Room,test,2,0,3,1,2,0.0,0.0,0.0,0.0,01/10/2027,19/12/2027
Serengeti,Serengeti Orange River Luxury Lodge 27,,Test,FALSE,0,FALSE,USD,Twin Room,test,2,4,11,1,2,175.0,350.0,0.0,0.0,01/10/2027,19/12/2027
Serengeti,Serengeti Orange River Luxury Lodge 27,,Test,FALSE,0,FALSE,USD,Twin Room,test,2,12,99,1,2,350.0,350.0,0.0,0.0,01/10/2027,19/12/2027
Serengeti,Serengeti Orange River Luxury Lodge 27,,Test,FALSE,0,FALSE,USD,Twin Room,test,2,0,3,1,2,0.0,0.0,0.0,0.0,20/12/2027,31/12/2027
Serengeti,Serengeti Orange River Luxury Lodge 27,,Test,FALSE,0,FALSE,USD,Twin Room,test,2,4,11,1,2,200.0,400.0,0.0,0.0,20/12/2027,31/12/2027
Serengeti,Serengeti Orange River Luxury Lodge 27,,Test,FALSE,0,FALSE,USD,Twin Room,test,2,12,99,1,2,400.0,400.0,0.0,0.0,20/12/2027,31/12/2027
Serengeti,Serengeti Orange River Luxury Lodge 27,,Test,FALSE,0,FALSE,USD,Triple Room,test,3,0,3,1,3,0.0,0.0,0.0,0.0,15/01/2027,15/03/2027
Serengeti,Serengeti Orange River Luxury Lodge 27,,Test,FALSE,0,FALSE,USD,Triple Room,test,3,4,11,1,3,213.34,426.67,0.0,0.0,15/01/2027,15/03/2027
Serengeti,Serengeti Orange River Luxury Lodge 27,,Test,FALSE,0,FALSE,USD,Triple Room,test,3,12,99,1,3,426.67,426.67,0.0,0.0,15/01/2027,15/03/2027
