location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
karatu,Farm Of  Dream Lodge 27,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,0,4,1,1,0.0,0.0,0.0,0.0,01/01/2027,31/03/2027
karatu,Farm Of  Dream Lodge 27,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,5,12,1,1,62.5,0.0,0.0,10.0,01/01/2027,31/03/2027
karatu,Farm Of  Dream Lodge 27,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,13,99,1,1,125.0,0.0,0.0,10.0,01/01/2027,31/03/2027
karatu,Farm Of  Dream Lodge 27,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,0,4,1,1,0.0,0.0,0.0,0.0,01/04/2027,31/05/2027
karatu,Farm Of  Dream Lodge 27,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,5,12,1,1,52.5,0.0,0.0,10.0,01/04/2027,31/05/2027
karatu,Farm Of  Dream Lodge 27,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,13,99,1,1,105.0,0.0,0.0,10.0,01/04/2027,31/05/2027
karatu,Farm Of  Dream Lodge 27,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,0,4,1,1,0.0,0.0,0.0,0.0,01/06/2027,31/10/2027
karatu,Farm Of  Dream Lodge 27,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,5,12,1,1,62.5,0.0,0.0,10.0,01/06/2027,31/10/2027
karatu,Farm Of  Dream Lodge 27,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,13,99,1,1,125.0,0.0,0.0,10.0,01/06/2027,31/10/2027
karatu,Farm Of  Dream Lodge 27,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,0,4,1,1,0.0,0.0,0.0,0.0,01/11/2027,30/11/2027
karatu,Farm Of  Dream Lodge 27,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,5,12,1,1,52.5,0.0,0.0,10.0,01/11/2027,30/11/2027
karatu,Farm Of  Dream Lodge 27,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,13,99,1,1,105.0,0.0,0.0,10.0,01/11/2027,30/11/2027
karatu,Farm Of  Dream Lodge 27,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,0,4,1,1,0.0,0.0,0.0,0.0,01/12/2027,31/12/2027
karatu,Farm Of  Dream Lodge 27,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,5,12,1,1,62.5,0.0,0.0,10.0,01/12/2027,31/12/2027
karatu,Farm Of  Dream Lodge 27,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,13,99,1,1,125.0,0.0,0.0,10.0,01/12/2027,31/12/2027
karatu,Farm Of  Dream Lodge 27,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,0,4,1,2,0.0,0.0,0.0,0.0,01/01/2027,31/03/2027
karatu,Farm Of  Dream Lodge 27,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,5,12,1,2,46.25,92.5,0.0,5.0,01/01/2027,31/03/2027
karatu,Farm Of  Dream Lodge 27,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,13,99,1,2,92.5,92.5,0.0,5.0,01/01/2027,31/03/2027
karatu,Farm Of  Dream Lodge 27,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,0,4,1,2,0.0,0.0,0.0,0.0,01/04/2027,31/05/2027
karatu,Farm Of  Dream Lodge 27,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,5,12,1,2,38.75,77.5,0.0,5.0,01/04/2027,31/05/2027
karatu,Farm Of  Dream Lodge 27,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,13,99,1,2,77.5,77.5,0.0,5.0,01/04/2027,31/05/2027
karatu,Farm Of  Dream Lodge 27,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,0,4,1,2,0.0,0.0,0.0,0.0,01/06/2027,31/10/2027
karatu,Farm Of  Dream Lodge 27,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,5,12,1,2,46.25,92.5,0.0,5.0,01/06/2027,31/10/2027
karatu,Farm Of  Dream Lodge 27,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,13,99,1,2,92.5,92.5,0.0,5.0,01/06/2027,31/10/2027
karatu,Farm Of  Dream Lodge 27,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,0,4,1,2,0.0,0.0,0.0,0.0,01/11/2027,30/11/2027
karatu,Farm Of  Dream Lodge 27,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,5,12,1,2,38.75,77.5,0.0,5.0,01/11/2027,30/11/2027
karatu,Farm Of  Dream Lodge 27,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,13,99,1,2,77.5,77.5,0.0,5.0,01/11/2027,30/11/2027
karatu,Farm Of  Dream Lodge 27,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,0,4,1,2,0.0,0.0,0.0,0.0,01/12/2027,31/12/2027
karatu,Farm Of  Dream Lodge 27,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,5,12,1,2,46.25,92.5,0.0,5.0,01/12/2027,31/12/2027
karatu,Farm Of  Dream Lodge 27,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,13,99,1,2,92.5,92.5,0.0,5.0,01/12/2027,31/12/2027
karatu,Farm Of  Dream Lodge 27,,Test,FALSE,0,FALSE,USD,Twin Room,Test,2,0,4,1,2,0.0,0.0,0.0,0.0,01/01/2027,31/03/2027
karatu,Farm Of  Dream Lodge 27,,Test,FALSE,0,FALSE,USD,Twin Room,Test,2,5,12,1,2,46.25,92.5,0.0,5.0,01/01/2027,31/03/2027
karatu,Farm Of  Dream Lodge 27,,Test,FALSE,0,FALSE,USD,Twin Room,Test,2,13,99,1,2,92.5,92.5,0.0,5.0,01/01/2027,31/03/2027
karatu,Farm Of  Dream Lodge 27,,Test,FALSE,0,FALSE,USD,Twin Room,Test,2,0,4,1,2,0.0,0.0,0.0,0.0,01/04/2027,31/05/2027
karatu,Farm Of  Dream Lodge 27,,Test,FALSE,0,FALSE,USD,Twin Room,Test,2,5,12,1,2,38.75,77.5,0.0,5.0,01/04/2027,31/05/2027
karatu,Farm Of  Dream Lodge 27,,Test,FALSE,0,FALSE,USD,Twin Room,Test,2,13,99,1,2,77.5,77.5,0.0,5.0,01/04/2027,31/05/2027
karatu,Farm Of  Dream Lodge 27,,Test,FALSE,0,FALSE,USD,Twin Room,Test,2,0,4,1,2,0.0,0.0,0.0,0.0,01/06/2027,31/10/2027
karatu,Farm Of  Dream Lodge 27,,Test,FALSE,0,FALSE,USD,Twin Room,Test,2,5,12,1,2,46.25,92.5,0.0,5.0,01/06/2027,31/10/2027
karatu,Farm Of  Dream Lodge 27,,Test,FALSE,0,FALSE,USD,Twin Room,Test,2,13,99,1,2,92.5,92.5,0.0,5.0,01/06/2027,31/10/2027
karatu,Farm Of  Dream Lodge 27,,Test,FALSE,0,FALSE,USD,Twin Room,Test,2,0,4,1,2,0.0,0.0,0.0,0.0,01/11/2027,30/11/2027
karatu,Farm Of  Dream Lodge 27,,Test,FALSE,0,FALSE,USD,Twin Room,Test,2,5,12,1,2,38.75,77.5,0.0,5.0,01/11/2027,30/11/2027
karatu,Farm Of  Dream Lodge 27,,Test,FALSE,0,FALSE,USD,Twin Room,Test,2,13,99,1,2,77.5,77.5,0.0,5.0,01/11/2027,30/11/2027
karatu,Farm Of  Dream Lodge 27,,Test,FALSE,0,FALSE,USD,Twin Room,Test,2,0,4,1,2,0.0,0.0,0.0,0.0,01/12/2027,31/12/2027
karatu,Farm Of  Dream Lodge 27,,Test,FALSE,0,FALSE,USD,Twin Room,Test,2,5,12,1,2,46.25,92.5,0.0,5.0,01/12/2027,31/12/2027
karatu,Farm Of  Dream Lodge 27,,Test,FALSE,0,FALSE,USD,Twin Room,Test,2,13,99,1,2,92.5,92.5,0.0,5.0,01/12/2027,31/12/2027
karatu,Farm Of  Dream Lodge 27,,Test,FALSE,0,FALSE,USD,Triple Room,Test,3,0,4,1,3,0.0,0.0,0.0,0.0,01/01/2027,31/03/2027
karatu,Farm Of  Dream Lodge 27,,Test,FALSE,0,FALSE,USD,Triple Room,Test,3,5,12,1,3,43.0,86.0,0.0,5.0,01/01/2027,31/03/2027
karatu,Farm Of  Dream Lodge 27,,Test,FALSE,0,FALSE,USD,Triple Room,Test,3,13,99,1,3,86.0,86.0,0.0,5.0,01/01/2027,31/03/2027
karatu,Farm Of  Dream Lodge 27,,Test,FALSE,0,FALSE,USD,Triple Room,Test,3,0,4,1,3,0.0,0.0,0.0,0.0,01/04/2027,31/05/2027
karatu,Farm Of  Dream Lodge 27,,Test,FALSE,0,FALSE,USD,Triple Room,Test,3,5,12,1,3,35.84,71.67,0.0,5.0,01/04/2027,31/05/2027
karatu,Farm Of  Dream Lodge 27,,Test,FALSE,0,FALSE,USD,Triple Room,Test,3,13,99,1,3,71.67,71.67,0.0,5.0,01/04/2027,31/05/2027
karatu,Farm Of  Dream Lodge 27,,Test,FALSE,0,FALSE,USD,Triple Room,Test,3,0,4,1,3,0.0,0.0,0.0,0.0,01/06/2027,31/10/2027
karatu,Farm Of  Dream Lodge 27,,Test,FALSE,0,FALSE,USD,Triple Room,Test,3,5,12,1,3,43.0,86.0,0.0,5.0,01/06/2027,31/10/2027
karatu,Farm Of  Dream Lodge 27,,Test,FALSE,0,FALSE,USD,Triple Room,Test,3,13,99,1,3,86.0,86.0,0.0,5.0,01/06/2027,31/10/2027
karatu,Farm Of  Dream Lodge 27,,Test,FALSE,0,FALSE,USD,Triple Room,Test,3,0,4,1,3,0.0,0.0,0.0,0.0,01/11/2027,30/11/2027
karatu,Farm Of  Dream Lodge 27,,Test,FALSE,0,FALSE,USD,Triple Room,Test,3,5,12,1,3,35.84,71.67,0.0,5.0,01/11/2027,30/11/2027
karatu,Farm Of  Dream Lodge 27,,Test,FALSE,0,FALSE,USD,Triple Room,Test,3,13,99,1,3,71.67,71.67,0.0,5.0,01/11/2027,30/11/2027
karatu,Farm Of  Dream Lodge 27,,Test,FALSE,0,FALSE,USD,Triple Room,Test,3,0,4,1,3,0.0,0.0,0.0,0.0,01/12/2027,31/12/2027
karatu,Farm Of  Dream Lodge 27,,Test,FALSE,0,FALSE,USD,Triple Room,Test,3,5,12,1,3,43.0,86.0,0.0,5.0,01/12/2027,31/12/2027
karatu,Farm Of  Dream Lodge 27,,Test,FALSE,0,FALSE,USD,Triple Room,Test,3,13,99,1,3,86.0,86.0,0.0,5.0,01/12/2027,31/12/2027
karatu,Farm Of  Dream Lodge 27,,Test,FALSE,0,FALSE,USD,FAMILY ROOM *4 (2ADL + 2KIDS),Test,4,0,4,1,4,0.0,0.0,0.0,0.0,01/01/2027,31/03/2027
karatu,Farm Of  Dream Lodge 27,,Test,FALSE,0,FALSE,USD,FAMILY ROOM *4 (2ADL + 2KIDS),Test,4,5,12,1,4,33.75,67.5,0.0,5.0,01/01/2027,31/03/2027
karatu,Farm Of  Dream Lodge 27,,Test,FALSE,0,FALSE,USD,FAMILY ROOM *4 (2ADL + 2KIDS),Test,4,13,99,1,4,67.5,67.5,0.0,5.0,01/01/2027,31/03/2027
karatu,Farm Of  Dream Lodge 27,,Test,FALSE,0,FALSE,USD,FAMILY ROOM *4 (2ADL + 2KIDS),Test,4,0,4,1,4,0.0,0.0,0.0,0.0,01/04/2027,31/05/2027
karatu,Farm Of  Dream Lodge 27,,Test,FALSE,0,FALSE,USD,FAMILY ROOM *4 (2ADL + 2KIDS),Test,4,5,12,1,4,28.5,57.0,0.0,5.0,01/04/2027,31/05/2027
karatu,Farm Of  Dream Lodge 27,,Test,FALSE,0,FALSE,USD,FAMILY ROOM *4 (2ADL + 2KIDS),Test,4,13,99,1,4,57.0,57.0,0.0,5.0,01/04/2027,31/05/2027
karatu,Farm Of  Dream Lodge 27,,Test,FALSE,0,FALSE,USD,FAMILY ROOM *4 (2ADL + 2KIDS),Test,4,0,4,1,4,0.0,0.0,0.0,0.0,01/06/2027,31/10/2027
karatu,Farm Of  Dream Lodge 27,,Test,FALSE,0,FALSE,USD,FAMILY ROOM *4 (2ADL + 2KIDS),Test,4,5,12,1,4,33.75,67.5,0.0,5.0,01/06/2027,31/10/2027
karatu,Farm Of  Dream Lodge 27,,Test,FALSE,0,FALSE,USD,FAMILY ROOM *4 (2ADL + 2KIDS),Test,4,13,99,1,4,67.5,67.5,0.0,5.0,01/06/2027,31/10/2027
karatu,Farm Of  Dream Lodge 27,,Test,FALSE,0,FALSE,USD,FAMILY ROOM *4 (2ADL + 2KIDS),Test,4,0,4,1,4,0.0,0.0,0.0,0.0,01/11/2027,30/11/2027
karatu,Farm Of  Dream Lodge 27,,Test,FALSE,0,FALSE,USD,FAMILY ROOM *4 (2ADL + 2KIDS),Test,4,5,12,1,4,28.5,57.0,0.0,5.0,01/11/2027,30/11/2027
karatu,Farm Of  Dream Lodge 27,,Test,FALSE,0,FALSE,USD,FAMILY ROOM *4 (2ADL + 2KIDS),Test,4,13,99,1,4,57.0,57.0,0.0,5.0,01/11/2027,30/11/2027
karatu,Farm Of  Dream Lodge 27,,Test,FALSE,0,FALSE,USD,FAMILY ROOM *4 (2ADL + 2KIDS),Test,4,0,4,1,4,0.0,0.0,0.0,0.0,01/12/2027,31/12/2027
karatu,Farm Of  Dream Lodge 27,,Test,FALSE,0,FALSE,USD,FAMILY ROOM *4 (2ADL + 2KIDS),Test,4,5,12,1,4,33.75,67.5,0.0,5.0,01/12/2027,31/12/2027
karatu,Farm Of  Dream Lodge 27,,Test,FALSE,0,FALSE,USD,FAMILY ROOM *4 (2ADL + 2KIDS),Test,4,13,99,1,4,67.5,67.5,0.0,5.0,01/12/2027,31/12/2027
karatu,Farm Of  Dream Lodge 27,,Test,FALSE,0,FALSE,USD,FAMILY ROOM*5 (2ADL + 3KIDS),Test,5,0,4,1,5,0.0,0.0,0.0,0.0,01/01/2027,31/03/2027
karatu,Farm Of  Dream Lodge 27,,Test,FALSE,0,FALSE,USD,FAMILY ROOM*5 (2ADL + 3KIDS),Test,5,5,12,1,5,31.0,62.0,0.0,5.0,01/01/2027,31/03/2027
karatu,Farm Of  Dream Lodge 27,,Test,FALSE,0,FALSE,USD,FAMILY ROOM*5 (2ADL + 3KIDS),Test,5,13,99,1,5,62.0,62.0,0.0,5.0,01/01/2027,31/03/2027
karatu,Farm Of  Dream Lodge 27,,Test,FALSE,0,FALSE,USD,FAMILY ROOM*5 (2ADL + 3KIDS),Test,5,0,4,1,5,0.0,0.0,0.0,0.0,01/04/2027,31/05/2027
karatu,Farm Of  Dream Lodge 27,,Test,FALSE,0,FALSE,USD,FAMILY ROOM*5 (2ADL + 3KIDS),Test,5,5,12,1,5,26.9,53.8,0.0,5.0,01/04/2027,31/05/2027
karatu,Farm Of  Dream Lodge 27,,Test,FALSE,0,FALSE,USD,FAMILY ROOM*5 (2ADL + 3KIDS),Test,5,13,99,1,5,53.8,53.8,0.0,5.0,01/04/2027,31/05/2027
karatu,Farm Of  Dream Lodge 27,,Test,FALSE,0,FALSE,USD,FAMILY ROOM*5 (2ADL + 3KIDS),Test,5,0,4,1,5,0.0,0.0,0.0,0.0,01/06/2027,31/10/2027
karatu,Farm Of  Dream Lodge 27,,Test,FALSE,0,FALSE,USD,FAMILY ROOM*5 (2ADL + 3KIDS),Test,5,5,12,1,5,31.0,62.0,0.0,5.0,01/06/2027,31/10/2027
karatu,Farm Of  Dream Lodge 27,,Test,FALSE,0,FALSE,USD,FAMILY ROOM*5 (2ADL + 3KIDS),Test,5,13,99,1,5,62.0,62.0,0.0,5.0,01/06/2027,31/10/2027
karatu,Farm Of  Dream Lodge 27,,Test,FALSE,0,FALSE,USD,FAMILY ROOM*5 (2ADL + 3KIDS),Test,5,0,4,1,5,0.0,0.0,0.0,0.0,01/11/2027,30/11/2027
karatu,Farm Of  Dream Lodge 27,,Test,FALSE,0,FALSE,USD,FAMILY ROOM*5 (2ADL + 3KIDS),Test,5,5,12,1,5,26.9,53.8,0.0,5.0,01/11/2027,30/11/2027
karatu,Farm Of  Dream Lodge 27,,Test,FALSE,0,FALSE,USD,FAMILY ROOM*5 (2ADL + 3KIDS),Test,5,13,99,1,5,53.8,53.8,0.0,5.0,01/11/2027,30/11/2027
karatu,Farm Of  Dream Lodge 27,,Test,FALSE,0,FALSE,USD,FAMILY ROOM*5 (2ADL + 3KIDS),Test,5,0,4,1,5,0.0,0.0,0.0,0.0,01/12/2027,31/12/2027
karatu,Farm Of  Dream Lodge 27,,Test,FALSE,0,FALSE,USD,FAMILY ROOM*5 (2ADL + 3KIDS),Test,5,5,12,1,5,31.0,62.0,0.0,5.0,01/12/2027,31/12/2027
karatu,Farm Of  Dream Lodge 27,,Test,FALSE,0,FALSE,USD,FAMILY ROOM*5 (2ADL + 3KIDS),Test,5,13,99,1,5,62.0,62.0,0.0,5.0,01/12/2027,31/12/2027
