location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
Lake Natron,Lake NatronTented Camp,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,0,3,1,1,0.0,0.0,0.0,0.0,01/01/2026,28/02/2026
Lake Natron,Lake NatronTented Camp,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,4,16,1,1,65.0,0.0,20.0,50.0,01/01/2026,28/02/2026
Lake Natron,Lake NatronTented Camp,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,17,99,1,1,130.0,0.0,20.0,50.0,01/01/2026,28/02/2026
Lake Natron,Lake NatronTented Camp,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,0,3,1,1,0.0,0.0,0.0,0.0,01/03/2026,31/05/2026
Lake Natron,Lake NatronTented Camp,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,4,16,1,1,50.0,0.0,20.0,50.0,01/03/2026,31/05/2026
Lake Natron,Lake NatronTented Camp,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,17,99,1,1,100.0,0.0,20.0,50.0,01/03/2026,31/05/2026
Lake Natron,Lake NatronTented Camp,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,0,3,1,1,0.0,0.0,0.0,0.0,01/06/2026,31/10/2026
Lake Natron,Lake NatronTented Camp,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,4,16,1,1,65.0,0.0,20.0,50.0,01/06/2026,31/10/2026
Lake Natron,Lake NatronTented Camp,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,17,99,1,1,130.0,0.0,20.0,50.0,01/06/2026,31/10/2026
Lake Natron,Lake NatronTented Camp,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,0,3,1,1,0.0,0.0,0.0,0.0,01/11/2026,19/12/2026
Lake Natron,Lake NatronTented Camp,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,4,16,1,1,50.0,0.0,20.0,50.0,01/11/2026,19/12/2026
Lake Natron,Lake NatronTented Camp,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,17,99,1,1,100.0,0.0,20.0,50.0,01/11/2026,19/12/2026
Lake Natron,Lake NatronTented Camp,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,0,3,1,1,0.0,0.0,0.0,0.0,20/12/2026,31/12/2026
Lake Natron,Lake NatronTented Camp,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,4,16,1,1,65.0,0.0,20.0,50.0,20/12/2026,31/12/2026
Lake Natron,Lake NatronTented Camp,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,17,99,1,1,130.0,0.0,20.0,50.0,20/12/2026,31/12/2026
Lake Natron,Lake NatronTented Camp,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,0,3,1,2,0.0,0.0,0.0,0.0,01/01/2026,28/02/2026
Lake Natron,Lake NatronTented Camp,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,4,16,1,2,42.5,85.0,20.0,50.0,01/01/2026,28/02/2026
Lake Natron,Lake NatronTented Camp,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,17,99,1,2,85.0,85.0,20.0,50.0,01/01/2026,28/02/2026
Lake Natron,Lake NatronTented Camp,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,0,3,1,2,0.0,0.0,0.0,0.0,01/03/2026,31/05/2026
Lake Natron,Lake NatronTented Camp,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,4,16,1,2,30.0,60.0,20.0,50.0,01/03/2026,31/05/2026
Lake Natron,Lake NatronTented Camp,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,17,99,1,2,60.0,60.0,20.0,50.0,01/03/2026,31/05/2026
Lake Natron,Lake NatronTented Camp,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,0,3,1,2,0.0,0.0,0.0,0.0,01/06/2026,31/10/2026
Lake Natron,Lake NatronTented Camp,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,4,16,1,2,42.5,85.0,20.0,50.0,01/06/2026,31/10/2026
Lake Natron,Lake NatronTented Camp,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,17,99,1,2,85.0,85.0,20.0,50.0,01/06/2026,31/10/2026
Lake Natron,Lake NatronTented Camp,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,0,3,1,2,0.0,0.0,0.0,0.0,01/11/2026,19/12/2026
Lake Natron,Lake NatronTented Camp,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,4,16,1,2,30.0,60.0,20.0,50.0,01/11/2026,19/12/2026
