location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
Lake Natron,Lake NatronTented Camp  27,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,0,3,1,1,0.0,0.0,0.0,0.0,01/01/2027,28/02/2027
Lake Natron,Lake NatronTented Camp  27,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,4,16,1,1,71.0,0.0,20.0,50.0,01/01/2027,28/02/2027
Lake Natron,Lake NatronTented Camp  27,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,17,99,1,1,142.0,0.0,20.0,50.0,01/01/2027,28/02/2027
Lake Natron,Lake NatronTented Camp  27,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,0,3,1,1,0.0,0.0,0.0,0.0,01/03/2027,31/05/2027
Lake Natron,Lake NatronTented Camp  27,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,4,16,1,1,56.0,0.0,20.0,50.0,01/03/2027,31/05/2027
Lake Natron,Lake NatronTented Camp  27,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,17,99,1,1,112.0,0.0,20.0,50.0,01/03/2027,31/05/2027
Lake Natron,Lake NatronTented Camp  27,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,0,3,1,1,0.0,0.0,0.0,0.0,01/06/2027,31/10/2027
Lake Natron,Lake NatronTented Camp  27,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,4,16,1,1,71.0,0.0,20.0,50.0,01/06/2027,31/10/2027
Lake Natron,Lake NatronTented Camp  27,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,17,99,1,1,142.0,0.0,20.0,50.0,01/06/2027,31/10/2027
Lake Natron,Lake NatronTented Camp  27,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,0,3,1,1,0.0,0.0,0.0,0.0,01/11/2027,19/12/2027
Lake Natron,Lake NatronTented Camp  27,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,4,16,1,1,56.0,0.0,20.0,50.0,01/11/2027,19/12/2027
Lake Natron,Lake NatronTented Camp  27,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,17,99,1,1,112.0,0.0,20.0,50.0,01/11/2027,19/12/2027
Lake Natron,Lake NatronTented Camp  27,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,0,3,1,1,0.0,0.0,0.0,0.0,20/12/2027,31/12/2027
Lake Natron,Lake NatronTented Camp  27,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,4,16,1,1,71.0,0.0,20.0,50.0,20/12/2027,31/12/2027
Lake Natron,Lake NatronTented Camp  27,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,17,99,1,1,142.0,0.0,20.0,50.0,20/12/2027,31/12/2027
Lake Natron,Lake NatronTented Camp  27,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,0,3,1,2,0.0,0.0,0.0,0.0,01/01/2027,28/02/2027
Lake Natron,Lake NatronTented Camp  27,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,4,16,1,2,48.5,97.0,20.0,50.0,01/01/2027,28/02/2027
Lake Natron,Lake NatronTented Camp  27,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,17,99,1,2,97.0,97.0,20.0,50.0,01/01/2027,28/02/2027
Lake Natron,Lake NatronTented Camp  27,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,0,3,1,2,0.0,0.0,0.0,0.0,01/03/2027,31/05/2027
Lake Natron,Lake NatronTented Camp  27,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,4,16,1,2,36.0,72.0,20.0,50.0,01/03/2027,31/05/2027
Lake Natron,Lake NatronTented Camp  27,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,17,99,1,2,72.0,72.0,20.0,50.0,01/03/2027,31/05/2027
Lake Natron,Lake NatronTented Camp  27,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,0,3,1,2,0.0,0.0,0.0,0.0,01/06/2027,31/10/2027
Lake Natron,Lake NatronTented Camp  27,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,4,16,1,2,48.5,97.0,20.0,50.0,01/06/2027,31/10/2027
Lake Natron,Lake NatronTented Camp  27,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,17,99,1,2,97.0,97.0,20.0,50.0,01/06/2027,31/10/2027
Lake Natron,Lake NatronTented Camp  27,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,0,3,1,2,0.0,0.0,0.0,0.0,01/11/2027,19/12/2027
