location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
Lake Eyasi,Kisima Ngeda Camp 27,,Test,FALSE,0,FALSE,USD,Tented Suite,Test,2,0,4,1,2,0.0,0.0,0.0,0.0,01/01/2027,15/03/2027
Lake Eyasi,Kisima Ngeda Camp 27,,Test,FALSE,0,FALSE,USD,Tented Suite,Test,2,5,12,1,2,448.0,600.0,0.0,0.0,01/01/2027,15/03/2027
Lake Eyasi,Kisima Ngeda Camp 27,,Test,FALSE,0,FALSE,USD,Tented Suite,Test,2,13,16,1,2,539.0,600.0,0.0,0.0,01/01/2027,15/03/2027
Lake Eyasi,Kisima Ngeda Camp 27,,Test,FALSE,0,FALSE,USD,Tented Suite,Test,2,16,99,1,2,600.0,600.0,0.0,0.0,01/01/2027,15/03/2027
Lake Eyasi,Kisima Ngeda Camp 27,,Test,FALSE,0,FALSE,USD,Tented Suite,Test,2,0,4,1,2,0.0,0.0,0.0,0.0,16/03/2027,31/05/2027
Lake Eyasi,Kisima Ngeda Camp 27,,Test,FALSE,0,FALSE,USD,Tented Suite,Test,2,5,12,1,2,390.0,471.0,0.0,0.0,16/03/2027,31/05/2027
Lake Eyasi,Kisima Ngeda Camp 27,,Test,FALSE,0,FALSE,USD,Tented Suite,Test,2,13,16,1,2,438.0,471.0,0.0,0.0,16/03/2027,31/05/2027
Lake Eyasi,Kisima Ngeda Camp 27,,Test,FALSE,0,FALSE,USD,Tented Suite,Test,2,16,99,1,2,471.0,471.0,0.0,0.0,16/03/2027,31/05/2027
Lake Eyasi,Kisima Ngeda Camp 27,,Test,FALSE,0,FALSE,USD,Tented Suite,Test,2,0,4,1,2,0.0,0.0,0.0,0.0,01/06/2027,31/12/2027
Lake Eyasi,Kisima Ngeda Camp 27,,Test,FALSE,0,FALSE,USD,Tented Suite,Test,2,5,12,1,2,448.0,600.0,0.0,0.0,01/06/2027,31/12/2027
Lake Eyasi,Kisima Ngeda Camp 27,,Test,FALSE,0,FALSE,USD,Tented Suite,Test,2,13,16,1,2,539.0,600.0,0.0,0.0,01/06/2027,31/12/2027
Lake Eyasi,Kisima Ngeda Camp 27,,Test,FALSE,0,FALSE,USD,Tented Suite,Test,2,16,99,1,2,600.0,600.0,0.0,0.0,01/06/2027,31/12/2027
Lake Eyasi,Kisima Ngeda Camp 27,,Test,FALSE,0,FALSE,USD,Tented Suite (Single),Test,1,0,4,1,1,0.0,0.0,0.0,0.0,01/01/2027,15/03/2027
Lake Eyasi,Kisima Ngeda Camp 27,,Test,FALSE,0,FALSE,USD,Tented Suite (Single),Test,1,5,12,1,1,448.0,0.0,0.0,0.0,01/01/2027,15/03/2027
Lake Eyasi,Kisima Ngeda Camp 27,,Test,FALSE,0,FALSE,USD,Tented Suite (Single),Test,1,13,16,1,1,539.0,0.0,0.0,0.0,01/01/2027,15/03/2027
Lake Eyasi,Kisima Ngeda Camp 27,,Test,FALSE,0,FALSE,USD,Tented Suite (Single),Test,1,16,99,1,1,698.0,0.0,0.0,0.0,01/01/2027,15/03/2027
Lake Eyasi,Kisima Ngeda Camp 27,,Test,FALSE,0,FALSE,USD,Tented Suite (Single),Test,1,0,4,1,1,0.0,0.0,0.0,0.0,16/03/2027,31/05/2027
Lake Eyasi,Kisima Ngeda Camp 27,,Test,FALSE,0,FALSE,USD,Tented Suite (Single),Test,1,5,12,1,1,390.0,0.0,0.0,0.0,16/03/2027,31/05/2027
Lake Eyasi,Kisima Ngeda Camp 27,,Test,FALSE,0,FALSE,USD,Tented Suite (Single),Test,1,13,16,1,1,438.0,0.0,0.0,0.0,16/03/2027,31/05/2027
Lake Eyasi,Kisima Ngeda Camp 27,,Test,FALSE,0,FALSE,USD,Tented Suite (Single),Test,1,16,99,1,1,523.0,0.0,0.0,0.0,16/03/2027,31/05/2027
Lake Eyasi,Kisima Ngeda Camp 27,,Test,FALSE,0,FALSE,USD,Tented Suite (Single),Test,1,0,4,1,1,0.0,0.0,0.0,0.0,01/06/2027,31/12/2027
Lake Eyasi,Kisima Ngeda Camp 27,,Test,FALSE,0,FALSE,USD,Tented Suite (Single),Test,1,5,12,1,1,448.0,0.0,0.0,0.0,01/06/2027,31/12/2027
Lake Eyasi,Kisima Ngeda Camp 27,,Test,FALSE,0,FALSE,USD,Tented Suite (Single),Test,1,13,16,1,1,539.0,0.0,0.0,0.0,01/06/2027,31/12/2027
Lake Eyasi,Kisima Ngeda Camp 27,,Test,FALSE,0,FALSE,USD,Tented Suite (Single),Test,1,16,99,1,1,698.0,0.0,0.0,0.0,01/06/2027,31/12/2027
