location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
Zanzibar,The Loop Beach Hotel,,Test,FALSE,0,FALSE,USD,Suite With Seaview Double Room,Test,2,0,3,1,2,0.0,0.0,0.0,0.0,07/01/2026,31/03/2026
Zanzibar,The Loop Beach Hotel,,Test,FALSE,0,FALSE,USD,Suite With Seaview Double Room,Test,2,4,11,1,2,41.5,83.0,25.0,45.0,07/01/2026,31/03/2026
Zanzibar,The Loop Beach Hotel,,Test,FALSE,0,FALSE,USD,Suite With Seaview Double Room,Test,2,12,99,1,2,83.0,83.0,25.0,45.0,07/01/2026,31/03/2026
Zanzibar,The Loop Beach Hotel,,Test,FALSE,0,FALSE,USD,Suite With Seaview Double Room,Test,2,0,3,1,2,0.0,0.0,0.0,0.0,01/04/2026,31/05/2026
Zanzibar,The Loop Beach Hotel,,Test,FALSE,0,FALSE,USD,Suite With Seaview Double Room,Test,2,4,11,1,2,31.88,63.75,25.0,45.0,01/04/2026,31/05/2026
Zanzibar,The Loop Beach Hotel,,Test,FALSE,0,FALSE,USD,Suite With Seaview Double Room,Test,2,12,99,1,2,63.75,63.75,25.0,45.0,01/04/2026,31/05/2026
Zanzibar,The Loop Beach Hotel,,Test,FALSE,0,FALSE,USD,Suite With Seaview Double Room,Test,2,0,3,1,2,0.0,0.0,0.0,0.0,01/06/2026,22/12/2026
Zanzibar,The Loop Beach Hotel,,Test,FALSE,0,FALSE,USD,Suite With Seaview Double Room,Test,2,4,11,1,2,41.5,83.0,25.0,45.0,01/06/2026,22/12/2026
Zanzibar,The Loop Beach Hotel,,Test,FALSE,0,FALSE,USD,Suite With Seaview Double Room,Test,2,12,99,1,2,83.0,83.0,25.0,45.0,01/06/2026,22/12/2026
Zanzibar,The Loop Beach Hotel,,Test,FALSE,0,FALSE,USD,Suite With Seaview Double Room,Test,2,0,3,1,2,0.0,0.0,0.0,0.0,23/12/2026,06/01/2027
