location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
Zanzibar,Zanzibar Queen Beach Resort 27,,Test,FALSE,0,FALSE,USD,Beach Front Bungalow with Plunge Pool,Test,2,0,4,1,2,0.0,0.0,0.0,0.0,07/01/2027,28/02/2027
Zanzibar,Zanzibar Queen Beach Resort 27,,Test,FALSE,0,FALSE,USD,Beach Front Bungalow with Plunge Pool,Test,2,5,12,1,2,60.0,250.0,20.0,35.0,07/01/2027,28/02/2027
Zanzibar,Zanzibar Queen Beach Resort 27,,Test,FALSE,0,FALSE,USD,Beach Front Bungalow with Plunge Pool,Test,2,13,99,1,2,250.0,250.0,35.0,60.0,07/01/2027,28/02/2027
Zanzibar,Zanzibar Queen Beach Resort 27,,Test,FALSE,0,FALSE,USD,Beach Front Bungalow with Plunge Pool,Test,2,0,4,1,2,0.0,0.0,0.0,0.0,01/03/2027,31/03/2027
Zanzibar,Zanzibar Queen Beach Resort 27,,Test,FALSE,0,FALSE,USD,Beach Front Bungalow with Plunge Pool,Test,2,5,12,1,2,50.0,205.0,20.0,35.0,01/03/2027,31/03/2027
Zanzibar,Zanzibar Queen Beach Resort 27,,Test,FALSE,0,FALSE,USD,Beach Front Bungalow with Plunge Pool,Test,2,13,99,1,2,205.0,205.0,35.0,60.0,01/03/2027,31/03/2027
Zanzibar,Zanzibar Queen Beach Resort 27,,Test,FALSE,0,FALSE,USD,Beach Front Bungalow with Plunge Pool,Test,2,0,4,1,2,0.0,0.0,0.0,0.0,01/04/2027,30/06/2027
Zanzibar,Zanzibar Queen Beach Resort 27,,Test,FALSE,0,FALSE,USD,Beach Front Bungalow with Plunge Pool,Test,2,5,12,1,2,40.0,165.0,20.0,35.0,01/04/2027,30/06/2027
Zanzibar,Zanzibar Queen Beach Resort 27,,Test,FALSE,0,FALSE,USD,Beach Front Bungalow with Plunge Pool,Test,2,13,99,1,2,165.0,165.0,35.0,60.0,01/04/2027,30/06/2027
Zanzibar,Zanzibar Queen Beach Resort 27,,Test,FALSE,0,FALSE,USD,Beach Front Bungalow with Plunge Pool,Test,2,0,4,1,2,0.0,0.0,0.0,0.0,01/07/2027,31/10/2027
Zanzibar,Zanzibar Queen Beach Resort 27,,Test,FALSE,0,FALSE,USD,Beach Front Bungalow with Plunge Pool,Test,2,5,12,1,2,60.0,250.0,20.0,35.0,01/07/2027,31/10/2027
Zanzibar,Zanzibar Queen Beach Resort 27,,Test,FALSE,0,FALSE,USD,Beach Front Bungalow with Plunge Pool,Test,2,13,99,1,2,250.0,250.0,35.0,60.0,01/07/2027,31/10/2027
Zanzibar,Zanzibar Queen Beach Resort 27,,Test,FALSE,0,FALSE,USD,Beach Front Bungalow with Plunge Pool,Test,2,0,4,1,2,0.0,0.0,0.0,0.0,01/11/2027,22/12/2027
Zanzibar,Zanzibar Queen Beach Resort 27,,Test,FALSE,0,FALSE,USD,Beach Front Bungalow with Plunge Pool,Test,2,5,12,1,2,50.0,205.0,20.0,35.0,01/11/2027,22/12/2027
Zanzibar,Zanzibar Queen Beach Resort 27,,Test,FALSE,0,FALSE,USD,Beach Front Bungalow with Plunge Pool,Test,2,13,99,1,2,205.0,205.0,35.0,60.0,01/11/2027,22/12/2027
Zanzibar,Zanzibar Queen Beach Resort 27,,Test,FALSE,0,FALSE,USD,Beach Front Bungalow with Plunge Pool,Test,2,0,4,1,2,0.0,0.0,0.0,0.0,23/12/2027,06/01/2028
Zanzibar,Zanzibar Queen Beach Resort 27,,Test,FALSE,0,FALSE,USD,Beach Front Bungalow with Plunge Pool,Test,2,5,12,1,2,80.0,310.0,20.0,35.0,23/12/2027,06/01/2028
Zanzibar,Zanzibar Queen Beach Resort 27,,Test,FALSE,0,FALSE,USD,Beach Front Bungalow with Plunge Pool,Test,2,13,99,1,2,310.0,310.0,35.0,60.0,23/12/2027,06/01/2028
Zanzibar,Zanzibar Queen Beach Resort 27,,Test,FALSE,0,FALSE,USD,Standard Room,Test,2,0,4,1,2,0.0,0.0,0.0,0.0,07/01/2027,28/02/2027
Zanzibar,Zanzibar Queen Beach Resort 27,,Test,FALSE,0,FALSE,USD,Standard Room,Test,2,5,12,1,2,60.0,110.0,20.0,35.0,07/01/2027,28/02/2027
Zanzibar,Zanzibar Queen Beach Resort 27,,Test,FALSE,0,FALSE,USD,Standard Room,Test,2,13,99,1,2,110.0,110.0,35.0,60.0,07/01/2027,28/02/2027
Zanzibar,Zanzibar Queen Beach Resort 27,,Test,FALSE,0,FALSE,USD,Standard Room,Test,2,0,4,1,2,0.0,0.0,0.0,0.0,01/03/2027,31/03/2027
Zanzibar,Zanzibar Queen Beach Resort 27,,Test,FALSE,0,FALSE,USD,Standard Room,Test,2,5,12,1,2,50.0,92.5,20.0,35.0,01/03/2027,31/03/2027
Zanzibar,Zanzibar Queen Beach Resort 27,,Test,FALSE,0,FALSE,USD,Standard Room,Test,2,13,99,1,2,92.5,92.5,35.0,60.0,01/03/2027,31/03/2027
Zanzibar,Zanzibar Queen Beach Resort 27,,Test,FALSE,0,FALSE,USD,Standard Room,Test,2,0,4,1,2,0.0,0.0,0.0,0.0,01/04/2027,30/06/2027
Zanzibar,Zanzibar Queen Beach Resort 27,,Test,FALSE,0,FALSE,USD,Standard Room,Test,2,5,12,1,2,40.0,70.0,20.0,35.0,01/04/2027,30/06/2027
Zanzibar,Zanzibar Queen Beach Resort 27,,Test,FALSE,0,FALSE,USD,Standard Room,Test,2,13,99,1,2,70.0,70.0,35.0,60.0,01/04/2027,30/06/2027
Zanzibar,Zanzibar Queen Beach Resort 27,,Test,FALSE,0,FALSE,USD,Standard Room,Test,2,0,4,1,2,0.0,0.0,0.0,0.0,01/07/2027,31/10/2027
Zanzibar,Zanzibar Queen Beach Resort 27,,Test,FALSE,0,FALSE,USD,Standard Room,Test,2,5,12,1,2,60.0,110.0,20.0,35.0,01/07/2027,31/10/2027
Zanzibar,Zanzibar Queen Beach Resort 27,,Test,FALSE,0,FALSE,USD,Standard Room,Test,2,13,99,1,2,110.0,110.0,35.0,60.0,01/07/2027,31/10/2027
Zanzibar,Zanzibar Queen Beach Resort 27,,Test,FALSE,0,FALSE,USD,Standard Room,Test,2,0,4,1,2,0.0,0.0,0.0,0.0,01/11/2027,22/12/2027
Zanzibar,Zanzibar Queen Beach Resort 27,,Test,FALSE,0,FALSE,USD,Standard Room,Test,2,5,12,1,2,50.0,92.5,20.0,35.0,01/11/2027,22/12/2027
Zanzibar,Zanzibar Queen Beach Resort 27,,Test,FALSE,0,FALSE,USD,Standard Room,Test,2,13,99,1,2,92.5,92.5,35.0,60.0,01/11/2027,22/12/2027
Zanzibar,Zanzibar Queen Beach Resort 27,,Test,FALSE,0,FALSE,USD,Standard Room,Test,2,0,4,1,2,0.0,0.0,0.0,0.0,23/12/2027,06/01/2028
Zanzibar,Zanzibar Queen Beach Resort 27,,Test,FALSE,0,FALSE,USD,Standard Room,Test,2,5,12,1,2,80.0,170.0,20.0,35.0,23/12/2027,06/01/2028
Zanzibar,Zanzibar Queen Beach Resort 27,,Test,FALSE,0,FALSE,USD,Standard Room,Test,2,13,99,1,2,170.0,170.0,35.0,60.0,23/12/2027,06/01/2028
Zanzibar,Zanzibar Queen Beach Resort 27,,Test,FALSE,0,FALSE,USD,Interconnecting Rooms,Test,4,0,4,1,4,0.0,0.0,0.0,0.0,07/01/2027,28/02/2027
