location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
Zanzibar,Kendwa Rocks Beach Hotel,,Test,FALSE,0,FALSE,USD,Standard Single Room,Test,1,0,6,1,1,0.0,0.0,0.0,0.0,07/01/2027,31/03/2027
Zanzibar,Kendwa Rocks Beach Hotel,,Test,FALSE,0,FALSE,USD,Standard Single Room,Test,1,7,11,1,1,125.0,0.0,20.0,40.0,07/01/2027,31/03/2027
Zanzibar,Kendwa Rocks Beach Hotel,,Test,FALSE,0,FALSE,USD,Standard Single Room,Test,1,12,99,1,1,250.0,0.0,40.0,80.0,07/01/2027,31/03/2027
Zanzibar,Kendwa Rocks Beach Hotel,,Test,FALSE,0,FALSE,USD,Standard Single Room,Test,1,0,6,1,1,0.0,0.0,0.0,0.0,01/04/2027,31/05/2027
Zanzibar,Kendwa Rocks Beach Hotel,,Test,FALSE,0,FALSE,USD,Standard Single Room,Test,1,7,11,1,1,63.0,0.0,20.0,40.0,01/04/2027,31/05/2027
Zanzibar,Kendwa Rocks Beach Hotel,,Test,FALSE,0,FALSE,USD,Standard Single Room,Test,1,12,99,1,1,126.0,0.0,40.0,80.0,01/04/2027,31/05/2027
Zanzibar,Kendwa Rocks Beach Hotel,,Test,FALSE,0,FALSE,USD,Standard Single Room,Test,1,0,6,1,1,0.0,0.0,0.0,0.0,01/06/2027,30/06/2027
Zanzibar,Kendwa Rocks Beach Hotel,,Test,FALSE,0,FALSE,USD,Standard Single Room,Test,1,7,11,1,1,80.5,0.0,20.0,40.0,01/06/2027,30/06/2027
Zanzibar,Kendwa Rocks Beach Hotel,,Test,FALSE,0,FALSE,USD,Standard Single Room,Test,1,12,99,1,1,161.0,0.0,40.0,80.0,01/06/2027,30/06/2027
Zanzibar,Kendwa Rocks Beach Hotel,,Test,FALSE,0,FALSE,USD,Standard Single Room,Test,1,0,6,1,1,0.0,0.0,0.0,0.0,01/07/2027,31/08/2027
Zanzibar,Kendwa Rocks Beach Hotel,,Test,FALSE,0,FALSE,USD,Standard Single Room,Test,1,7,11,1,1,125.0,0.0,20.0,40.0,01/07/2027,31/08/2027
Zanzibar,Kendwa Rocks Beach Hotel,,Test,FALSE,0,FALSE,USD,Standard Single Room,Test,1,12,99,1,1,250.0,0.0,40.0,80.0,01/07/2027,31/08/2027
Zanzibar,Kendwa Rocks Beach Hotel,,Test,FALSE,0,FALSE,USD,Standard Single Room,Test,1,0,6,1,1,0.0,0.0,0.0,0.0,01/09/2027,31/10/2027
Zanzibar,Kendwa Rocks Beach Hotel,,Test,FALSE,0,FALSE,USD,Standard Single Room,Test,1,7,11,1,1,80.5,0.0,20.0,40.0,01/09/2027,31/10/2027
Zanzibar,Kendwa Rocks Beach Hotel,,Test,FALSE,0,FALSE,USD,Standard Single Room,Test,1,12,99,1,1,161.0,0.0,40.0,80.0,01/09/2027,31/10/2027
Zanzibar,Kendwa Rocks Beach Hotel,,Test,FALSE,0,FALSE,USD,Standard Single Room,Test,1,0,6,1,1,0.0,0.0,0.0,0.0,01/11/2027,20/12/2027
Zanzibar,Kendwa Rocks Beach Hotel,,Test,FALSE,0,FALSE,USD,Standard Single Room,Test,1,7,11,1,1,125.0,0.0,20.0,40.0,01/11/2027,20/12/2027
Zanzibar,Kendwa Rocks Beach Hotel,,Test,FALSE,0,FALSE,USD,Standard Single Room,Test,1,12,99,1,1,250.0,0.0,40.0,80.0,01/11/2027,20/12/2027
