location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
Zanzibar,Kisiwa On The Beach 27,,Test,FALSE,0,FALSE,USD,BahariBeachFront Pool Villa  With Outdoor Shower,Test,2,0,5,1,2,0.0,0.0,0.0,0.0,06/01/2027,31/03/2027
Zanzibar,Kisiwa On The Beach 27,,Test,FALSE,0,FALSE,USD,BahariBeachFront Pool Villa  With Outdoor Shower,Test,2,6,15,1,2,0.0,0.0,0.0,58.0,06/01/2027,31/03/2027
Zanzibar,Kisiwa On The Beach 27,,Test,FALSE,0,FALSE,USD,BahariBeachFront Pool Villa  With Outdoor Shower,Test,2,16,99,1,2,334.0,334.0,0.0,115.0,06/01/2027,31/03/2027
Zanzibar,Kisiwa On The Beach 27,,Test,FALSE,0,FALSE,USD,BahariBeachFront Pool Villa  With Outdoor Shower,Test,2,0,5,1,2,0.0,0.0,0.0,0.0,01/04/2027,30/06/2027
Zanzibar,Kisiwa On The Beach 27,,Test,FALSE,0,FALSE,USD,BahariBeachFront Pool Villa  With Outdoor Shower,Test,2,6,15,1,2,0.0,0.0,0.0,58.0,01/04/2027,30/06/2027
Zanzibar,Kisiwa On The Beach 27,,Test,FALSE,0,FALSE,USD,BahariBeachFront Pool Villa  With Outdoor Shower,Test,2,16,99,1,2,268.0,268.0,0.0,115.0,01/04/2027,30/06/2027
Zanzibar,Kisiwa On The Beach 27,,Test,FALSE,0,FALSE,USD,BahariBeachFront Pool Villa  With Outdoor Shower,Test,2,0,5,1,2,0.0,0.0,0.0,0.0,01/07/2027,22/12/2027
Zanzibar,Kisiwa On The Beach 27,,Test,FALSE,0,FALSE,USD,BahariBeachFront Pool Villa  With Outdoor Shower,Test,2,6,15,1,2,0.0,0.0,0.0,58.0,01/07/2027,22/12/2027
Zanzibar,Kisiwa On The Beach 27,,Test,FALSE,0,FALSE,USD,BahariBeachFront Pool Villa  With Outdoor Shower,Test,2,16,99,1,2,334.0,334.0,0.0,115.0,01/07/2027,22/12/2027
Zanzibar,Kisiwa On The Beach 27,,Test,FALSE,0,FALSE,USD,BahariBeachFront Pool Villa  With Outdoor Shower,Test,2,0,5,1,2,0.0,0.0,0.0,0.0,23/12/2027,05/01/2028
Zanzibar,Kisiwa On The Beach 27,,Test,FALSE,0,FALSE,USD,BahariBeachFront Pool Villa  With Outdoor Shower,Test,2,6,15,1,2,0.0,0.0,0.0,58.0,23/12/2027,05/01/2028
Zanzibar,Kisiwa On The Beach 27,,Test,FALSE,0,FALSE,USD,BahariBeachFront Pool Villa  With Outdoor Shower,Test,2,16,99,1,2,367.5,367.5,0.0,115.0,23/12/2027,05/01/2028
Zanzibar,Kisiwa On The Beach 27,,Test,FALSE,0,FALSE,USD,Bahari BeachFront Pool Villa,Test,2,0,5,1,2,0.0,0.0,0.0,0.0,06/01/2027,31/03/2027
Zanzibar,Kisiwa On The Beach 27,,Test,FALSE,0,FALSE,USD,Bahari BeachFront Pool Villa,Test,2,6,15,1,2,0.0,0.0,0.0,58.0,06/01/2027,31/03/2027
Zanzibar,Kisiwa On The Beach 27,,Test,FALSE,0,FALSE,USD,Bahari BeachFront Pool Villa,Test,2,16,99,1,2,318.0,318.0,0.0,115.0,06/01/2027,31/03/2027
Zanzibar,Kisiwa On The Beach 27,,Test,FALSE,0,FALSE,USD,Bahari BeachFront Pool Villa,Test,2,0,5,1,2,0.0,0.0,0.0,0.0,01/04/2027,30/06/2027
