location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
Moshi,Tulivu Kilimanjaro Retreat 27,,Test,FALSE,0,FALSE,USD,Standard Room (Single),Test,1,0,3,1,1,0.0,0.0,28.0,55.0,01/01/2027,14/03/2027
Moshi,Tulivu Kilimanjaro Retreat 27,,Test,FALSE,0,FALSE,USD,Standard Room (Single),Test,1,4,11,1,1,35.0,0.0,28.0,55.0,01/01/2027,14/03/2027
Moshi,Tulivu Kilimanjaro Retreat 27,,Test,FALSE,0,FALSE,USD,Standard Room (Single),Test,1,12,99,1,1,70.0,0.0,28.0,55.0,01/01/2027,14/03/2027
Moshi,Tulivu Kilimanjaro Retreat 27,,Test,FALSE,0,FALSE,USD,Standard Room (Single),Test,1,0,3,1,1,0.0,0.0,28.0,55.0,15/03/2027,14/06/2027
Moshi,Tulivu Kilimanjaro Retreat 27,,Test,FALSE,0,FALSE,USD,Standard Room (Single),Test,1,4,11,1,1,23.5,0.0,28.0,55.0,15/03/2027,14/06/2027
Moshi,Tulivu Kilimanjaro Retreat 27,,Test,FALSE,0,FALSE,USD,Standard Room (Single),Test,1,12,99,1,1,47.0,0.0,28.0,55.0,15/03/2027,14/06/2027
Moshi,Tulivu Kilimanjaro Retreat 27,,Test,FALSE,0,FALSE,USD,Standard Room (Single),Test,1,0,3,1,1,0.0,0.0,28.0,55.0,15/06/2027,15/10/2027
Moshi,Tulivu Kilimanjaro Retreat 27,,Test,FALSE,0,FALSE,USD,Standard Room (Single),Test,1,4,11,1,1,35.0,0.0,28.0,55.0,15/06/2027,15/10/2027
Moshi,Tulivu Kilimanjaro Retreat 27,,Test,FALSE,0,FALSE,USD,Standard Room (Single),Test,1,12,99,1,1,70.0,0.0,28.0,55.0,15/06/2027,15/10/2027
Moshi,Tulivu Kilimanjaro Retreat 27,,Test,FALSE,0,FALSE,USD,Standard Room (Single),Test,1,0,3,1,1,0.0,0.0,28.0,55.0,16/10/2027,05/12/2027
Moshi,Tulivu Kilimanjaro Retreat 27,,Test,FALSE,0,FALSE,USD,Standard Room (Single),Test,1,4,11,1,1,23.5,0.0,28.0,55.0,16/10/2027,05/12/2027
