location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
Moshi,Sharuu,,test,FALSE,0,FALSE,USD,Single Room,test,1,0,3,1,1,0.0,0.0,35.0,70.0,01/01/2026,30/04/2026
Moshi,Sharuu,,test,FALSE,0,FALSE,USD,Single Room,test,1,4,11,1,1,75.0,0.0,35.0,70.0,01/01/2026,30/04/2026
Moshi,Sharuu,,test,FALSE,0,FALSE,USD,Single Room,test,1,12,99,1,1,150.0,0.0,35.0,70.0,01/01/2026,30/04/2026
Moshi,Sharuu,,test,FALSE,0,FALSE,USD,Single Room,test,1,0,3,1,1,0.0,0.0,35.0,70.0,01/05/2026,31/07/2026
Moshi,Sharuu,,test,FALSE,0,FALSE,USD,Single Room,test,1,4,11,1,1,50.0,0.0,35.0,70.0,01/05/2026,31/07/2026
Moshi,Sharuu,,test,FALSE,0,FALSE,USD,Single Room,test,1,12,99,1,1,100.0,0.0,35.0,70.0,01/05/2026,31/07/2026
Moshi,Sharuu,,test,FALSE,0,FALSE,USD,Single Room,test,1,0,3,1,1,0.0,0.0,35.0,70.0,01/08/2026,30/11/2026
Moshi,Sharuu,,test,FALSE,0,FALSE,USD,Single Room,test,1,4,11,1,1,60.0,0.0,35.0,70.0,01/08/2026,30/11/2026
Moshi,Sharuu,,test,FALSE,0,FALSE,USD,Single Room,test,1,12,99,1,1,120.0,0.0,35.0,70.0,01/08/2026,30/11/2026
Moshi,Sharuu,,test,FALSE,0,FALSE,USD,Single Room,test,1,0,3,1,1,0.0,0.0,35.0,70.0,01/12/2026,31/12/2026
Moshi,Sharuu,,test,FALSE,0,FALSE,USD,Single Room,test,1,4,11,1,1,75.0,0.0,35.0,70.0,01/12/2026,31/12/2026
Moshi,Sharuu,,test,FALSE,0,FALSE,USD,Single Room,test,1,12,99,1,1,150.0,0.0,35.0,70.0,01/12/2026,31/12/2026
Moshi,Sharuu,,test,FALSE,0,FALSE,USD,Standard  Double Room,test,2,0,3,1,2,0.0,0.0,35.0,70.0,01/01/2026,30/04/2026
Moshi,Sharuu,,test,FALSE,0,FALSE,USD,Standard  Double Room,test,2,4,11,1,2,62.5,125.0,35.0,70.0,01/01/2026,30/04/2026
Moshi,Sharuu,,test,FALSE,0,FALSE,USD,Standard  Double Room,test,2,12,99,1,2,125.0,125.0,35.0,70.0,01/01/2026,30/04/2026
Moshi,Sharuu,,test,FALSE,0,FALSE,USD,Standard  Double Room,test,2,0,3,1,2,0.0,0.0,35.0,70.0,01/05/2026,31/07/2026
Moshi,Sharuu,,test,FALSE,0,FALSE,USD,Standard  Double Room,test,2,4,11,1,2,31.25,62.5,35.0,70.0,01/05/2026,31/07/2026
Moshi,Sharuu,,test,FALSE,0,FALSE,USD,Standard  Double Room,test,2,12,99,1,2,62.5,62.5,35.0,70.0,01/05/2026,31/07/2026
Moshi,Sharuu,,test,FALSE,0,FALSE,USD,Standard  Double Room,test,2,0,3,1,2,0.0,0.0,35.0,70.0,01/08/2026,30/11/2026
Moshi,Sharuu,,test,FALSE,0,FALSE,USD,Standard  Double Room,test,2,4,11,1,2,57.5,115.0,35.0,70.0,01/08/2026,30/11/2026
Moshi,Sharuu,,test,FALSE,0,FALSE,USD,Standard  Double Room,test,2,12,99,1,2,115.0,115.0,35.0,70.0,01/08/2026,30/11/2026
Moshi,Sharuu,,test,FALSE,0,FALSE,USD,Standard  Double Room,test,2,0,3,1,2,0.0,0.0,35.0,70.0,01/12/2026,31/12/2026
Moshi,Sharuu,,test,FALSE,0,FALSE,USD,Standard  Double Room,test,2,4,11,1,2,62.5,125.0,35.0,70.0,01/12/2026,31/12/2026
Moshi,Sharuu,,test,FALSE,0,FALSE,USD,Standard  Double Room,test,2,12,99,1,2,125.0,125.0,35.0,70.0,01/12/2026,31/12/2026
Moshi,Sharuu,,test,FALSE,0,FALSE,USD,Standard  Single  Room,test,1,0,3,1,1,0.0,0.0,35.0,70.0,01/01/2026,30/04/2026
Moshi,Sharuu,,test,FALSE,0,FALSE,USD,Standard  Single  Room,test,1,4,11,1,1,110.0,0.0,35.0,70.0,01/01/2026,30/04/2026
Moshi,Sharuu,,test,FALSE,0,FALSE,USD,Standard  Single  Room,test,1,12,99,1,1,220.0,0.0,35.0,70.0,01/01/2026,30/04/2026
Moshi,Sharuu,,test,FALSE,0,FALSE,USD,Standard  Single  Room,test,1,0,3,1,1,0.0,0.0,35.0,70.0,01/05/2026,31/07/2026
Moshi,Sharuu,,test,FALSE,0,FALSE,USD,Standard  Single  Room,test,1,4,11,1,1,60.0,0.0,35.0,70.0,01/05/2026,31/07/2026
Moshi,Sharuu,,test,FALSE,0,FALSE,USD,Standard  Single  Room,test,1,12,99,1,1,120.0,0.0,35.0,70.0,01/05/2026,31/07/2026
Moshi,Sharuu,,test,FALSE,0,FALSE,USD,Standard  Single  Room,test,1,0,3,1,1,0.0,0.0,35.0,70.0,01/08/2026,30/11/2026
Moshi,Sharuu,,test,FALSE,0,FALSE,USD,Standard  Single  Room,test,1,4,11,1,1,100.0,0.0,35.0,70.0,01/08/2026,30/11/2026
Moshi,Sharuu,,test,FALSE,0,FALSE,USD,Standard  Single  Room,test,1,12,99,1,1,200.0,0.0,35.0,70.0,01/08/2026,30/11/2026
Moshi,Sharuu,,test,FALSE,0,FALSE,USD,Standard  Single  Room,test,1,0,3,1,1,0.0,0.0,35.0,70.0,01/12/2026,31/12/2026
Moshi,Sharuu,,test,FALSE,0,FALSE,USD,Standard  Single  Room,test,1,4,11,1,1,110.0,0.0,35.0,70.0,01/12/2026,31/12/2026
Moshi,Sharuu,,test,FALSE,0,FALSE,USD,Standard  Single  Room,test,1,12,99,1,1,220.0,0.0,35.0,70.0,01/12/2026,31/12/2026
Moshi,Sharuu,,test,FALSE,0,FALSE,USD,Standard Twin  Room,test,2,0,3,1,2,0.0,0.0,35.0,70.0,01/01/2026,30/04/2026
Moshi,Sharuu,,test,FALSE,0,FALSE,USD,Standard Twin  Room,test,2,4,11,1,2,70.0,140.0,35.0,70.0,01/01/2026,30/04/2026
Moshi,Sharuu,,test,FALSE,0,FALSE,USD,Standard Twin  Room,test,2,12,99,1,2,140.0,140.0,35.0,70.0,01/01/2026,30/04/2026
Moshi,Sharuu,,test,FALSE,0,FALSE,USD,Standard Twin  Room,test,2,0,3,1,2,0.0,0.0,35.0,70.0,01/05/2026,31/07/2026
Moshi,Sharuu,,test,FALSE,0,FALSE,USD,Standard Twin  Room,test,2,4,11,1,2,37.5,75.0,35.0,70.0,01/05/2026,31/07/2026
Moshi,Sharuu,,test,FALSE,0,FALSE,USD,Standard Twin  Room,test,2,12,99,1,2,75.0,75.0,35.0,70.0,01/05/2026,31/07/2026
Moshi,Sharuu,,test,FALSE,0,FALSE,USD,Standard Twin  Room,test,2,0,3,1,2,0.0,0.0,35.0,70.0,01/08/2026,30/11/2026
Moshi,Sharuu,,test,FALSE,0,FALSE,USD,Standard Twin  Room,test,2,4,11,1,2,62.5,125.0,35.0,70.0,01/08/2026,30/11/2026
Moshi,Sharuu,,test,FALSE,0,FALSE,USD,Standard Twin  Room,test,2,12,99,1,2,125.0,125.0,35.0,70.0,01/08/2026,30/11/2026
Moshi,Sharuu,,test,FALSE,0,FALSE,USD,Standard Twin  Room,test,2,0,3,1,2,0.0,0.0,35.0,70.0,01/12/2026,31/12/2026
Moshi,Sharuu,,test,FALSE,0,FALSE,USD,Standard Twin  Room,test,2,4,11,1,2,70.0,140.0,35.0,70.0,01/12/2026,31/12/2026
Moshi,Sharuu,,test,FALSE,0,FALSE,USD,Standard Twin  Room,test,2,12,99,1,2,140.0,140.0,35.0,70.0,01/12/2026,31/12/2026
Moshi,Sharuu,,test,FALSE,0,FALSE,USD,Luxury (VIP) Room,test,2,0,3,1,2,0.0,0.0,35.0,70.0,01/01/2026,30/04/2026
Moshi,Sharuu,,test,FALSE,0,FALSE,USD,Luxury (VIP) Room,test,2,4,11,1,2,100.0,200.0,35.0,70.0,01/01/2026,30/04/2026
Moshi,Sharuu,,test,FALSE,0,FALSE,USD,Luxury (VIP) Room,test,2,12,99,1,2,200.0,200.0,35.0,70.0,01/01/2026,30/04/2026
Moshi,Sharuu,,test,FALSE,0,FALSE,USD,Luxury (VIP) Room,test,2,0,3,1,2,0.0,0.0,35.0,70.0,01/05/2026,31/07/2026
Moshi,Sharuu,,test,FALSE,0,FALSE,USD,Luxury (VIP) Room,test,2,4,11,1,2,75.0,150.0,35.0,70.0,01/05/2026,31/07/2026
Moshi,Sharuu,,test,FALSE,0,FALSE,USD,Luxury (VIP) Room,test,2,12,99,1,2,150.0,150.0,35.0,70.0,01/05/2026,31/07/2026
Moshi,Sharuu,,test,FALSE,0,FALSE,USD,Luxury (VIP) Room,test,2,0,3,1,2,0.0,0.0,35.0,70.0,01/08/2026,30/11/2026
Moshi,Sharuu,,test,FALSE,0,FALSE,USD,Luxury (VIP) Room,test,2,4,11,1,2,87.5,175.0,35.0,70.0,01/08/2026,30/11/2026
Moshi,Sharuu,,test,FALSE,0,FALSE,USD,Luxury (VIP) Room,test,2,12,99,1,2,175.0,175.0,35.0,70.0,01/08/2026,30/11/2026
Moshi,Sharuu,,test,FALSE,0,FALSE,USD,Luxury (VIP) Room,test,2,0,3,1,2,0.0,0.0,35.0,70.0,01/12/2026,31/12/2026
Moshi,Sharuu,,test,FALSE,0,FALSE,USD,Luxury (VIP) Room,test,2,4,11,1,2,100.0,200.0,35.0,70.0,01/12/2026,31/12/2026
Moshi,Sharuu,,test,FALSE,0,FALSE,USD,Luxury (VIP) Room,test,2,12,99,1,2,200.0,200.0,35.0,70.0,01/12/2026,31/12/2026
