location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
Arusha,Naibor Villa,,test,FALSE,0,FALSE,USD,Deluxe Room ( Double),test,2,0,2,1,2,0.0,0.0,15.0,30.0,01/01/2026,31/12/2026
Arusha,Naibor Villa,,test,FALSE,0,FALSE,USD,Deluxe Room ( Double),test,2,3,12,1,2,20.0,40.0,15.0,30.0,01/01/2026,31/12/2026
Arusha,Naibor Villa,,test,FALSE,0,FALSE,USD,Deluxe Room ( Double),test,2,13,99,1,2,40.0,40.0,15.0,30.0,01/01/2026,31/12/2026
Arusha,Naibor Villa,,test,FALSE,0,FALSE,USD,Deluxe Room ( Twin),test,2,0,2,1,2,0.0,0.0,15.0,30.0,01/01/2026,31/12/2026
Arusha,Naibor Villa,,test,FALSE,0,FALSE,USD,Deluxe Room ( Twin),test,2,3,12,1,2,20.0,40.0,15.0,30.0,01/01/2026,31/12/2026
Arusha,Naibor Villa,,test,FALSE,0,FALSE,USD,Deluxe Room ( Twin),test,2,13,99,1,2,40.0,40.0,15.0,30.0,01/01/2026,31/12/2026
Arusha,Naibor Villa,,test,FALSE,0,FALSE,USD,Deluxe Room ( Triple),test,3,0,2,1,3,0.0,0.0,15.0,30.0,01/01/2026,31/12/2026
Arusha,Naibor Villa,,test,FALSE,0,FALSE,USD,Deluxe Room ( Triple),test,3,3,12,1,3,20.84,41.67,15.0,30.0,01/01/2026,31/12/2026
Arusha,Naibor Villa,,test,FALSE,0,FALSE,USD,Deluxe Room ( Triple),test,3,13,99,1,3,41.67,41.67,15.0,30.0,01/01/2026,31/12/2026
Arusha,Naibor Villa,,test,FALSE,0,FALSE,USD,Deluxe Room ( Family),test,6,0,2,1,6,0.0,0.0,15.0,30.0,01/01/2026,31/12/2026
Arusha,Naibor Villa,,test,FALSE,0,FALSE,USD,Deluxe Room ( Family),test,6,3,12,1,6,13.34,26.67,15.0,30.0,01/01/2026,31/12/2026
Arusha,Naibor Villa,,test,FALSE,0,FALSE,USD,Deluxe Room ( Family),test,6,13,99,1,6,26.67,26.67,15.0,30.0,01/01/2026,31/12/2026
Arusha,Naibor Villa,,test,FALSE,0,FALSE,USD,Deluxe Room ( Single ),test,1,0,2,1,1,0.0,0.0,15.0,30.0,01/01/2026,31/12/2026
Arusha,Naibor Villa,,test,FALSE,0,FALSE,USD,Deluxe Room ( Single ),test,1,3,12,1,1,30.0,0.0,15.0,30.0,01/01/2026,31/12/2026
Arusha,Naibor Villa,,test,FALSE,0,FALSE,USD,Deluxe Room ( Single ),test,1,13,99,1,1,60.0,0.0,15.0,30.0,01/01/2026,31/12/2026
