location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
karatu,The Retreat at Ngorongoro,,Test,FALSE,0,FALSE,USD,Single Villa,test,1,0,2,1,1,0.0,0.0,0.0,0.0,01/01/2027,28/02/2027
karatu,The Retreat at Ngorongoro,,Test,FALSE,0,FALSE,USD,Single Villa,test,1,3,15,1,1,147.82,0.0,0.0,0.0,01/01/2027,28/02/2027
karatu,The Retreat at Ngorongoro,,Test,FALSE,0,FALSE,USD,Single Villa,test,1,16,99,1,1,295.65,0.0,0.0,0.0,01/01/2027,28/02/2027
karatu,The Retreat at Ngorongoro,,Test,FALSE,0,FALSE,USD,Single Villa,test,1,0,2,1,1,0.0,0.0,0.0,0.0,01/03/2027,31/05/2027
karatu,The Retreat at Ngorongoro,,Test,FALSE,0,FALSE,USD,Single Villa,test,1,3,15,1,1,91.45,0.0,0.0,0.0,01/03/2027,31/05/2027
karatu,The Retreat at Ngorongoro,,Test,FALSE,0,FALSE,USD,Single Villa,test,1,16,99,1,1,182.9,0.0,0.0,0.0,01/03/2027,31/05/2027
karatu,The Retreat at Ngorongoro,,Test,FALSE,0,FALSE,USD,Single Villa,test,1,0,2,1,1,0.0,0.0,0.0,0.0,01/06/2027,30/06/2027
karatu,The Retreat at Ngorongoro,,Test,FALSE,0,FALSE,USD,Single Villa,test,1,3,15,1,1,147.82,0.0,0.0,0.0,01/06/2027,30/06/2027
karatu,The Retreat at Ngorongoro,,Test,FALSE,0,FALSE,USD,Single Villa,test,1,16,99,1,1,295.65,0.0,0.0,0.0,01/06/2027,30/06/2027
karatu,The Retreat at Ngorongoro,,Test,FALSE,0,FALSE,USD,Single Villa,test,1,0,2,1,1,0.0,0.0,0.0,0.0,01/07/2027,31/08/2027
karatu,The Retreat at Ngorongoro,,Test,FALSE,0,FALSE,USD,Single Villa,test,1,3,15,1,1,159.68,0.0,0.0,0.0,01/07/2027,31/08/2027
karatu,The Retreat at Ngorongoro,,Test,FALSE,0,FALSE,USD,Single Villa,test,1,16,99,1,1,319.35,0.0,0.0,0.0,01/07/2027,31/08/2027
karatu,The Retreat at Ngorongoro,,Test,FALSE,0,FALSE,USD,Single Villa,test,1,0,2,1,1,0.0,0.0,0.0,0.0,01/09/2027,31/10/2027
karatu,The Retreat at Ngorongoro,,Test,FALSE,0,FALSE,USD,Single Villa,test,1,3,15,1,1,147.82,0.0,0.0,0.0,01/09/2027,31/10/2027
karatu,The Retreat at Ngorongoro,,Test,FALSE,0,FALSE,USD,Single Villa,test,1,16,99,1,1,295.65,0.0,0.0,0.0,01/09/2027,31/10/2027
karatu,The Retreat at Ngorongoro,,Test,FALSE,0,FALSE,USD,Single Villa,test,1,0,2,1,1,0.0,0.0,0.0,0.0,01/11/2027,19/12/2027
karatu,The Retreat at Ngorongoro,,Test,FALSE,0,FALSE,USD,Single Villa,test,1,3,15,1,1,91.45,0.0,0.0,0.0,01/11/2027,19/12/2027
karatu,The Retreat at Ngorongoro,,Test,FALSE,0,FALSE,USD,Single Villa,test,1,16,99,1,1,182.9,0.0,0.0,0.0,01/11/2027,19/12/2027
karatu,The Retreat at Ngorongoro,,Test,FALSE,0,FALSE,USD,Single Villa,test,1,0,2,1,1,0.0,0.0,0.0,0.0,20/12/2027,31/12/2027
karatu,The Retreat at Ngorongoro,,Test,FALSE,0,FALSE,USD,Single Villa,test,1,3,15,1,1,159.68,0.0,0.0,0.0,20/12/2027,31/12/2027
karatu,The Retreat at Ngorongoro,,Test,FALSE,0,FALSE,USD,Single Villa,test,1,16,99,1,1,319.35,0.0,0.0,0.0,20/12/2027,31/12/2027
