location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
Lake Manyara,Manyara Baobab Lodge,,Test,FALSE,0,FALSE,USD,Single Room,test,1,0,3,1,1,0.0,0.0,0.0,0.0,16/03/2026,31/05/2026
Lake Manyara,Manyara Baobab Lodge,,Test,FALSE,0,FALSE,USD,Single Room,test,1,4,16,1,1,79.0,0.0,25.0,30.0,16/03/2026,31/05/2026
Lake Manyara,Manyara Baobab Lodge,,Test,FALSE,0,FALSE,USD,Single Room,test,1,17,99,1,1,158.0,0.0,25.0,30.0,16/03/2026,31/05/2026
Lake Manyara,Manyara Baobab Lodge,,Test,FALSE,0,FALSE,USD,Single Room,test,1,0,3,1,1,0.0,0.0,0.0,0.0,01/06/2026,31/10/2026
Lake Manyara,Manyara Baobab Lodge,,Test,FALSE,0,FALSE,USD,Single Room,test,1,4,16,1,1,112.5,0.0,25.0,30.0,01/06/2026,31/10/2026
Lake Manyara,Manyara Baobab Lodge,,Test,FALSE,0,FALSE,USD,Single Room,test,1,17,99,1,1,225.0,0.0,25.0,30.0,01/06/2026,31/10/2026
Lake Manyara,Manyara Baobab Lodge,,Test,FALSE,0,FALSE,USD,Single Room,test,1,0,3,1,1,0.0,0.0,0.0,0.0,01/11/2026,19/12/2026
Lake Manyara,Manyara Baobab Lodge,,Test,FALSE,0,FALSE,USD,Single Room,test,1,4,16,1,1,79.0,0.0,25.0,30.0,01/11/2026,19/12/2026
Lake Manyara,Manyara Baobab Lodge,,Test,FALSE,0,FALSE,USD,Single Room,test,1,17,99,1,1,158.0,0.0,25.0,30.0,01/11/2026,19/12/2026
Lake Manyara,Manyara Baobab Lodge,,Test,FALSE,0,FALSE,USD,Single Room,test,1,0,3,1,1,0.0,0.0,0.0,0.0,20/12/2026,15/03/2027
Lake Manyara,Manyara Baobab Lodge,,Test,FALSE,0,FALSE,USD,Single Room,test,1,4,16,1,1,112.5,0.0,25.0,30.0,20/12/2026,15/03/2027
Lake Manyara,Manyara Baobab Lodge,,Test,FALSE,0,FALSE,USD,Single Room,test,1,17,99,1,1,225.0,0.0,25.0,30.0,20/12/2026,15/03/2027
Lake Manyara,Manyara Baobab Lodge,,Test,FALSE,0,FALSE,USD,Single Room,test,1,0,3,1,1,0.0,0.0,0.0,0.0,16/03/2027,31/05/2027
Lake Manyara,Manyara Baobab Lodge,,Test,FALSE,0,FALSE,USD,Single Room,test,1,4,16,1,1,79.0,0.0,25.0,30.0,16/03/2027,31/05/2027
Lake Manyara,Manyara Baobab Lodge,,Test,FALSE,0,FALSE,USD,Single Room,test,1,17,99,1,1,158.0,0.0,25.0,30.0,16/03/2027,31/05/2027
Lake Manyara,Manyara Baobab Lodge,,Test,FALSE,0,FALSE,USD,Single Room,test,1,0,3,1,1,0.0,0.0,0.0,0.0,01/06/2027,31/10/2027
Lake Manyara,Manyara Baobab Lodge,,Test,FALSE,0,FALSE,USD,Single Room,test,1,4,16,1,1,112.5,0.0,25.0,30.0,01/06/2027,31/10/2027
Lake Manyara,Manyara Baobab Lodge,,Test,FALSE,0,FALSE,USD,Single Room,test,1,17,99,1,1,225.0,0.0,25.0,30.0,01/06/2027,31/10/2027
Lake Manyara,Manyara Baobab Lodge,,Test,FALSE,0,FALSE,USD,Single Room,test,1,0,3,1,1,0.0,0.0,0.0,0.0,01/11/2027,19/12/2027
Lake Manyara,Manyara Baobab Lodge,,Test,FALSE,0,FALSE,USD,Single Room,test,1,4,16,1,1,79.0,0.0,25.0,30.0,01/11/2027,19/12/2027
Lake Manyara,Manyara Baobab Lodge,,Test,FALSE,0,FALSE,USD,Single Room,test,1,17,99,1,1,158.0,0.0,25.0,30.0,01/11/2027,19/12/2027
Lake Manyara,Manyara Baobab Lodge,,Test,FALSE,0,FALSE,USD,Single Room,test,1,0,3,1,1,0.0,0.0,0.0,0.0,20/12/2027,31/12/2027
Lake Manyara,Manyara Baobab Lodge,,Test,FALSE,0,FALSE,USD,Single Room,test,1,4,16,1,1,112.5,0.0,25.0,30.0,20/12/2027,31/12/2027
Lake Manyara,Manyara Baobab Lodge,,Test,FALSE,0,FALSE,USD,Single Room,test,1,17,99,1,1,225.0,0.0,25.0,30.0,20/12/2027,31/12/2027
Lake Manyara,Manyara Baobab Lodge,,Test,FALSE,0,FALSE,USD,Double Room,test,2,0,3,1,2,0.0,0.0,0.0,0.0,16/03/2026,31/05/2026
Lake Manyara,Manyara Baobab Lodge,,Test,FALSE,0,FALSE,USD,Double Room,test,2,4,16,1,2,52.5,105.0,25.0,30.0,16/03/2026,31/05/2026
Lake Manyara,Manyara Baobab Lodge,,Test,FALSE,0,FALSE,USD,Double Room,test,2,17,99,1,2,105.0,105.0,25.0,30.0,16/03/2026,31/05/2026
Lake Manyara,Manyara Baobab Lodge,,Test,FALSE,0,FALSE,USD,Double Room,test,2,0,3,1,2,0.0,0.0,0.0,0.0,01/06/2026,31/10/2026
Lake Manyara,Manyara Baobab Lodge,,Test,FALSE,0,FALSE,USD,Double Room,test,2,4,16,1,2,75.0,150.0,25.0,30.0,01/06/2026,31/10/2026
Lake Manyara,Manyara Baobab Lodge,,Test,FALSE,0,FALSE,USD,Double Room,test,2,17,99,1,2,150.0,150.0,25.0,30.0,01/06/2026,31/10/2026
Lake Manyara,Manyara Baobab Lodge,,Test,FALSE,0,FALSE,USD,Double Room,test,2,0,3,1,2,0.0,0.0,0.0,0.0,01/11/2026,19/12/2026
Lake Manyara,Manyara Baobab Lodge,,Test,FALSE,0,FALSE,USD,Double Room,test,2,4,16,1,2,52.5,105.0,25.0,30.0,01/11/2026,19/12/2026
Lake Manyara,Manyara Baobab Lodge,,Test,FALSE,0,FALSE,USD,Double Room,test,2,17,99,1,2,105.0,105.0,25.0,30.0,01/11/2026,19/12/2026
Lake Manyara,Manyara Baobab Lodge,,Test,FALSE,0,FALSE,USD,Double Room,test,2,0,3,1,2,0.0,0.0,0.0,0.0,20/12/2026,15/03/2027
