location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
Zanzibar,Jambiani,,Test,FALSE,0,FALSE,USD,2 Bedroom Villa  2 adult,Test,2,0,5,1,2,0.0,0.0,0.0,0.0,01/01/2026,28/02/2026
Zanzibar,Jambiani,,Test,FALSE,0,FALSE,USD,2 Bedroom Villa  2 adult,Test,2,6,99,1,2,169.5,169.5,0.0,0.0,01/01/2026,28/02/2026
Zanzibar,Jambiani,,Test,FALSE,0,FALSE,USD,2 Bedroom Villa  2 adult,Test,2,0,5,1,2,0.0,0.0,0.0,0.0,01/03/2026,31/03/2026
Zanzibar,Jambiani,,Test,FALSE,0,FALSE,USD,2 Bedroom Villa  2 adult,Test,2,6,99,1,2,137.5,137.5,0.0,0.0,01/03/2026,31/03/2026
Zanzibar,Jambiani,,Test,FALSE,0,FALSE,USD,2 Bedroom Villa  2 adult,Test,2,0,5,1,2,0.0,0.0,0.0,0.0,01/04/2026,10/06/2026
Zanzibar,Jambiani,,Test,FALSE,0,FALSE,USD,2 Bedroom Villa  2 adult,Test,2,6,99,1,2,119.0,119.0,0.0,0.0,01/04/2026,10/06/2026
Zanzibar,Jambiani,,Test,FALSE,0,FALSE,USD,2 Bedroom Villa  2 adult,Test,2,0,5,1,2,0.0,0.0,0.0,0.0,11/06/2026,30/06/2026
Zanzibar,Jambiani,,Test,FALSE,0,FALSE,USD,2 Bedroom Villa  2 adult,Test,2,6,99,1,2,137.5,137.5,0.0,0.0,11/06/2026,30/06/2026
Zanzibar,Jambiani,,Test,FALSE,0,FALSE,USD,2 Bedroom Villa  2 adult,Test,2,0,5,1,2,0.0,0.0,0.0,0.0,01/07/2026,12/09/2026
Zanzibar,Jambiani,,Test,FALSE,0,FALSE,USD,2 Bedroom Villa  2 adult,Test,2,6,99,1,2,169.5,169.5,0.0,0.0,01/07/2026,12/09/2026
Zanzibar,Jambiani,,Test,FALSE,0,FALSE,USD,2 Bedroom Villa  2 adult,Test,2,0,5,1,2,0.0,0.0,0.0,0.0,13/09/2026,31/10/2026
Zanzibar,Jambiani,,Test,FALSE,0,FALSE,USD,2 Bedroom Villa  2 adult,Test,2,6,99,1,2,137.5,137.5,0.0,0.0,13/09/2026,31/10/2026
Zanzibar,Jambiani,,Test,FALSE,0,FALSE,USD,2 Bedroom Villa  2 adult,Test,2,0,5,1,2,0.0,0.0,0.0,0.0,01/11/2026,19/12/2026
Zanzibar,Jambiani,,Test,FALSE,0,FALSE,USD,2 Bedroom Villa  2 adult,Test,2,6,99,1,2,119.0,119.0,0.0,0.0,01/11/2026,19/12/2026
Zanzibar,Jambiani,,Test,FALSE,0,FALSE,USD,2 Bedroom Villa  2 adult,Test,2,0,5,1,2,0.0,0.0,0.0,0.0,20/12/2026,05/01/2027
Zanzibar,Jambiani,,Test,FALSE,0,FALSE,USD,2 Bedroom Villa  2 adult,Test,2,6,99,1,2,169.5,169.5,0.0,0.0,20/12/2026,05/01/2027
Zanzibar,Jambiani,,Test,FALSE,0,FALSE,USD,2 Bedroom Villa  3  adult,Test,3,0,5,1,3,0.0,0.0,0.0,0.0,01/01/2026,28/02/2026
Zanzibar,Jambiani,,Test,FALSE,0,FALSE,USD,2 Bedroom Villa  3  adult,Test,3,6,99,1,3,135.0,135.0,0.0,0.0,01/01/2026,28/02/2026
Zanzibar,Jambiani,,Test,FALSE,0,FALSE,USD,2 Bedroom Villa  3  adult,Test,3,0,5,1,3,0.0,0.0,0.0,0.0,01/03/2026,31/03/2026
Zanzibar,Jambiani,,Test,FALSE,0,FALSE,USD,2 Bedroom Villa  3  adult,Test,3,6,99,1,3,113.67,113.67,0.0,0.0,01/03/2026,31/03/2026
Zanzibar,Jambiani,,Test,FALSE,0,FALSE,USD,2 Bedroom Villa  3  adult,Test,3,0,5,1,3,0.0,0.0,0.0,0.0,01/04/2026,10/06/2026
Zanzibar,Jambiani,,Test,FALSE,0,FALSE,USD,2 Bedroom Villa  3  adult,Test,3,6,99,1,3,96.33,96.33,0.0,0.0,01/04/2026,10/06/2026
Zanzibar,Jambiani,,Test,FALSE,0,FALSE,USD,2 Bedroom Villa  3  adult,Test,3,0,5,1,3,0.0,0.0,0.0,0.0,11/06/2026,30/06/2026
Zanzibar,Jambiani,,Test,FALSE,0,FALSE,USD,2 Bedroom Villa  3  adult,Test,3,6,99,1,3,113.67,113.67,0.0,0.0,11/06/2026,30/06/2026
Zanzibar,Jambiani,,Test,FALSE,0,FALSE,USD,2 Bedroom Villa  3  adult,Test,3,0,5,1,3,0.0,0.0,0.0,0.0,01/07/2026,12/09/2026
Zanzibar,Jambiani,,Test,FALSE,0,FALSE,USD,2 Bedroom Villa  3  adult,Test,3,6,99,1,3,135.0,135.0,0.0,0.0,01/07/2026,12/09/2026
Zanzibar,Jambiani,,Test,FALSE,0,FALSE,USD,2 Bedroom Villa  3  adult,Test,3,0,5,1,3,0.0,0.0,0.0,0.0,13/09/2026,31/10/2026
Zanzibar,Jambiani,,Test,FALSE,0,FALSE,USD,2 Bedroom Villa  3  adult,Test,3,6,99,1,3,113.67,113.67,0.0,0.0,13/09/2026,31/10/2026
Zanzibar,Jambiani,,Test,FALSE,0,FALSE,USD,2 Bedroom Villa  3  adult,Test,3,0,5,1,3,0.0,0.0,0.0,0.0,01/11/2026,19/12/2026
Zanzibar,Jambiani,,Test,FALSE,0,FALSE,USD,2 Bedroom Villa  3  adult,Test,3,6,99,1,3,96.33,96.33,0.0,0.0,01/11/2026,19/12/2026
Zanzibar,Jambiani,,Test,FALSE,0,FALSE,USD,2 Bedroom Villa  3  adult,Test,3,0,5,1,3,0.0,0.0,0.0,0.0,20/12/2026,05/01/2027
Zanzibar,Jambiani,,Test,FALSE,0,FALSE,USD,2 Bedroom Villa  3  adult,Test,3,6,99,1,3,135.0,135.0,0.0,0.0,20/12/2026,05/01/2027
Zanzibar,Jambiani,,Test,FALSE,0,FALSE,USD,2 Bedroom Villa  4 adult,Test,4,0,5,1,4,0.0,0.0,0.0,0.0,01/01/2026,28/02/2026
Zanzibar,Jambiani,,Test,FALSE,0,FALSE,USD,2 Bedroom Villa  4 adult,Test,4,6,99,1,4,101.25,101.25,0.0,0.0,01/01/2026,28/02/2026
Zanzibar,Jambiani,,Test,FALSE,0,FALSE,USD,2 Bedroom Villa  4 adult,Test,4,0,5,1,4,0.0,0.0,0.0,0.0,01/03/2026,31/03/2026
Zanzibar,Jambiani,,Test,FALSE,0,FALSE,USD,2 Bedroom Villa  4 adult,Test,4,6,99,1,4,85.25,85.25,0.0,0.0,01/03/2026,31/03/2026
Zanzibar,Jambiani,,Test,FALSE,0,FALSE,USD,2 Bedroom Villa  4 adult,Test,4,0,5,1,4,0.0,0.0,0.0,0.0,01/04/2026,10/06/2026
Zanzibar,Jambiani,,Test,FALSE,0,FALSE,USD,2 Bedroom Villa  4 adult,Test,4,6,99,1,4,92.5,92.5,0.0,0.0,01/04/2026,10/06/2026
Zanzibar,Jambiani,,Test,FALSE,0,FALSE,USD,2 Bedroom Villa  4 adult,Test,4,0,5,1,4,0.0,0.0,0.0,0.0,11/06/2026,30/06/2026
Zanzibar,Jambiani,,Test,FALSE,0,FALSE,USD,2 Bedroom Villa  4 adult,Test,4,6,99,1,4,85.25,85.25,0.0,0.0,11/06/2026,30/06/2026
Zanzibar,Jambiani,,Test,FALSE,0,FALSE,USD,2 Bedroom Villa  4 adult,Test,4,0,5,1,4,0.0,0.0,0.0,0.0,01/07/2026,12/09/2026
Zanzibar,Jambiani,,Test,FALSE,0,FALSE,USD,2 Bedroom Villa  4 adult,Test,4,6,99,1,4,101.25,101.25,0.0,0.0,01/07/2026,12/09/2026
Zanzibar,Jambiani,,Test,FALSE,0,FALSE,USD,2 Bedroom Villa  4 adult,Test,4,0,5,1,4,0.0,0.0,0.0,0.0,13/09/2026,31/10/2026
Zanzibar,Jambiani,,Test,FALSE,0,FALSE,USD,2 Bedroom Villa  4 adult,Test,4,6,99,1,4,85.25,85.25,0.0,0.0,13/09/2026,31/10/2026
Zanzibar,Jambiani,,Test,FALSE,0,FALSE,USD,2 Bedroom Villa  4 adult,Test,4,0,5,1,4,0.0,0.0,0.0,0.0,01/11/2026,19/12/2026
Zanzibar,Jambiani,,Test,FALSE,0,FALSE,USD,2 Bedroom Villa  4 adult,Test,4,6,99,1,4,92.5,92.5,0.0,0.0,01/11/2026,19/12/2026
Zanzibar,Jambiani,,Test,FALSE,0,FALSE,USD,2 Bedroom Villa  4 adult,Test,4,0,5,1,4,0.0,0.0,0.0,0.0,20/12/2026,05/01/2027
Zanzibar,Jambiani,,Test,FALSE,0,FALSE,USD,2 Bedroom Villa  4 adult,Test,4,6,99,1,4,101.25,101.25,0.0,0.0,20/12/2026,05/01/2027
Zanzibar,Jambiani,,Test,FALSE,0,FALSE,USD,2 Bedroom Villa  2 adult 1 child,Test,3,0,5,1,3,0.0,0.0,0.0,0.0,01/01/2026,28/02/2026
Zanzibar,Jambiani,,Test,FALSE,0,FALSE,USD,2 Bedroom Villa  2 adult 1 child,Test,3,6,99,1,3,131.0,131.0,0.0,0.0,01/01/2026,28/02/2026
Zanzibar,Jambiani,,Test,FALSE,0,FALSE,USD,2 Bedroom Villa  2 adult 1 child,Test,3,0,5,1,3,0.0,0.0,0.0,0.0,01/03/2026,31/03/2026
Zanzibar,Jambiani,,Test,FALSE,0,FALSE,USD,2 Bedroom Villa  2 adult 1 child,Test,3,6,99,1,3,109.67,109.67,0.0,0.0,01/03/2026,31/03/2026
Zanzibar,Jambiani,,Test,FALSE,0,FALSE,USD,2 Bedroom Villa  2 adult 1 child,Test,3,0,5,1,3,0.0,0.0,0.0,0.0,01/04/2026,10/06/2026
Zanzibar,Jambiani,,Test,FALSE,0,FALSE,USD,2 Bedroom Villa  2 adult 1 child,Test,3,6,99,1,3,97.0,97.0,0.0,0.0,01/04/2026,10/06/2026
Zanzibar,Jambiani,,Test,FALSE,0,FALSE,USD,2 Bedroom Villa  2 adult 1 child,Test,3,0,5,1,3,0.0,0.0,0.0,0.0,11/06/2026,30/06/2026
Zanzibar,Jambiani,,Test,FALSE,0,FALSE,USD,2 Bedroom Villa  2 adult 1 child,Test,3,6,99,1,3,109.67,109.67,0.0,0.0,11/06/2026,30/06/2026
Zanzibar,Jambiani,,Test,FALSE,0,FALSE,USD,2 Bedroom Villa  2 adult 1 child,Test,3,0,5,1,3,0.0,0.0,0.0,0.0,01/07/2026,12/09/2026
