location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
Arusha,Summit Safari Lodge,,text,FALSE,0,FALSE,USD,Standard Room (Single),text,1,0,4,1,1,0.0,0.0,0.0,0.0,01/01/2027,31/12/2027
Arusha,Summit Safari Lodge,,text,FALSE,0,FALSE,USD,Standard Room (Single),text,1,5,11,1,1,0.0,0.0,8.0,15.0,01/01/2027,31/12/2027
Arusha,Summit Safari Lodge,,text,FALSE,0,FALSE,USD,Standard Room (Single),text,1,12,99,1,1,60.0,0.0,15.0,30.0,01/01/2027,31/12/2027
Arusha,Summit Safari Lodge,,text,FALSE,0,FALSE,USD,Executive Room (Double),text,2,0,4,1,2,0.0,0.0,0.0,0.0,01/01/2027,31/12/2027
Arusha,Summit Safari Lodge,,text,FALSE,0,FALSE,USD,Executive Room (Double),text,2,5,11,1,2,0.0,0.0,8.0,15.0,01/01/2027,31/12/2027
Arusha,Summit Safari Lodge,,text,FALSE,0,FALSE,USD,Executive Room (Double),text,2,12,99,1,2,35.0,35.0,15.0,30.0,01/01/2027,31/12/2027
Arusha,Summit Safari Lodge,,text,FALSE,0,FALSE,USD,Executive Room (Twin),text,2,0,4,1,2,0.0,0.0,0.0,0.0,01/01/2027,31/12/2027
Arusha,Summit Safari Lodge,,text,FALSE,0,FALSE,USD,Executive Room (Twin),text,2,5,11,1,2,0.0,0.0,8.0,15.0,01/01/2027,31/12/2027
Arusha,Summit Safari Lodge,,text,FALSE,0,FALSE,USD,Executive Room (Twin),text,2,12,99,1,2,35.0,35.0,15.0,30.0,01/01/2027,31/12/2027
Arusha,Summit Safari Lodge,,text,FALSE,0,FALSE,USD,Standard Room (Triple),text,3,0,4,1,3,0.0,0.0,0.0,0.0,01/01/2027,31/12/2027
Arusha,Summit Safari Lodge,,text,FALSE,0,FALSE,USD,Standard Room (Triple),text,3,5,11,1,3,0.0,0.0,8.0,15.0,01/01/2027,31/12/2027
Arusha,Summit Safari Lodge,,text,FALSE,0,FALSE,USD,Standard Room (Triple),text,3,12,99,1,3,34.0,34.0,15.0,30.0,01/01/2027,31/12/2027
Arusha,Summit Safari Lodge,,text,FALSE,0,FALSE,USD,Family Room,text,4,0,4,1,4,0.0,0.0,0.0,0.0,01/01/2027,31/12/2027
Arusha,Summit Safari Lodge,,text,FALSE,0,FALSE,USD,Family Room,text,4,5,11,1,4,0.0,0.0,8.0,15.0,01/01/2027,31/12/2027
Arusha,Summit Safari Lodge,,text,FALSE,0,FALSE,USD,Family Room,text,4,12,99,1,4,35.0,35.0,15.0,30.0,01/01/2027,31/12/2027
Arusha,Summit Safari Lodge,,text,FALSE,0,FALSE,USD,Inter-Connecting Room,text,6,0,4,1,6,0.0,0.0,0.0,0.0,01/01/2027,31/12/2027
Arusha,Summit Safari Lodge,,text,FALSE,0,FALSE,USD,Inter-Connecting Room,text,6,5,11,1,6,0.0,0.0,8.0,15.0,01/01/2027,31/12/2027
Arusha,Summit Safari Lodge,,text,FALSE,0,FALSE,USD,Inter-Connecting Room,text,6,12,99,1,6,27.0,27.0,15.0,30.0,01/01/2027,31/12/2027
