location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
Arusha,Amani Safari Lodge  & Amani Farmhouse,,test,FALSE,0,FALSE,USD,Single Room,test,1,0,5,1,1,0.0,0.0,0.0,0.0,01/01/2027,31/12/2027
Arusha,Amani Safari Lodge  & Amani Farmhouse,,test,FALSE,0,FALSE,USD,Single Room,test,1,6,12,1,1,60.0,0.0,0.0,25.0,01/01/2027,31/12/2027
Arusha,Amani Safari Lodge  & Amani Farmhouse,,test,FALSE,0,FALSE,USD,Single Room,test,1,13,99,1,1,120.0,0.0,0.0,25.0,01/01/2027,31/12/2027
Arusha,Amani Safari Lodge  & Amani Farmhouse,,test,FALSE,0,FALSE,USD,Double Room,test,2,0,5,1,2,0.0,0.0,0.0,0.0,01/01/2027,31/12/2027
Arusha,Amani Safari Lodge  & Amani Farmhouse,,test,FALSE,0,FALSE,USD,Double Room,test,2,6,12,1,2,37.5,75.0,0.0,25.0,01/01/2027,31/12/2027
Arusha,Amani Safari Lodge  & Amani Farmhouse,,test,FALSE,0,FALSE,USD,Double Room,test,2,13,99,1,2,75.0,75.0,0.0,25.0,01/01/2027,31/12/2027
Arusha,Amani Safari Lodge  & Amani Farmhouse,,test,FALSE,0,FALSE,USD,Triple Room,test,3,0,5,1,3,0.0,0.0,0.0,0.0,01/01/2027,31/12/2027
Arusha,Amani Safari Lodge  & Amani Farmhouse,,test,FALSE,0,FALSE,USD,Triple Room,test,3,6,12,1,3,37.5,75.0,0.0,25.0,01/01/2027,31/12/2027
Arusha,Amani Safari Lodge  & Amani Farmhouse,,test,FALSE,0,FALSE,USD,Triple Room,test,3,13,99,1,3,75.0,75.0,0.0,25.0,01/01/2027,31/12/2027
Arusha,Amani Safari Lodge  & Amani Farmhouse,,test,FALSE,0,FALSE,USD,Family Room,test,4,0,5,1,4,0.0,0.0,0.0,0.0,01/01/2027,31/12/2027
Arusha,Amani Safari Lodge  & Amani Farmhouse,,test,FALSE,0,FALSE,USD,Family Room,test,4,6,12,1,4,37.5,75.0,0.0,25.0,01/01/2027,31/12/2027
Arusha,Amani Safari Lodge  & Amani Farmhouse,,test,FALSE,0,FALSE,USD,Family Room,test,4,13,99,1,4,75.0,75.0,0.0,25.0,01/01/2027,31/12/2027
