location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
Serengeti,Safari Haven Central Serengeti Camp,,test,FALSE,0,FALSE,USD,Single Room,test,1,0,4,1,1,0.0,0.0,0.0,0.0,01/01/2026,31/03/2026
Serengeti,Safari Haven Central Serengeti Camp,,test,FALSE,0,FALSE,USD,Single Room,test,1,5,12,1,1,90.0,0.0,0.0,0.0,01/01/2026,31/03/2026
Serengeti,Safari Haven Central Serengeti Camp,,test,FALSE,0,FALSE,USD,Single Room,test,1,13,99,1,1,180.0,0.0,0.0,0.0,01/01/2026,31/03/2026
Serengeti,Safari Haven Central Serengeti Camp,,test,FALSE,0,FALSE,USD,Single Room,test,1,0,4,1,1,0.0,0.0,0.0,0.0,01/04/2026,31/05/2026
Serengeti,Safari Haven Central Serengeti Camp,,test,FALSE,0,FALSE,USD,Single Room,test,1,5,12,1,1,90.0,0.0,0.0,0.0,01/04/2026,31/05/2026
Serengeti,Safari Haven Central Serengeti Camp,,test,FALSE,0,FALSE,USD,Single Room,test,1,13,99,1,1,180.0,0.0,0.0,0.0,01/04/2026,31/05/2026
Serengeti,Safari Haven Central Serengeti Camp,,test,FALSE,0,FALSE,USD,Single Room,test,1,0,4,1,1,0.0,0.0,0.0,0.0,01/06/2026,30/09/2026
Serengeti,Safari Haven Central Serengeti Camp,,test,FALSE,0,FALSE,USD,Single Room,test,1,5,12,1,1,100.0,0.0,0.0,0.0,01/06/2026,30/09/2026
Serengeti,Safari Haven Central Serengeti Camp,,test,FALSE,0,FALSE,USD,Single Room,test,1,13,99,1,1,200.0,0.0,0.0,0.0,01/06/2026,30/09/2026
Serengeti,Safari Haven Central Serengeti Camp,,test,FALSE,0,FALSE,USD,Single Room,test,1,0,4,1,1,0.0,0.0,0.0,0.0,01/10/2026,31/12/2026
Serengeti,Safari Haven Central Serengeti Camp,,test,FALSE,0,FALSE,USD,Single Room,test,1,5,12,1,1,90.0,0.0,0.0,0.0,01/10/2026,31/12/2026
Serengeti,Safari Haven Central Serengeti Camp,,test,FALSE,0,FALSE,USD,Single Room,test,1,13,99,1,1,180.0,0.0,0.0,0.0,01/10/2026,31/12/2026
Serengeti,Safari Haven Central Serengeti Camp,,test,FALSE,0,FALSE,USD,Double Room,test,2,0,4,1,2,0.0,0.0,0.0,0.0,01/01/2026,31/03/2026
Serengeti,Safari Haven Central Serengeti Camp,,test,FALSE,0,FALSE,USD,Double Room,test,2,5,12,1,2,60.0,120.0,0.0,0.0,01/01/2026,31/03/2026
Serengeti,Safari Haven Central Serengeti Camp,,test,FALSE,0,FALSE,USD,Double Room,test,2,13,99,1,2,120.0,120.0,0.0,0.0,01/01/2026,31/03/2026
