location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
Dar es Salaam,Serena Dar es Salaam Hotel,,test,FALSE,0,FALSE,USD,Standard  Double Room,test,2,0,5,1,2,0.0,0.0,50.0,90.0,01/01/2026,01/01/2027
Dar es Salaam,Serena Dar es Salaam Hotel,,test,FALSE,0,FALSE,USD,Standard  Double Room,test,2,6,12,1,2,124.0,248.0,50.0,90.0,01/01/2026,01/01/2027
Dar es Salaam,Serena Dar es Salaam Hotel,,test,FALSE,0,FALSE,USD,Standard  Double Room,test,2,13,17,1,2,186.0,248.0,50.0,90.0,01/01/2026,01/01/2027
Dar es Salaam,Serena Dar es Salaam Hotel,,test,FALSE,0,FALSE,USD,Standard  Double Room,test,2,18,99,1,2,248.0,248.0,50.0,90.0,01/01/2026,01/01/2027
Dar es Salaam,Serena Dar es Salaam Hotel,,test,FALSE,0,FALSE,USD,Executive Double Room,test,2,0,5,1,2,0.0,0.0,50.0,90.0,01/01/2026,01/01/2027
Dar es Salaam,Serena Dar es Salaam Hotel,,test,FALSE,0,FALSE,USD,Executive Double Room,test,2,6,12,1,2,159.0,318.0,50.0,90.0,01/01/2026,01/01/2027
Dar es Salaam,Serena Dar es Salaam Hotel,,test,FALSE,0,FALSE,USD,Executive Double Room,test,2,13,17,1,2,238.5,318.0,50.0,90.0,01/01/2026,01/01/2027
Dar es Salaam,Serena Dar es Salaam Hotel,,test,FALSE,0,FALSE,USD,Executive Double Room,test,2,18,99,1,2,318.0,318.0,50.0,90.0,01/01/2026,01/01/2027
Dar es Salaam,Serena Dar es Salaam Hotel,,test,FALSE,0,FALSE,USD,Standard Single Room,test,1,0,5,1,1,0.0,0.0,50.0,90.0,01/01/2026,01/01/2027
Dar es Salaam,Serena Dar es Salaam Hotel,,test,FALSE,0,FALSE,USD,Standard Single Room,test,1,6,12,1,1,93.0,0.0,50.0,90.0,01/01/2026,01/01/2027
Dar es Salaam,Serena Dar es Salaam Hotel,,test,FALSE,0,FALSE,USD,Standard Single Room,test,1,13,17,1,1,139.5,0.0,50.0,90.0,01/01/2026,01/01/2027
Dar es Salaam,Serena Dar es Salaam Hotel,,test,FALSE,0,FALSE,USD,Standard Single Room,test,1,18,99,1,1,186.0,0.0,50.0,90.0,01/01/2026,01/01/2027
Dar es Salaam,Serena Dar es Salaam Hotel,,test,FALSE,0,FALSE,USD,Standard Triple Room,test,3,0,5,1,3,0.0,0.0,50.0,90.0,01/01/2026,01/01/2027
Dar es Salaam,Serena Dar es Salaam Hotel,,test,FALSE,0,FALSE,USD,Standard Triple Room,test,3,6,12,1,3,62.0,124.0,50.0,90.0,01/01/2026,01/01/2027
Dar es Salaam,Serena Dar es Salaam Hotel,,test,FALSE,0,FALSE,USD,Standard Triple Room,test,3,13,17,1,3,93.0,124.0,50.0,90.0,01/01/2026,01/01/2027
Dar es Salaam,Serena Dar es Salaam Hotel,,test,FALSE,0,FALSE,USD,Standard Triple Room,test,3,18,99,1,3,124.0,124.0,50.0,90.0,01/01/2026,01/01/2027
Dar es Salaam,Serena Dar es Salaam Hotel,,test,FALSE,0,FALSE,USD,Executive Single Room,test,1,0,5,1,1,0.0,0.0,50.0,90.0,01/01/2026,01/01/2027
Dar es Salaam,Serena Dar es Salaam Hotel,,test,FALSE,0,FALSE,USD,Executive Single Room,test,1,6,12,1,1,119.25,0.0,50.0,90.0,01/01/2026,01/01/2027
Dar es Salaam,Serena Dar es Salaam Hotel,,test,FALSE,0,FALSE,USD,Executive Single Room,test,1,13,17,1,1,178.88,0.0,50.0,90.0,01/01/2026,01/01/2027
Dar es Salaam,Serena Dar es Salaam Hotel,,test,FALSE,0,FALSE,USD,Executive Single Room,test,1,18,99,1,1,238.5,0.0,50.0,90.0,01/01/2026,01/01/2027
Dar es Salaam,Serena Dar es Salaam Hotel,,test,FALSE,0,FALSE,USD,Executive Triple Room,test,3,0,5,1,3,0.0,0.0,50.0,90.0,01/01/2026,01/01/2027
Dar es Salaam,Serena Dar es Salaam Hotel,,test,FALSE,0,FALSE,USD,Executive Triple Room,test,3,6,12,1,3,79.5,159.0,50.0,90.0,01/01/2026,01/01/2027
Dar es Salaam,Serena Dar es Salaam Hotel,,test,FALSE,0,FALSE,USD,Executive Triple Room,test,3,13,17,1,3,119.25,159.0,50.0,90.0,01/01/2026,01/01/2027
Dar es Salaam,Serena Dar es Salaam Hotel,,test,FALSE,0,FALSE,USD,Executive Triple Room,test,3,18,99,1,3,159.0,159.0,50.0,90.0,01/01/2026,01/01/2027
