location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
Nyerere National Park,Selous River Camp 27,,test,FALSE,0,FALSE,USD,Mud Hut Cottage Single Room,test,1,0,4,1,1,0.0,0.0,0.0,0.0,03/01/2027,31/01/2027
Nyerere National Park,Selous River Camp 27,,test,FALSE,0,FALSE,USD,Mud Hut Cottage Single Room,test,1,5,15,1,1,70.0,0.0,0.0,0.0,03/01/2027,31/01/2027
Nyerere National Park,Selous River Camp 27,,test,FALSE,0,FALSE,USD,Mud Hut Cottage Single Room,test,1,16,99,1,1,200.0,0.0,0.0,0.0,03/01/2027,31/01/2027
Nyerere National Park,Selous River Camp 27,,test,FALSE,0,FALSE,USD,Mud Hut Cottage Single Room,test,1,0,4,1,1,0.0,0.0,0.0,0.0,01/02/2027,15/03/2027
Nyerere National Park,Selous River Camp 27,,test,FALSE,0,FALSE,USD,Mud Hut Cottage Single Room,test,1,5,15,1,1,60.2,0.0,0.0,0.0,01/02/2027,15/03/2027
Nyerere National Park,Selous River Camp 27,,test,FALSE,0,FALSE,USD,Mud Hut Cottage Single Room,test,1,16,99,1,1,172.0,0.0,0.0,0.0,01/02/2027,15/03/2027
Nyerere National Park,Selous River Camp 27,,test,FALSE,0,FALSE,USD,Mud Hut Cottage Single Room,test,1,0,4,1,1,0.0,0.0,0.0,0.0,20/05/2027,15/06/2027
Nyerere National Park,Selous River Camp 27,,test,FALSE,0,FALSE,USD,Mud Hut Cottage Single Room,test,1,5,15,1,1,60.2,0.0,0.0,0.0,20/05/2027,15/06/2027
Nyerere National Park,Selous River Camp 27,,test,FALSE,0,FALSE,USD,Mud Hut Cottage Single Room,test,1,16,99,1,1,172.0,0.0,0.0,0.0,20/05/2027,15/06/2027
Nyerere National Park,Selous River Camp 27,,test,FALSE,0,FALSE,USD,Mud Hut Cottage Single Room,test,1,0,4,1,1,0.0,0.0,0.0,0.0,16/06/2027,31/08/2027
Nyerere National Park,Selous River Camp 27,,test,FALSE,0,FALSE,USD,Mud Hut Cottage Single Room,test,1,5,15,1,1,70.0,0.0,0.0,0.0,16/06/2027,31/08/2027
Nyerere National Park,Selous River Camp 27,,test,FALSE,0,FALSE,USD,Mud Hut Cottage Single Room,test,1,16,99,1,1,200.0,0.0,0.0,0.0,16/06/2027,31/08/2027
Nyerere National Park,Selous River Camp 27,,test,FALSE,0,FALSE,USD,Mud Hut Cottage Single Room,test,1,0,4,1,1,0.0,0.0,0.0,0.0,01/09/2027,30/11/2027
Nyerere National Park,Selous River Camp 27,,test,FALSE,0,FALSE,USD,Mud Hut Cottage Single Room,test,1,5,15,1,1,70.0,0.0,0.0,0.0,01/09/2027,30/11/2027
Nyerere National Park,Selous River Camp 27,,test,FALSE,0,FALSE,USD,Mud Hut Cottage Single Room,test,1,16,99,1,1,200.0,0.0,0.0,0.0,01/09/2027,30/11/2027
Nyerere National Park,Selous River Camp 27,,test,FALSE,0,FALSE,USD,Mud Hut Cottage Single Room,test,1,0,4,1,1,0.0,0.0,0.0,0.0,01/12/2027,23/12/2027
Nyerere National Park,Selous River Camp 27,,test,FALSE,0,FALSE,USD,Mud Hut Cottage Single Room,test,1,5,15,1,1,70.0,0.0,0.0,0.0,01/12/2027,23/12/2027
Nyerere National Park,Selous River Camp 27,,test,FALSE,0,FALSE,USD,Mud Hut Cottage Single Room,test,1,16,99,1,1,200.0,0.0,0.0,0.0,01/12/2027,23/12/2027
Nyerere National Park,Selous River Camp 27,,test,FALSE,0,FALSE,USD,Mud Hut Cottage Single Room,test,1,0,4,1,1,0.0,0.0,0.0,0.0,24/12/2027,02/01/2028
Nyerere National Park,Selous River Camp 27,,test,FALSE,0,FALSE,USD,Mud Hut Cottage Single Room,test,1,5,15,1,1,81.2,0.0,0.0,0.0,24/12/2027,02/01/2028
Nyerere National Park,Selous River Camp 27,,test,FALSE,0,FALSE,USD,Mud Hut Cottage Single Room,test,1,16,99,1,1,232.0,0.0,0.0,0.0,24/12/2027,02/01/2028
Nyerere National Park,Selous River Camp 27,,test,FALSE,0,FALSE,USD,Mud Hut Cottage Double Room,test,2,0,4,1,2,0.0,0.0,0.0,0.0,03/01/2027,31/01/2027
Nyerere National Park,Selous River Camp 27,,test,FALSE,0,FALSE,USD,Mud Hut Cottage Double Room,test,2,5,15,1,2,50.4,144.0,0.0,0.0,03/01/2027,31/01/2027
Nyerere National Park,Selous River Camp 27,,test,FALSE,0,FALSE,USD,Mud Hut Cottage Double Room,test,2,16,99,1,2,144.0,144.0,0.0,0.0,03/01/2027,31/01/2027
Nyerere National Park,Selous River Camp 27,,test,FALSE,0,FALSE,USD,Mud Hut Cottage Double Room,test,2,0,4,1,2,0.0,0.0,0.0,0.0,01/02/2027,15/03/2027
Nyerere National Park,Selous River Camp 27,,test,FALSE,0,FALSE,USD,Mud Hut Cottage Double Room,test,2,5,15,1,2,43.4,124.0,0.0,0.0,01/02/2027,15/03/2027
Nyerere National Park,Selous River Camp 27,,test,FALSE,0,FALSE,USD,Mud Hut Cottage Double Room,test,2,16,99,1,2,124.0,124.0,0.0,0.0,01/02/2027,15/03/2027
Nyerere National Park,Selous River Camp 27,,test,FALSE,0,FALSE,USD,Mud Hut Cottage Double Room,test,2,0,4,1,2,0.0,0.0,0.0,0.0,20/05/2027,15/06/2027
Nyerere National Park,Selous River Camp 27,,test,FALSE,0,FALSE,USD,Mud Hut Cottage Double Room,test,2,5,15,1,2,43.4,124.0,0.0,0.0,20/05/2027,15/06/2027
Nyerere National Park,Selous River Camp 27,,test,FALSE,0,FALSE,USD,Mud Hut Cottage Double Room,test,2,16,99,1,2,124.0,124.0,0.0,0.0,20/05/2027,15/06/2027
Nyerere National Park,Selous River Camp 27,,test,FALSE,0,FALSE,USD,Mud Hut Cottage Double Room,test,2,0,4,1,2,0.0,0.0,0.0,0.0,16/06/2027,31/08/2027
Nyerere National Park,Selous River Camp 27,,test,FALSE,0,FALSE,USD,Mud Hut Cottage Double Room,test,2,5,15,1,2,50.4,144.0,0.0,0.0,16/06/2027,31/08/2027
Nyerere National Park,Selous River Camp 27,,test,FALSE,0,FALSE,USD,Mud Hut Cottage Double Room,test,2,16,99,1,2,144.0,144.0,0.0,0.0,16/06/2027,31/08/2027
Nyerere National Park,Selous River Camp 27,,test,FALSE,0,FALSE,USD,Mud Hut Cottage Double Room,test,2,0,4,1,2,0.0,0.0,0.0,0.0,01/09/2027,30/11/2027
Nyerere National Park,Selous River Camp 27,,test,FALSE,0,FALSE,USD,Mud Hut Cottage Double Room,test,2,5,15,1,2,50.4,144.0,0.0,0.0,01/09/2027,30/11/2027
Nyerere National Park,Selous River Camp 27,,test,FALSE,0,FALSE,USD,Mud Hut Cottage Double Room,test,2,16,99,1,2,144.0,144.0,0.0,0.0,01/09/2027,30/11/2027
Nyerere National Park,Selous River Camp 27,,test,FALSE,0,FALSE,USD,Mud Hut Cottage Double Room,test,2,0,4,1,2,0.0,0.0,0.0,0.0,01/12/2027,23/12/2027
Nyerere National Park,Selous River Camp 27,,test,FALSE,0,FALSE,USD,Mud Hut Cottage Double Room,test,2,5,15,1,2,50.4,144.0,0.0,0.0,01/12/2027,23/12/2027
