location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
Nyerere Np,Nyerere Tented Camp,,test,FALSE,0,FALSE,USD,Luxury safari Tent Single Room,test,1,0,4,1,1,0.0,0.0,0.0,0.0,01/01/2026,14/03/2026
Nyerere Np,Nyerere Tented Camp,,test,FALSE,0,FALSE,USD,Luxury safari Tent Single Room,test,1,5,15,1,1,71.25,0.0,0.0,15.0,01/01/2026,14/03/2026
Nyerere Np,Nyerere Tented Camp,,test,FALSE,0,FALSE,USD,Luxury safari Tent Single Room,test,1,16,99,1,1,95.0,0.0,0.0,15.0,01/01/2026,14/03/2026
Nyerere Np,Nyerere Tented Camp,,test,FALSE,0,FALSE,USD,Luxury safari Tent Single Room,test,1,0,4,1,1,0.0,0.0,0.0,0.0,15/03/2026,15/05/2026
Nyerere Np,Nyerere Tented Camp,,test,FALSE,0,FALSE,USD,Luxury safari Tent Single Room,test,1,5,15,1,1,60.0,0.0,0.0,15.0,15/03/2026,15/05/2026
Nyerere Np,Nyerere Tented Camp,,test,FALSE,0,FALSE,USD,Luxury safari Tent Single Room,test,1,16,99,1,1,80.0,0.0,0.0,15.0,15/03/2026,15/05/2026
Nyerere Np,Nyerere Tented Camp,,test,FALSE,0,FALSE,USD,Luxury safari Tent Single Room,test,1,0,4,1,1,0.0,0.0,0.0,0.0,16/05/2026,31/12/2026
Nyerere Np,Nyerere Tented Camp,,test,FALSE,0,FALSE,USD,Luxury safari Tent Single Room,test,1,5,15,1,1,71.25,0.0,0.0,15.0,16/05/2026,31/12/2026
Nyerere Np,Nyerere Tented Camp,,test,FALSE,0,FALSE,USD,Luxury safari Tent Single Room,test,1,16,99,1,1,95.0,0.0,0.0,15.0,16/05/2026,31/12/2026
Nyerere Np,Nyerere Tented Camp,,test,FALSE,0,FALSE,USD,Luxury safari Tent Double Room,test,2,0,4,1,2,0.0,0.0,0.0,0.0,01/01/2026,14/03/2026
Nyerere Np,Nyerere Tented Camp,,test,FALSE,0,FALSE,USD,Luxury safari Tent Double Room,test,2,5,15,1,2,45.0,60.0,0.0,15.0,01/01/2026,14/03/2026
Nyerere Np,Nyerere Tented Camp,,test,FALSE,0,FALSE,USD,Luxury safari Tent Double Room,test,2,16,99,1,2,60.0,60.0,0.0,15.0,01/01/2026,14/03/2026
Nyerere Np,Nyerere Tented Camp,,test,FALSE,0,FALSE,USD,Luxury safari Tent Double Room,test,2,0,4,1,2,0.0,0.0,0.0,0.0,15/03/2026,15/05/2026
Nyerere Np,Nyerere Tented Camp,,test,FALSE,0,FALSE,USD,Luxury safari Tent Double Room,test,2,5,15,1,2,33.75,45.0,0.0,15.0,15/03/2026,15/05/2026
Nyerere Np,Nyerere Tented Camp,,test,FALSE,0,FALSE,USD,Luxury safari Tent Double Room,test,2,16,99,1,2,45.0,45.0,0.0,15.0,15/03/2026,15/05/2026
Nyerere Np,Nyerere Tented Camp,,test,FALSE,0,FALSE,USD,Luxury safari Tent Double Room,test,2,0,4,1,2,0.0,0.0,0.0,0.0,16/05/2026,31/12/2026
Nyerere Np,Nyerere Tented Camp,,test,FALSE,0,FALSE,USD,Luxury safari Tent Double Room,test,2,5,15,1,2,45.0,60.0,0.0,15.0,16/05/2026,31/12/2026
Nyerere Np,Nyerere Tented Camp,,test,FALSE,0,FALSE,USD,Luxury safari Tent Double Room,test,2,16,99,1,2,60.0,60.0,0.0,15.0,16/05/2026,31/12/2026
Nyerere Np,Nyerere Tented Camp,,test,FALSE,0,FALSE,USD,Luxury safari Tent Twin Room,test,2,0,4,1,2,0.0,0.0,0.0,0.0,01/01/2026,14/03/2026
Nyerere Np,Nyerere Tented Camp,,test,FALSE,0,FALSE,USD,Luxury safari Tent Twin Room,test,2,5,15,1,2,45.0,60.0,0.0,15.0,01/01/2026,14/03/2026
Nyerere Np,Nyerere Tented Camp,,test,FALSE,0,FALSE,USD,Luxury safari Tent Twin Room,test,2,16,99,1,2,60.0,60.0,0.0,15.0,01/01/2026,14/03/2026
Nyerere Np,Nyerere Tented Camp,,test,FALSE,0,FALSE,USD,Luxury safari Tent Twin Room,test,2,0,4,1,2,0.0,0.0,0.0,0.0,15/03/2026,15/05/2026
Nyerere Np,Nyerere Tented Camp,,test,FALSE,0,FALSE,USD,Luxury safari Tent Twin Room,test,2,5,15,1,2,33.75,45.0,0.0,15.0,15/03/2026,15/05/2026
Nyerere Np,Nyerere Tented Camp,,test,FALSE,0,FALSE,USD,Luxury safari Tent Twin Room,test,2,16,99,1,2,45.0,45.0,0.0,15.0,15/03/2026,15/05/2026
Nyerere Np,Nyerere Tented Camp,,test,FALSE,0,FALSE,USD,Luxury safari Tent Twin Room,test,2,0,4,1,2,0.0,0.0,0.0,0.0,16/05/2026,31/12/2026
Nyerere Np,Nyerere Tented Camp,,test,FALSE,0,FALSE,USD,Luxury safari Tent Twin Room,test,2,5,15,1,2,45.0,60.0,0.0,15.0,16/05/2026,31/12/2026
Nyerere Np,Nyerere Tented Camp,,test,FALSE,0,FALSE,USD,Luxury safari Tent Twin Room,test,2,16,99,1,2,60.0,60.0,0.0,15.0,16/05/2026,31/12/2026
Nyerere Np,Nyerere Tented Camp,,test,FALSE,0,FALSE,USD,Luxury safari Tent Family Room,test,6,0,4,1,6,0.0,0.0,0.0,0.0,01/01/2026,14/03/2026
Nyerere Np,Nyerere Tented Camp,,test,FALSE,0,FALSE,USD,Luxury safari Tent Family Room,test,6,5,15,1,6,45.0,60.0,0.0,15.0,01/01/2026,14/03/2026
Nyerere Np,Nyerere Tented Camp,,test,FALSE,0,FALSE,USD,Luxury safari Tent Family Room,test,6,16,99,1,6,60.0,60.0,0.0,15.0,01/01/2026,14/03/2026
Nyerere Np,Nyerere Tented Camp,,test,FALSE,0,FALSE,USD,Luxury safari Tent Family Room,test,6,0,4,1,6,0.0,0.0,0.0,0.0,15/03/2026,15/05/2026
Nyerere Np,Nyerere Tented Camp,,test,FALSE,0,FALSE,USD,Luxury safari Tent Family Room,test,6,5,15,1,6,33.75,45.0,0.0,15.0,15/03/2026,15/05/2026
Nyerere Np,Nyerere Tented Camp,,test,FALSE,0,FALSE,USD,Luxury safari Tent Family Room,test,6,16,99,1,6,45.0,45.0,0.0,15.0,15/03/2026,15/05/2026
Nyerere Np,Nyerere Tented Camp,,test,FALSE,0,FALSE,USD,Luxury safari Tent Family Room,test,6,0,4,1,6,0.0,0.0,0.0,0.0,16/05/2026,31/12/2026
Nyerere Np,Nyerere Tented Camp,,test,FALSE,0,FALSE,USD,Luxury safari Tent Family Room,test,6,5,15,1,6,45.0,60.0,0.0,15.0,16/05/2026,31/12/2026
Nyerere Np,Nyerere Tented Camp,,test,FALSE,0,FALSE,USD,Luxury safari Tent Family Room,test,6,16,99,1,6,60.0,60.0,0.0,15.0,16/05/2026,31/12/2026
