location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
Mikumi NP,Vuma Hills Tented Camp,,Test,FALSE,0,FALSE,USD,Double Room,test,2,0,4,1,2,36.25,145.0,0.0,0.0,01/06/2026,30/06/2026
Mikumi NP,Vuma Hills Tented Camp,,Test,FALSE,0,FALSE,USD,Double Room,test,2,5,14,1,2,72.5,145.0,0.0,0.0,01/06/2026,30/06/2026
Mikumi NP,Vuma Hills Tented Camp,,Test,FALSE,0,FALSE,USD,Double Room,test,2,15,99,1,2,145.0,145.0,0.0,0.0,01/06/2026,30/06/2026
Mikumi NP,Vuma Hills Tented Camp,,Test,FALSE,0,FALSE,USD,Double Room,test,2,0,4,1,2,42.5,170.0,0.0,0.0,01/07/2026,31/10/2026
Mikumi NP,Vuma Hills Tented Camp,,Test,FALSE,0,FALSE,USD,Double Room,test,2,5,14,1,2,85.0,170.0,0.0,0.0,01/07/2026,31/10/2026
Mikumi NP,Vuma Hills Tented Camp,,Test,FALSE,0,FALSE,USD,Double Room,test,2,15,99,1,2,170.0,170.0,0.0,0.0,01/07/2026,31/10/2026
Mikumi NP,Vuma Hills Tented Camp,,Test,FALSE,0,FALSE,USD,Double Room,test,2,0,4,1,2,36.25,145.0,0.0,0.0,01/11/2026,23/12/2026
Mikumi NP,Vuma Hills Tented Camp,,Test,FALSE,0,FALSE,USD,Double Room,test,2,5,14,1,2,72.5,145.0,0.0,0.0,01/11/2026,23/12/2026
Mikumi NP,Vuma Hills Tented Camp,,Test,FALSE,0,FALSE,USD,Double Room,test,2,15,99,1,2,145.0,145.0,0.0,0.0,01/11/2026,23/12/2026
Mikumi NP,Vuma Hills Tented Camp,,Test,FALSE,0,FALSE,USD,Double Room,test,2,0,4,1,2,42.5,170.0,0.0,0.0,24/12/2026,31/12/2026
Mikumi NP,Vuma Hills Tented Camp,,Test,FALSE,0,FALSE,USD,Double Room,test,2,5,14,1,2,85.0,170.0,0.0,0.0,24/12/2026,31/12/2026
Mikumi NP,Vuma Hills Tented Camp,,Test,FALSE,0,FALSE,USD,Double Room,test,2,15,99,1,2,170.0,170.0,0.0,0.0,24/12/2026,31/12/2026
Mikumi NP,Vuma Hills Tented Camp,,Test,FALSE,0,FALSE,USD,Double Room,test,2,0,4,1,2,42.5,170.0,0.0,0.0,01/01/2027,04/01/2027
Mikumi NP,Vuma Hills Tented Camp,,Test,FALSE,0,FALSE,USD,Double Room,test,2,5,14,1,2,85.0,170.0,0.0,0.0,01/01/2027,04/01/2027
Mikumi NP,Vuma Hills Tented Camp,,Test,FALSE,0,FALSE,USD,Double Room,test,2,15,99,1,2,170.0,170.0,0.0,0.0,01/01/2027,04/01/2027
