location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
Nyerere NP,Sable Mountain Lodge,,test,FALSE,0,FALSE,USD,The Villa Single  Stay,test,1,0,2,1,1,0.0,0.0,0.0,0.0,01/06/2026,31/05/2027
Nyerere NP,Sable Mountain Lodge,,test,FALSE,0,FALSE,USD,The Villa Single  Stay,test,1,3,11,1,1,142.5,0.0,0.0,0.0,01/06/2026,31/05/2027
Nyerere NP,Sable Mountain Lodge,,test,FALSE,0,FALSE,USD,The Villa Single  Stay,test,1,12,99,1,1,285.0,0.0,0.0,0.0,01/06/2026,31/05/2027
Nyerere NP,Sable Mountain Lodge,,test,FALSE,0,FALSE,USD,The Villa 4 pax,test,5,0,2,1,5,0.0,0.0,0.0,0.0,01/06/2026,31/05/2027
Nyerere NP,Sable Mountain Lodge,,test,FALSE,0,FALSE,USD,The Villa 4 pax,test,5,3,11,1,5,137.5,275.0,0.0,0.0,01/06/2026,31/05/2027
Nyerere NP,Sable Mountain Lodge,,test,FALSE,0,FALSE,USD,The Villa 4 pax,test,5,12,99,1,5,275.0,275.0,0.0,0.0,01/06/2026,31/05/2027
Nyerere NP,Sable Mountain Lodge,,test,FALSE,0,FALSE,USD,The Loft single Room,test,1,0,2,1,1,0.0,0.0,0.0,0.0,01/06/2026,31/05/2027
Nyerere NP,Sable Mountain Lodge,,test,FALSE,0,FALSE,USD,The Loft single Room,test,1,3,11,1,1,142.5,0.0,0.0,0.0,01/06/2026,31/05/2027
Nyerere NP,Sable Mountain Lodge,,test,FALSE,0,FALSE,USD,The Loft single Room,test,1,12,99,1,1,285.0,0.0,0.0,0.0,01/06/2026,31/05/2027
Nyerere NP,Sable Mountain Lodge,,test,FALSE,0,FALSE,USD,The Loft Double Room,test,2,0,2,1,2,0.0,0.0,0.0,0.0,01/06/2026,31/05/2027
Nyerere NP,Sable Mountain Lodge,,test,FALSE,0,FALSE,USD,The Loft Double Room,test,2,3,11,1,2,137.5,275.0,0.0,0.0,01/06/2026,31/05/2027
Nyerere NP,Sable Mountain Lodge,,test,FALSE,0,FALSE,USD,The Loft Double Room,test,2,12,99,1,2,275.0,275.0,0.0,0.0,01/06/2026,31/05/2027
Nyerere NP,Sable Mountain Lodge,,test,FALSE,0,FALSE,USD,The Uluguru Suite Single,test,1,0,2,1,1,0.0,0.0,0.0,0.0,01/06/2026,31/05/2027
Nyerere NP,Sable Mountain Lodge,,test,FALSE,0,FALSE,USD,The Uluguru Suite Single,test,1,3,11,1,1,142.5,0.0,0.0,0.0,01/06/2026,31/05/2027
Nyerere NP,Sable Mountain Lodge,,test,FALSE,0,FALSE,USD,The Uluguru Suite Single,test,1,12,99,1,1,285.0,0.0,0.0,0.0,01/06/2026,31/05/2027
Nyerere NP,Sable Mountain Lodge,,test,FALSE,0,FALSE,USD,The Uluguru Suite Double Room,test,2,0,2,1,2,0.0,0.0,0.0,0.0,01/06/2026,31/05/2027
Nyerere NP,Sable Mountain Lodge,,test,FALSE,0,FALSE,USD,The Uluguru Suite Double Room,test,2,3,11,1,2,137.5,275.0,0.0,0.0,01/06/2026,31/05/2027
Nyerere NP,Sable Mountain Lodge,,test,FALSE,0,FALSE,USD,The Uluguru Suite Double Room,test,2,12,99,1,2,275.0,275.0,0.0,0.0,01/06/2026,31/05/2027
Nyerere NP,Sable Mountain Lodge,,test,FALSE,0,FALSE,USD,The Forest Suite Single Stay,test,1,0,2,1,1,0.0,0.0,0.0,0.0,01/06/2026,31/05/2027
Nyerere NP,Sable Mountain Lodge,,test,FALSE,0,FALSE,USD,The Forest Suite Single Stay,test,1,3,11,1,1,142.5,0.0,0.0,0.0,01/06/2026,31/05/2027
Nyerere NP,Sable Mountain Lodge,,test,FALSE,0,FALSE,USD,The Forest Suite Single Stay,test,1,12,99,1,1,285.0,0.0,0.0,0.0,01/06/2026,31/05/2027
Nyerere NP,Sable Mountain Lodge,,test,FALSE,0,FALSE,USD,The Forest Suite Double Stay,test,2,0,2,1,2,0.0,0.0,0.0,0.0,01/06/2026,31/05/2027
Nyerere NP,Sable Mountain Lodge,,test,FALSE,0,FALSE,USD,The Forest Suite Double Stay,test,2,3,11,1,2,137.5,275.0,0.0,0.0,01/06/2026,31/05/2027
Nyerere NP,Sable Mountain Lodge,,test,FALSE,0,FALSE,USD,The Forest Suite Double Stay,test,2,12,99,1,2,275.0,275.0,0.0,0.0,01/06/2026,31/05/2027
Nyerere NP,Sable Mountain Lodge,,test,FALSE,0,FALSE,USD,The Forest Suite Twin Stay,test,2,0,2,1,2,0.0,0.0,0.0,0.0,01/06/2026,31/05/2027
Nyerere NP,Sable Mountain Lodge,,test,FALSE,0,FALSE,USD,The Forest Suite Twin Stay,test,2,3,11,1,2,137.5,275.0,0.0,0.0,01/06/2026,31/05/2027
Nyerere NP,Sable Mountain Lodge,,test,FALSE,0,FALSE,USD,The Forest Suite Twin Stay,test,2,12,99,1,2,275.0,275.0,0.0,0.0,01/06/2026,31/05/2027
Nyerere NP,Sable Mountain Lodge,,test,FALSE,0,FALSE,USD,Mountain View Cottage Single Stay,test,1,0,2,1,1,0.0,0.0,0.0,0.0,01/06/2026,31/05/2027
Nyerere NP,Sable Mountain Lodge,,test,FALSE,0,FALSE,USD,Mountain View Cottage Single Stay,test,1,3,11,1,1,132.5,0.0,0.0,0.0,01/06/2026,31/05/2027
Nyerere NP,Sable Mountain Lodge,,test,FALSE,0,FALSE,USD,Mountain View Cottage Single Stay,test,1,12,99,1,1,265.0,0.0,0.0,0.0,01/06/2026,31/05/2027
Nyerere NP,Sable Mountain Lodge,,test,FALSE,0,FALSE,USD,Mountain View Cottage Double Stay,test,2,0,2,1,2,0.0,0.0,0.0,0.0,01/06/2026,31/05/2027
Nyerere NP,Sable Mountain Lodge,,test,FALSE,0,FALSE,USD,Mountain View Cottage Double Stay,test,2,3,11,1,2,107.5,215.0,0.0,0.0,01/06/2026,31/05/2027
Nyerere NP,Sable Mountain Lodge,,test,FALSE,0,FALSE,USD,Mountain View Cottage Double Stay,test,2,12,99,1,2,215.0,215.0,0.0,0.0,01/06/2026,31/05/2027
Nyerere NP,Sable Mountain Lodge,,test,FALSE,0,FALSE,USD,Mountain View CottageTwin Stay,test,2,0,2,1,2,0.0,0.0,0.0,0.0,01/06/2026,31/05/2027
Nyerere NP,Sable Mountain Lodge,,test,FALSE,0,FALSE,USD,Mountain View CottageTwin Stay,test,2,3,11,1,2,107.5,215.0,0.0,0.0,01/06/2026,31/05/2027
Nyerere NP,Sable Mountain Lodge,,test,FALSE,0,FALSE,USD,Mountain View CottageTwin Stay,test,2,12,99,1,2,215.0,215.0,0.0,0.0,01/06/2026,31/05/2027
Nyerere NP,Sable Mountain Lodge,,test,FALSE,0,FALSE,USD,Forest View Cottage Single Stay,test,1,0,2,1,1,0.0,0.0,0.0,0.0,01/06/2026,31/05/2027
Nyerere NP,Sable Mountain Lodge,,test,FALSE,0,FALSE,USD,Forest View Cottage Single Stay,test,1,3,11,1,1,132.5,0.0,0.0,0.0,01/06/2026,31/05/2027
Nyerere NP,Sable Mountain Lodge,,test,FALSE,0,FALSE,USD,Forest View Cottage Single Stay,test,1,12,99,1,1,265.0,0.0,0.0,0.0,01/06/2026,31/05/2027
Nyerere NP,Sable Mountain Lodge,,test,FALSE,0,FALSE,USD,Forest View Cottage Double Stay,test,2,0,2,1,2,0.0,0.0,0.0,0.0,01/06/2026,31/05/2027
Nyerere NP,Sable Mountain Lodge,,test,FALSE,0,FALSE,USD,Forest View Cottage Double Stay,test,2,3,11,1,2,107.5,215.0,0.0,0.0,01/06/2026,31/05/2027
Nyerere NP,Sable Mountain Lodge,,test,FALSE,0,FALSE,USD,Forest View Cottage Double Stay,test,2,12,99,1,2,215.0,215.0,0.0,0.0,01/06/2026,31/05/2027
Nyerere NP,Sable Mountain Lodge,,test,FALSE,0,FALSE,USD,Forest View Cottage Twin Stay,test,2,0,2,1,2,0.0,0.0,0.0,0.0,01/06/2026,31/05/2027
Nyerere NP,Sable Mountain Lodge,,test,FALSE,0,FALSE,USD,Forest View Cottage Twin Stay,test,2,3,11,1,2,107.5,215.0,0.0,0.0,01/06/2026,31/05/2027
Nyerere NP,Sable Mountain Lodge,,test,FALSE,0,FALSE,USD,Forest View Cottage Twin Stay,test,2,12,99,1,2,215.0,215.0,0.0,0.0,01/06/2026,31/05/2027
