location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
Serengeti National park,Sametu Camp 27,,Test,TRUE,0,FALSE,USD,Single Room,Test,1,0,4,1,1,0.0,0.0,0.0,0.0,01/01/2027,31/03/2027
Serengeti National park,Sametu Camp 27,,Test,TRUE,0,FALSE,USD,Single Room,Test,1,5,14,1,1,232.5,0.0,0.0,0.0,01/01/2027,31/03/2027
Serengeti National park,Sametu Camp 27,,Test,TRUE,0,FALSE,USD,Single Room,Test,1,15,99,1,1,465.0,0.0,0.0,0.0,01/01/2027,31/03/2027
Serengeti National park,Sametu Camp 27,,Test,TRUE,0,FALSE,USD,Single Room,Test,1,0,4,1,1,0.0,0.0,0.0,0.0,01/04/2027,31/05/2027
Serengeti National park,Sametu Camp 27,,Test,TRUE,0,FALSE,USD,Single Room,Test,1,5,14,1,1,162.5,0.0,0.0,0.0,01/04/2027,31/05/2027
Serengeti National park,Sametu Camp 27,,Test,TRUE,0,FALSE,USD,Single Room,Test,1,15,99,1,1,325.0,0.0,0.0,0.0,01/04/2027,31/05/2027
Serengeti National park,Sametu Camp 27,,Test,TRUE,0,FALSE,USD,Single Room,Test,1,0,4,1,1,0.0,0.0,0.0,0.0,01/06/2027,31/10/2027
Serengeti National park,Sametu Camp 27,,Test,TRUE,0,FALSE,USD,Single Room,Test,1,5,14,1,1,232.5,0.0,0.0,0.0,01/06/2027,31/10/2027
Serengeti National park,Sametu Camp 27,,Test,TRUE,0,FALSE,USD,Single Room,Test,1,15,99,1,1,465.0,0.0,0.0,0.0,01/06/2027,31/10/2027
Serengeti National park,Sametu Camp 27,,Test,TRUE,0,FALSE,USD,Single Room,Test,1,0,4,1,1,0.0,0.0,0.0,0.0,01/11/2027,14/12/2027
Serengeti National park,Sametu Camp 27,,Test,TRUE,0,FALSE,USD,Single Room,Test,1,5,14,1,1,162.5,0.0,0.0,0.0,01/11/2027,14/12/2027
Serengeti National park,Sametu Camp 27,,Test,TRUE,0,FALSE,USD,Single Room,Test,1,15,99,1,1,325.0,0.0,0.0,0.0,01/11/2027,14/12/2027
Serengeti National park,Sametu Camp 27,,Test,TRUE,0,FALSE,USD,Single Room,Test,1,0,4,1,1,0.0,0.0,0.0,0.0,15/12/2027,31/12/2027
Serengeti National park,Sametu Camp 27,,Test,TRUE,0,FALSE,USD,Single Room,Test,1,5,14,1,1,232.5,0.0,0.0,0.0,15/12/2027,31/12/2027
Serengeti National park,Sametu Camp 27,,Test,TRUE,0,FALSE,USD,Single Room,Test,1,15,99,1,1,465.0,0.0,0.0,0.0,15/12/2027,31/12/2027
Serengeti National park,Sametu Camp 27,,Test,TRUE,0,FALSE,USD,Double Room,Test,2,0,4,1,2,0.0,0.0,0.0,0.0,01/01/2027,31/03/2027
Serengeti National park,Sametu Camp 27,,Test,TRUE,0,FALSE,USD,Double Room,Test,2,5,14,1,2,185.0,370.0,0.0,0.0,01/01/2027,31/03/2027
