location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
Tarangire,Lemala Kuria Hills Lodge,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,0,4,1,1,0.0,0.0,0.0,0.0,01/06/2026,30/06/2026
Tarangire,Lemala Kuria Hills Lodge,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,5,15,1,1,350.78,0.0,0.0,0.0,01/06/2026,30/06/2026
Tarangire,Lemala Kuria Hills Lodge,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,16,99,1,1,701.08,0.0,0.0,0.0,01/06/2026,30/06/2026
Tarangire,Lemala Kuria Hills Lodge,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,0,4,1,1,0.0,0.0,0.0,0.0,01/07/2026,30/09/2026
Tarangire,Lemala Kuria Hills Lodge,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,5,15,1,1,581.78,0.0,0.0,0.0,01/07/2026,30/09/2026
Tarangire,Lemala Kuria Hills Lodge,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,16,99,1,1,1662.22,0.0,0.0,0.0,01/07/2026,30/09/2026
Tarangire,Lemala Kuria Hills Lodge,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,0,4,1,1,0.0,0.0,0.0,0.0,01/10/2026,31/10/2026
Tarangire,Lemala Kuria Hills Lodge,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,5,15,1,1,350.78,0.0,0.0,0.0,01/10/2026,31/10/2026
Tarangire,Lemala Kuria Hills Lodge,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,16,99,1,1,701.08,0.0,0.0,0.0,01/10/2026,31/10/2026
Tarangire,Lemala Kuria Hills Lodge,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,0,4,1,1,0.0,0.0,0.0,0.0,01/11/2026,19/12/2026
Tarangire,Lemala Kuria Hills Lodge,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,5,15,1,1,182.0,0.0,0.0,0.0,01/11/2026,19/12/2026
Tarangire,Lemala Kuria Hills Lodge,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,16,99,1,1,364.0,0.0,0.0,0.0,01/11/2026,19/12/2026
Tarangire,Lemala Kuria Hills Lodge,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,0,4,1,1,0.0,0.0,0.0,0.0,20/12/2026,05/01/2027
Tarangire,Lemala Kuria Hills Lodge,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,5,15,1,1,581.78,0.0,0.0,0.0,20/12/2026,05/01/2027
Tarangire,Lemala Kuria Hills Lodge,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,16,99,1,1,1662.22,0.0,0.0,0.0,20/12/2026,05/01/2027
