location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
Nyerere NP,Selous Mapimziko Lodge,,test,FALSE,0,FALSE,USD,Standard Banda Double Room,test,2,0,2,1,2,0.0,0.0,0.0,0.0,01/01/2026,31/12/2026
Nyerere NP,Selous Mapimziko Lodge,,test,FALSE,0,FALSE,USD,Standard Banda Double Room,test,2,3,12,1,2,35.0,70.0,0.0,0.0,01/01/2026,31/12/2026
Nyerere NP,Selous Mapimziko Lodge,,test,FALSE,0,FALSE,USD,Standard Banda Double Room,test,2,13,99,1,2,70.0,70.0,0.0,0.0,01/01/2026,31/12/2026
Nyerere NP,Selous Mapimziko Lodge,,test,FALSE,0,FALSE,USD,Standard Banda Single Room,test,1,0,2,1,1,0.0,0.0,0.0,0.0,01/01/2026,31/12/2026
Nyerere NP,Selous Mapimziko Lodge,,test,FALSE,0,FALSE,USD,Standard Banda Single Room,test,1,3,12,1,1,45.0,0.0,0.0,0.0,01/01/2026,31/12/2026
Nyerere NP,Selous Mapimziko Lodge,,test,FALSE,0,FALSE,USD,Standard Banda Single Room,test,1,13,99,1,1,90.0,0.0,0.0,0.0,01/01/2026,31/12/2026
Nyerere NP,Selous Mapimziko Lodge,,test,FALSE,0,FALSE,USD,Family Temt,test,4,0,2,1,4,0.0,0.0,0.0,0.0,01/01/2026,31/12/2026
Nyerere NP,Selous Mapimziko Lodge,,test,FALSE,0,FALSE,USD,Family Temt,test,4,3,12,1,4,31.25,62.5,0.0,0.0,01/01/2026,31/12/2026
Nyerere NP,Selous Mapimziko Lodge,,test,FALSE,0,FALSE,USD,Family Temt,test,4,13,99,1,4,62.5,62.5,0.0,0.0,01/01/2026,31/12/2026
Nyerere NP,Selous Mapimziko Lodge,,test,FALSE,0,FALSE,USD,Standard tents with bathroom,test,2,0,2,1,2,0.0,0.0,0.0,0.0,01/01/2026,31/12/2026
Nyerere NP,Selous Mapimziko Lodge,,test,FALSE,0,FALSE,USD,Standard tents with bathroom,test,2,3,12,1,2,35.0,70.0,0.0,0.0,01/01/2026,31/12/2026
Nyerere NP,Selous Mapimziko Lodge,,test,FALSE,0,FALSE,USD,Standard tents with bathroom,test,2,13,99,1,2,70.0,70.0,0.0,0.0,01/01/2026,31/12/2026
