location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
Udzungwa,UDZUNGWA FALLS LODGE,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,0,4,1,1,0.0,0.0,0.0,0.0,01/01/2026,31/12/2026
Udzungwa,UDZUNGWA FALLS LODGE,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,5,12,1,1,99.0,0.0,0.0,0.0,01/01/2026,31/12/2026
Udzungwa,UDZUNGWA FALLS LODGE,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,13,99,1,1,165.0,0.0,0.0,0.0,01/01/2026,31/12/2026
Udzungwa,UDZUNGWA FALLS LODGE,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,0,4,1,2,0.0,0.0,0.0,0.0,01/01/2026,31/12/2026
Udzungwa,UDZUNGWA FALLS LODGE,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,5,12,1,2,84.6,141.0,0.0,0.0,01/01/2026,31/12/2026
Udzungwa,UDZUNGWA FALLS LODGE,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,13,99,1,2,141.0,141.0,0.0,0.0,01/01/2026,31/12/2026
Udzungwa,UDZUNGWA FALLS LODGE,,Test,FALSE,0,FALSE,USD,Triple Room,Test,3,0,4,1,3,0.0,0.0,0.0,0.0,01/01/2026,31/12/2026
Udzungwa,UDZUNGWA FALLS LODGE,,Test,FALSE,0,FALSE,USD,Triple Room,Test,3,5,12,1,3,84.6,141.0,0.0,0.0,01/01/2026,31/12/2026
Udzungwa,UDZUNGWA FALLS LODGE,,Test,FALSE,0,FALSE,USD,Triple Room,Test,3,13,99,1,3,141.0,141.0,0.0,0.0,01/01/2026,31/12/2026
Udzungwa,UDZUNGWA FALLS LODGE,,Test,FALSE,0,FALSE,USD,Family Room,Test,4,0,4,1,4,0.0,0.0,0.0,0.0,01/01/2026,31/12/2026
Udzungwa,UDZUNGWA FALLS LODGE,,Test,FALSE,0,FALSE,USD,Family Room,Test,4,5,12,1,4,84.6,141.0,0.0,0.0,01/01/2026,31/12/2026
Udzungwa,UDZUNGWA FALLS LODGE,,Test,FALSE,0,FALSE,USD,Family Room,Test,4,13,99,1,4,141.0,141.0,0.0,0.0,01/01/2026,31/12/2026
