location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
Serengeti,KIMARISHE SERENGETI LODGE,,test,FALSE,0,FALSE,USD,Deluxe Single Room,test,1,0,1,1,1,0.0,0.0,0.0,0.0,01/01/2026,28/02/2026
Serengeti,KIMARISHE SERENGETI LODGE,,test,FALSE,0,FALSE,USD,Deluxe Single Room,test,1,2,12,1,1,236.0,0.0,0.0,0.0,01/01/2026,28/02/2026
Serengeti,KIMARISHE SERENGETI LODGE,,test,FALSE,0,FALSE,USD,Deluxe Single Room,test,1,13,99,1,1,472.0,0.0,0.0,0.0,01/01/2026,28/02/2026
Serengeti,KIMARISHE SERENGETI LODGE,,test,FALSE,0,FALSE,USD,Deluxe Single Room,test,1,0,1,1,1,0.0,0.0,0.0,0.0,01/03/2026,31/03/2026
Serengeti,KIMARISHE SERENGETI LODGE,,test,FALSE,0,FALSE,USD,Deluxe Single Room,test,1,2,12,1,1,173.5,0.0,0.0,0.0,01/03/2026,31/03/2026
Serengeti,KIMARISHE SERENGETI LODGE,,test,FALSE,0,FALSE,USD,Deluxe Single Room,test,1,13,99,1,1,347.0,0.0,0.0,0.0,01/03/2026,31/03/2026
Serengeti,KIMARISHE SERENGETI LODGE,,test,FALSE,0,FALSE,USD,Deluxe Single Room,test,1,0,1,1,1,0.0,0.0,0.0,0.0,01/04/2026,31/05/2026
Serengeti,KIMARISHE SERENGETI LODGE,,test,FALSE,0,FALSE,USD,Deluxe Single Room,test,1,2,12,1,1,135.5,0.0,0.0,0.0,01/04/2026,31/05/2026
Serengeti,KIMARISHE SERENGETI LODGE,,test,FALSE,0,FALSE,USD,Deluxe Single Room,test,1,13,99,1,1,271.0,0.0,0.0,0.0,01/04/2026,31/05/2026
Serengeti,KIMARISHE SERENGETI LODGE,,test,FALSE,0,FALSE,USD,Deluxe Single Room,test,1,0,1,1,1,0.0,0.0,0.0,0.0,02/06/2026,31/10/2026
Serengeti,KIMARISHE SERENGETI LODGE,,test,FALSE,0,FALSE,USD,Deluxe Single Room,test,1,2,12,1,1,236.0,0.0,0.0,0.0,02/06/2026,31/10/2026
Serengeti,KIMARISHE SERENGETI LODGE,,test,FALSE,0,FALSE,USD,Deluxe Single Room,test,1,13,99,1,1,472.0,0.0,0.0,0.0,02/06/2026,31/10/2026
Serengeti,KIMARISHE SERENGETI LODGE,,test,FALSE,0,FALSE,USD,Deluxe Single Room,test,1,0,1,1,1,0.0,0.0,0.0,0.0,01/11/2026,20/12/2026
Serengeti,KIMARISHE SERENGETI LODGE,,test,FALSE,0,FALSE,USD,Deluxe Single Room,test,1,2,12,1,1,173.5,0.0,0.0,0.0,01/11/2026,20/12/2026
Serengeti,KIMARISHE SERENGETI LODGE,,test,FALSE,0,FALSE,USD,Deluxe Single Room,test,1,13,99,1,1,347.0,0.0,0.0,0.0,01/11/2026,20/12/2026
