location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
Zanzibar,Marafiki Beach Hotel &spa 27,,Test,FALSE,0,FALSE,USD,King Suite with balcony,test,2,0,2,1,2,0.0,0.0,27.0,45.0,09/01/2027,09/03/2027
Zanzibar,Marafiki Beach Hotel &spa 27,,Test,FALSE,0,FALSE,USD,King Suite with balcony,test,2,3,99,1,2,106.5,106.5,27.0,45.0,09/01/2027,09/03/2027
Zanzibar,Marafiki Beach Hotel &spa 27,,Test,FALSE,0,FALSE,USD,King Suite with balcony,test,2,0,2,1,2,0.0,0.0,27.0,45.0,10/03/2027,31/05/2027
Zanzibar,Marafiki Beach Hotel &spa 27,,Test,FALSE,0,FALSE,USD,King Suite with balcony,test,2,3,99,1,2,85.0,85.0,27.0,45.0,10/03/2027,31/05/2027
Zanzibar,Marafiki Beach Hotel &spa 27,,Test,FALSE,0,FALSE,USD,King Suite with balcony,test,2,0,2,1,2,0.0,0.0,27.0,45.0,01/06/2027,30/06/2027
Zanzibar,Marafiki Beach Hotel &spa 27,,Test,FALSE,0,FALSE,USD,King Suite with balcony,test,2,3,99,1,2,93.5,93.5,27.0,45.0,01/06/2027,30/06/2027
Zanzibar,Marafiki Beach Hotel &spa 27,,Test,FALSE,0,FALSE,USD,King Suite with balcony,test,2,0,2,1,2,0.0,0.0,27.0,45.0,01/07/2027,31/08/2027
Zanzibar,Marafiki Beach Hotel &spa 27,,Test,FALSE,0,FALSE,USD,King Suite with balcony,test,2,3,99,1,2,106.5,106.5,27.0,45.0,01/07/2027,31/08/2027
Zanzibar,Marafiki Beach Hotel &spa 27,,Test,FALSE,0,FALSE,USD,King Suite with balcony,test,2,0,2,1,2,0.0,0.0,27.0,45.0,01/09/2027,31/10/2027
Zanzibar,Marafiki Beach Hotel &spa 27,,Test,FALSE,0,FALSE,USD,King Suite with balcony,test,2,3,99,1,2,95.5,95.5,27.0,45.0,01/09/2027,31/10/2027
Zanzibar,Marafiki Beach Hotel &spa 27,,Test,FALSE,0,FALSE,USD,King Suite with balcony,test,2,0,2,1,2,0.0,0.0,27.0,45.0,01/11/2027,19/12/2027
Zanzibar,Marafiki Beach Hotel &spa 27,,Test,FALSE,0,FALSE,USD,King Suite with balcony,test,2,3,99,1,2,90.5,90.5,27.0,45.0,01/11/2027,19/12/2027
Zanzibar,Marafiki Beach Hotel &spa 27,,Test,FALSE,0,FALSE,USD,King Suite with balcony,test,2,0,2,1,2,0.0,0.0,27.0,45.0,20/12/2027,08/01/2028
Zanzibar,Marafiki Beach Hotel &spa 27,,Test,FALSE,0,FALSE,USD,King Suite with balcony,test,2,3,99,1,2,127.5,127.5,27.0,45.0,20/12/2027,08/01/2028
Zanzibar,Marafiki Beach Hotel &spa 27,,Test,FALSE,0,FALSE,USD,King room with Balcony first floor,test,2,0,2,1,2,0.0,0.0,27.0,45.0,09/01/2027,09/03/2027
