location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
Nyerere,Camp Bastian Mikumi,,test,FALSE,0,FALSE,USD,Single Chalets,test,1,0,4,1,1,0.0,0.0,0.0,0.0,01/01/2027,31/12/2027
Nyerere,Camp Bastian Mikumi,,test,FALSE,0,FALSE,USD,Single Chalets,test,1,5,14,1,1,35.0,0.0,0.0,0.0,01/01/2027,31/12/2027
Nyerere,Camp Bastian Mikumi,,test,FALSE,0,FALSE,USD,Single Chalets,test,1,15,99,1,1,70.0,0.0,0.0,0.0,01/01/2027,31/12/2027
Nyerere,Camp Bastian Mikumi,,test,FALSE,0,FALSE,USD,superior chalets Double Room,test,2,0,4,1,2,0.0,0.0,0.0,0.0,01/01/2027,31/12/2027
Nyerere,Camp Bastian Mikumi,,test,FALSE,0,FALSE,USD,superior chalets Double Room,test,2,5,14,1,2,33.75,67.5,0.0,0.0,01/01/2027,31/12/2027
Nyerere,Camp Bastian Mikumi,,test,FALSE,0,FALSE,USD,superior chalets Double Room,test,2,15,99,1,2,67.5,67.5,0.0,0.0,01/01/2027,31/12/2027
Nyerere,Camp Bastian Mikumi,,test,FALSE,0,FALSE,USD,superior chalets triple Room,test,3,0,4,1,3,0.0,0.0,0.0,0.0,01/01/2027,31/12/2027
Nyerere,Camp Bastian Mikumi,,test,FALSE,0,FALSE,USD,superior chalets triple Room,test,3,5,14,1,3,29.16,58.33,0.0,0.0,01/01/2027,31/12/2027
Nyerere,Camp Bastian Mikumi,,test,FALSE,0,FALSE,USD,superior chalets triple Room,test,3,15,99,1,3,58.33,58.33,0.0,0.0,01/01/2027,31/12/2027
Nyerere,Camp Bastian Mikumi,,test,FALSE,0,FALSE,USD,superior chalets Quadruple Room,test,4,0,4,1,4,0.0,0.0,0.0,0.0,01/01/2027,31/12/2027
Nyerere,Camp Bastian Mikumi,,test,FALSE,0,FALSE,USD,superior chalets Quadruple Room,test,4,5,14,1,4,24.38,48.75,0.0,0.0,01/01/2027,31/12/2027
Nyerere,Camp Bastian Mikumi,,test,FALSE,0,FALSE,USD,superior chalets Quadruple Room,test,4,15,99,1,4,48.75,48.75,0.0,0.0,01/01/2027,31/12/2027
Nyerere,Camp Bastian Mikumi,,test,FALSE,0,FALSE,USD,superior chalets Quintuple Room,test,5,0,4,1,5,0.0,0.0,0.0,0.0,01/01/2027,31/12/2027
Nyerere,Camp Bastian Mikumi,,test,FALSE,0,FALSE,USD,superior chalets Quintuple Room,test,5,5,14,1,5,21.0,42.0,0.0,0.0,01/01/2027,31/12/2027
Nyerere,Camp Bastian Mikumi,,test,FALSE,0,FALSE,USD,superior chalets Quintuple Room,test,5,15,99,1,5,42.0,42.0,0.0,0.0,01/01/2027,31/12/2027
Nyerere,Camp Bastian Mikumi,,test,FALSE,0,FALSE,USD,3 bedroom Family Chalet,test,6,0,4,1,6,0.0,0.0,0.0,0.0,01/01/2027,31/12/2027
Nyerere,Camp Bastian Mikumi,,test,FALSE,0,FALSE,USD,3 bedroom Family Chalet,test,6,5,14,1,6,20.84,41.67,0.0,0.0,01/01/2027,31/12/2027
Nyerere,Camp Bastian Mikumi,,test,FALSE,0,FALSE,USD,3 bedroom Family Chalet,test,6,15,99,1,6,41.67,41.67,0.0,0.0,01/01/2027,31/12/2027
Nyerere,Camp Bastian Mikumi,,test,FALSE,0,FALSE,USD,4 bedroom Family Chalet,test,8,0,4,1,8,0.0,0.0,0.0,0.0,01/01/2027,31/12/2027
Nyerere,Camp Bastian Mikumi,,test,FALSE,0,FALSE,USD,4 bedroom Family Chalet,test,8,5,14,1,8,17.5,35.0,0.0,0.0,01/01/2027,31/12/2027
Nyerere,Camp Bastian Mikumi,,test,FALSE,0,FALSE,USD,4 bedroom Family Chalet,test,8,15,99,1,8,35.0,35.0,0.0,0.0,01/01/2027,31/12/2027
