location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
,Mikumi Safari Lodge 27,,Test,FALSE,0,FALSE,USD,Standard Room,,2,1,4,1,2,0.0,0.0,0.0,0.0,01/01/2027,31/12/2027
,Mikumi Safari Lodge 27,,Test,FALSE,0,FALSE,USD,Standard Room,,2,4,11,1,2,52.5,35.0,0.0,0.0,01/01/2027,31/12/2027
,Mikumi Safari Lodge 27,,Test,FALSE,0,FALSE,USD,Standard Room,,2,12,99,1,2,105.0,35.0,0.0,0.0,01/01/2027,31/12/2027
,Mikumi Safari Lodge 27,,Test,FALSE,0,FALSE,USD,Family Room,,4,1,4,1,4,0.0,0.0,0.0,0.0,01/01/2027,31/12/2027
,Mikumi Safari Lodge 27,,Test,FALSE,0,FALSE,USD,Family Room,,4,4,11,1,4,37.5,35.0,0.0,0.0,01/01/2027,31/12/2027
,Mikumi Safari Lodge 27,,Test,FALSE,0,FALSE,USD,Family Room,,4,12,99,1,4,75.0,35.0,0.0,0.0,01/01/2027,31/12/2027
,Mikumi Safari Lodge 27,,Test,FALSE,0,FALSE,USD,Group Cottages,,2,1,4,1,2,0.0,0.0,0.0,0.0,01/01/2027,31/12/2027
,Mikumi Safari Lodge 27,,Test,FALSE,0,FALSE,USD,Group Cottages,,2,4,11,1,2,37.5,35.0,0.0,0.0,01/01/2027,31/12/2027
,Mikumi Safari Lodge 27,,Test,FALSE,0,FALSE,USD,Group Cottages,,2,12,99,1,2,75.0,35.0,0.0,0.0,01/01/2027,31/12/2027
,Mikumi Safari Lodge 27,,Test,FALSE,0,FALSE,USD,Double Room,,2,1,4,1,2,0.0,0.0,0.0,0.0,01/01/2027,31/12/2027
,Mikumi Safari Lodge 27,,Test,FALSE,0,FALSE,USD,Double Room,,2,4,11,1,2,37.5,75.0,0.0,0.0,01/01/2027,31/12/2027
,Mikumi Safari Lodge 27,,Test,FALSE,0,FALSE,USD,Double Room,,2,12,99,1,2,75.0,75.0,0.0,0.0,01/01/2027,31/12/2027
,Mikumi Safari Lodge 27,,Test,FALSE,0,FALSE,USD,Twin Room,,2,1,4,1,2,0.0,0.0,0.0,0.0,01/01/2027,31/12/2027
,Mikumi Safari Lodge 27,,Test,FALSE,0,FALSE,USD,Twin Room,,2,4,11,1,2,37.5,75.0,0.0,0.0,01/01/2027,31/12/2027
,Mikumi Safari Lodge 27,,Test,FALSE,0,FALSE,USD,Twin Room,,2,12,99,1,2,75.0,75.0,0.0,0.0,01/01/2027,31/12/2027
,Mikumi Safari Lodge 27,,Test,FALSE,0,FALSE,USD,Triple Room,,3,1,4,1,3,0.0,0.0,0.0,0.0,01/01/2027,31/12/2027
,Mikumi Safari Lodge 27,,Test,FALSE,0,FALSE,USD,Triple Room,,3,4,11,1,3,37.5,75.0,0.0,0.0,01/01/2027,31/12/2027
,Mikumi Safari Lodge 27,,Test,FALSE,0,FALSE,USD,Triple Room,,3,12,99,1,3,75.0,75.0,0.0,0.0,01/01/2027,31/12/2027
