location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
Lushoto,Lushoto Executive Lodge,,test,FALSE,0,FALSE,USD,Deluxe Single Room,test,1,0,5,1,1,0.0,0.0,0.0,0.0,01/01/2026,31/12/2026
Lushoto,Lushoto Executive Lodge,,test,FALSE,0,FALSE,USD,Deluxe Single Room,test,1,6,99,1,1,46.0,0.0,0.0,0.0,01/01/2026,31/12/2026
Lushoto,Lushoto Executive Lodge,,test,FALSE,0,FALSE,USD,Deluxe Double Room,test,2,0,5,1,2,0.0,0.0,0.0,0.0,01/01/2026,31/12/2026
Lushoto,Lushoto Executive Lodge,,test,FALSE,0,FALSE,USD,Deluxe Double Room,test,2,6,99,1,2,31.05,31.05,0.0,0.0,01/01/2026,31/12/2026
Lushoto,Lushoto Executive Lodge,,test,FALSE,0,FALSE,USD,Superior Twin Room,test,2,0,5,1,2,0.0,0.0,0.0,0.0,01/01/2026,31/12/2026
Lushoto,Lushoto Executive Lodge,,test,FALSE,0,FALSE,USD,Superior Twin Room,test,2,6,99,1,2,38.5,38.5,0.0,0.0,01/01/2026,31/12/2026
Lushoto,Lushoto Executive Lodge,,test,FALSE,0,FALSE,USD,Luxury Single Room,test,1,0,5,1,1,0.0,0.0,0.0,0.0,01/01/2026,31/12/2026
Lushoto,Lushoto Executive Lodge,,test,FALSE,0,FALSE,USD,Luxury Single Room,test,1,6,99,1,1,51.13,0.0,0.0,0.0,01/01/2026,31/12/2026
Lushoto,Lushoto Executive Lodge,,test,FALSE,0,FALSE,USD,Luxury Double Room,test,2,0,5,1,2,0.0,0.0,0.0,0.0,01/01/2026,31/12/2026
Lushoto,Lushoto Executive Lodge,,test,FALSE,0,FALSE,USD,Luxury Double Room,test,2,6,99,1,2,34.0,34.0,0.0,0.0,01/01/2026,31/12/2026
Lushoto,Lushoto Executive Lodge,,test,FALSE,0,FALSE,USD,Luxury Superior twin Room,test,2,0,5,1,2,0.0,0.0,0.0,0.0,01/01/2026,31/12/2026
Lushoto,Lushoto Executive Lodge,,test,FALSE,0,FALSE,USD,Luxury Superior twin Room,test,2,6,99,1,2,41.5,41.5,0.0,0.0,01/01/2026,31/12/2026
Lushoto,Lushoto Executive Lodge,,test,FALSE,0,FALSE,USD,Executive single room,test,1,0,5,1,1,0.0,0.0,0.0,0.0,01/01/2026,31/12/2026
Lushoto,Lushoto Executive Lodge,,test,FALSE,0,FALSE,USD,Executive single room,test,1,6,99,1,1,57.2,0.0,0.0,0.0,01/01/2026,31/12/2026
Lushoto,Lushoto Executive Lodge,,test,FALSE,0,FALSE,USD,Executive Double room,test,2,0,5,1,2,0.0,0.0,0.0,0.0,01/01/2026,31/12/2026
Lushoto,Lushoto Executive Lodge,,test,FALSE,0,FALSE,USD,Executive Double room,test,2,6,99,1,2,37.0,37.0,0.0,0.0,01/01/2026,31/12/2026
Lushoto,Lushoto Executive Lodge,,test,FALSE,0,FALSE,USD,Executive room with Extra Bed,test,3,0,5,1,3,0.0,0.0,0.0,0.0,01/01/2026,31/12/2026
Lushoto,Lushoto Executive Lodge,,test,FALSE,0,FALSE,USD,Executive room with Extra Bed,test,3,6,99,1,3,30.33,30.33,0.0,0.0,01/01/2026,31/12/2026
