location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
Serengeti,Kumbukumbu Luxury Tented Camp,,test,FALSE,0,FALSE,USD,Single Room,test,1,0,4,1,1,0.0,0.0,0.0,0.0,01/01/2026,28/02/2026
Serengeti,Kumbukumbu Luxury Tented Camp,,test,FALSE,0,FALSE,USD,Single Room,test,1,5,15,1,1,64.0,0.0,0.0,0.0,01/01/2026,28/02/2026
Serengeti,Kumbukumbu Luxury Tented Camp,,test,FALSE,0,FALSE,USD,Single Room,test,1,16,99,1,1,180.0,0.0,0.0,0.0,01/01/2026,28/02/2026
Serengeti,Kumbukumbu Luxury Tented Camp,,test,FALSE,0,FALSE,USD,Single Room,test,1,0,4,1,1,0.0,0.0,0.0,0.0,01/03/2026,31/05/2026
Serengeti,Kumbukumbu Luxury Tented Camp,,test,FALSE,0,FALSE,USD,Single Room,test,1,5,15,1,1,59.0,0.0,0.0,0.0,01/03/2026,31/05/2026
Serengeti,Kumbukumbu Luxury Tented Camp,,test,FALSE,0,FALSE,USD,Single Room,test,1,16,99,1,1,155.0,0.0,0.0,0.0,01/03/2026,31/05/2026
Serengeti,Kumbukumbu Luxury Tented Camp,,test,FALSE,0,FALSE,USD,Single Room,test,1,0,4,1,1,0.0,0.0,0.0,0.0,01/06/2026,30/09/2026
Serengeti,Kumbukumbu Luxury Tented Camp,,test,FALSE,0,FALSE,USD,Single Room,test,1,5,15,1,1,64.0,0.0,0.0,0.0,01/06/2026,30/09/2026
Serengeti,Kumbukumbu Luxury Tented Camp,,test,FALSE,0,FALSE,USD,Single Room,test,1,16,99,1,1,180.0,0.0,0.0,0.0,01/06/2026,30/09/2026
Serengeti,Kumbukumbu Luxury Tented Camp,,test,FALSE,0,FALSE,USD,Single Room,test,1,0,4,1,1,0.0,0.0,0.0,0.0,01/10/2026,30/11/2026
Serengeti,Kumbukumbu Luxury Tented Camp,,test,FALSE,0,FALSE,USD,Single Room,test,1,5,15,1,1,59.0,0.0,0.0,0.0,01/10/2026,30/11/2026
Serengeti,Kumbukumbu Luxury Tented Camp,,test,FALSE,0,FALSE,USD,Single Room,test,1,16,99,1,1,155.0,0.0,0.0,0.0,01/10/2026,30/11/2026
Serengeti,Kumbukumbu Luxury Tented Camp,,test,FALSE,0,FALSE,USD,Single Room,test,1,0,4,1,1,0.0,0.0,0.0,0.0,01/12/2026,31/12/2026
Serengeti,Kumbukumbu Luxury Tented Camp,,test,FALSE,0,FALSE,USD,Single Room,test,1,5,15,1,1,64.0,0.0,0.0,0.0,01/12/2026,31/12/2026
Serengeti,Kumbukumbu Luxury Tented Camp,,test,FALSE,0,FALSE,USD,Single Room,test,1,16,99,1,1,180.0,0.0,0.0,0.0,01/12/2026,31/12/2026
Serengeti,Kumbukumbu Luxury Tented Camp,,test,FALSE,0,FALSE,USD,Double Room,test,2,0,4,1,2,0.0,0.0,0.0,0.0,01/01/2026,28/02/2026
Serengeti,Kumbukumbu Luxury Tented Camp,,test,FALSE,0,FALSE,USD,Double Room,test,2,5,15,1,2,64.0,150.0,0.0,0.0,01/01/2026,28/02/2026
Serengeti,Kumbukumbu Luxury Tented Camp,,test,FALSE,0,FALSE,USD,Double Room,test,2,16,99,1,2,150.0,150.0,0.0,0.0,01/01/2026,28/02/2026
Serengeti,Kumbukumbu Luxury Tented Camp,,test,FALSE,0,FALSE,USD,Double Room,test,2,0,4,1,2,0.0,0.0,0.0,0.0,01/03/2026,31/05/2026
Serengeti,Kumbukumbu Luxury Tented Camp,,test,FALSE,0,FALSE,USD,Double Room,test,2,5,15,1,2,59.0,135.0,0.0,0.0,01/03/2026,31/05/2026
Serengeti,Kumbukumbu Luxury Tented Camp,,test,FALSE,0,FALSE,USD,Double Room,test,2,16,99,1,2,135.0,135.0,0.0,0.0,01/03/2026,31/05/2026
Serengeti,Kumbukumbu Luxury Tented Camp,,test,FALSE,0,FALSE,USD,Double Room,test,2,0,4,1,2,0.0,0.0,0.0,0.0,01/06/2026,30/09/2026
Serengeti,Kumbukumbu Luxury Tented Camp,,test,FALSE,0,FALSE,USD,Double Room,test,2,5,15,1,2,64.0,150.0,0.0,0.0,01/06/2026,30/09/2026
Serengeti,Kumbukumbu Luxury Tented Camp,,test,FALSE,0,FALSE,USD,Double Room,test,2,16,99,1,2,150.0,150.0,0.0,0.0,01/06/2026,30/09/2026
Serengeti,Kumbukumbu Luxury Tented Camp,,test,FALSE,0,FALSE,USD,Double Room,test,2,0,4,1,2,0.0,0.0,0.0,0.0,01/10/2026,30/11/2026
Serengeti,Kumbukumbu Luxury Tented Camp,,test,FALSE,0,FALSE,USD,Double Room,test,2,5,15,1,2,59.0,135.0,0.0,0.0,01/10/2026,30/11/2026
Serengeti,Kumbukumbu Luxury Tented Camp,,test,FALSE,0,FALSE,USD,Double Room,test,2,16,99,1,2,135.0,135.0,0.0,0.0,01/10/2026,30/11/2026
Serengeti,Kumbukumbu Luxury Tented Camp,,test,FALSE,0,FALSE,USD,Double Room,test,2,0,4,1,2,0.0,0.0,0.0,0.0,01/12/2026,31/12/2026
Serengeti,Kumbukumbu Luxury Tented Camp,,test,FALSE,0,FALSE,USD,Double Room,test,2,5,15,1,2,64.0,150.0,0.0,0.0,01/12/2026,31/12/2026
Serengeti,Kumbukumbu Luxury Tented Camp,,test,FALSE,0,FALSE,USD,Double Room,test,2,16,99,1,2,150.0,150.0,0.0,0.0,01/12/2026,31/12/2026
Serengeti,Kumbukumbu Luxury Tented Camp,,test,FALSE,0,FALSE,USD,Triple Room,test,3,0,4,1,3,0.0,0.0,0.0,0.0,01/01/2026,28/02/2026
Serengeti,Kumbukumbu Luxury Tented Camp,,test,FALSE,0,FALSE,USD,Triple Room,test,3,5,15,1,3,64.0,135.0,0.0,0.0,01/01/2026,28/02/2026
Serengeti,Kumbukumbu Luxury Tented Camp,,test,FALSE,0,FALSE,USD,Triple Room,test,3,16,99,1,3,135.0,135.0,0.0,0.0,01/01/2026,28/02/2026
Serengeti,Kumbukumbu Luxury Tented Camp,,test,FALSE,0,FALSE,USD,Triple Room,test,3,0,4,1,3,0.0,0.0,0.0,0.0,01/03/2026,31/05/2026
Serengeti,Kumbukumbu Luxury Tented Camp,,test,FALSE,0,FALSE,USD,Triple Room,test,3,5,15,1,3,59.0,125.0,0.0,0.0,01/03/2026,31/05/2026
Serengeti,Kumbukumbu Luxury Tented Camp,,test,FALSE,0,FALSE,USD,Triple Room,test,3,16,99,1,3,125.0,125.0,0.0,0.0,01/03/2026,31/05/2026
Serengeti,Kumbukumbu Luxury Tented Camp,,test,FALSE,0,FALSE,USD,Triple Room,test,3,0,4,1,3,0.0,0.0,0.0,0.0,01/06/2026,30/09/2026
Serengeti,Kumbukumbu Luxury Tented Camp,,test,FALSE,0,FALSE,USD,Triple Room,test,3,5,15,1,3,64.0,135.0,0.0,0.0,01/06/2026,30/09/2026
Serengeti,Kumbukumbu Luxury Tented Camp,,test,FALSE,0,FALSE,USD,Triple Room,test,3,16,99,1,3,135.0,135.0,0.0,0.0,01/06/2026,30/09/2026
Serengeti,Kumbukumbu Luxury Tented Camp,,test,FALSE,0,FALSE,USD,Triple Room,test,3,0,4,1,3,0.0,0.0,0.0,0.0,01/10/2026,30/11/2026
Serengeti,Kumbukumbu Luxury Tented Camp,,test,FALSE,0,FALSE,USD,Triple Room,test,3,5,15,1,3,59.0,125.0,0.0,0.0,01/10/2026,30/11/2026
Serengeti,Kumbukumbu Luxury Tented Camp,,test,FALSE,0,FALSE,USD,Triple Room,test,3,16,99,1,3,125.0,125.0,0.0,0.0,01/10/2026,30/11/2026
Serengeti,Kumbukumbu Luxury Tented Camp,,test,FALSE,0,FALSE,USD,Triple Room,test,3,0,4,1,3,0.0,0.0,0.0,0.0,01/12/2026,31/12/2026
Serengeti,Kumbukumbu Luxury Tented Camp,,test,FALSE,0,FALSE,USD,Triple Room,test,3,5,15,1,3,64.0,135.0,0.0,0.0,01/12/2026,31/12/2026
Serengeti,Kumbukumbu Luxury Tented Camp,,test,FALSE,0,FALSE,USD,Triple Room,test,3,16,99,1,3,135.0,135.0,0.0,0.0,01/12/2026,31/12/2026
Serengeti,Kumbukumbu Luxury Tented Camp,,test,FALSE,0,FALSE,USD,Deluxe Double Room,test,2,0,4,1,2,0.0,0.0,0.0,0.0,01/01/2026,28/02/2026
