location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
Lake Naivasha,Lake Naivasha Sopa Lodge,,test,FALSE,0,FALSE,USD,Premium Single Room,test,1,0,3,1,1,0.0,0.0,0.0,0.0,02/01/2026,31/03/2026
Lake Naivasha,Lake Naivasha Sopa Lodge,,test,FALSE,0,FALSE,USD,Premium Single Room,test,1,4,12,1,1,84.5,0.0,0.0,0.0,02/01/2026,31/03/2026
Lake Naivasha,Lake Naivasha Sopa Lodge,,test,FALSE,0,FALSE,USD,Premium Single Room,test,1,13,99,1,1,169.0,0.0,0.0,0.0,02/01/2026,31/03/2026
Lake Naivasha,Lake Naivasha Sopa Lodge,,test,FALSE,0,FALSE,USD,Premium Single Room,test,1,0,3,1,1,0.0,0.0,0.0,0.0,01/04/2026,31/05/2026
Lake Naivasha,Lake Naivasha Sopa Lodge,,test,FALSE,0,FALSE,USD,Premium Single Room,test,1,4,12,1,1,59.0,0.0,0.0,0.0,01/04/2026,31/05/2026
Lake Naivasha,Lake Naivasha Sopa Lodge,,test,FALSE,0,FALSE,USD,Premium Single Room,test,1,13,99,1,1,118.0,0.0,0.0,0.0,01/04/2026,31/05/2026
Lake Naivasha,Lake Naivasha Sopa Lodge,,test,FALSE,0,FALSE,USD,Premium Single Room,test,1,0,3,1,1,0.0,0.0,0.0,0.0,01/06/2026,30/06/2026
Lake Naivasha,Lake Naivasha Sopa Lodge,,test,FALSE,0,FALSE,USD,Premium Single Room,test,1,4,12,1,1,84.5,0.0,0.0,0.0,01/06/2026,30/06/2026
Lake Naivasha,Lake Naivasha Sopa Lodge,,test,FALSE,0,FALSE,USD,Premium Single Room,test,1,13,99,1,1,169.0,0.0,0.0,0.0,01/06/2026,30/06/2026
Lake Naivasha,Lake Naivasha Sopa Lodge,,test,FALSE,0,FALSE,USD,Premium Single Room,test,1,0,3,1,1,0.0,0.0,0.0,0.0,01/07/2026,31/10/2026
Lake Naivasha,Lake Naivasha Sopa Lodge,,test,FALSE,0,FALSE,USD,Premium Single Room,test,1,4,12,1,1,96.0,0.0,0.0,0.0,01/07/2026,31/10/2026
Lake Naivasha,Lake Naivasha Sopa Lodge,,test,FALSE,0,FALSE,USD,Premium Single Room,test,1,13,99,1,1,192.0,0.0,0.0,0.0,01/07/2026,31/10/2026
Lake Naivasha,Lake Naivasha Sopa Lodge,,test,FALSE,0,FALSE,USD,Premium Single Room,test,1,0,3,1,1,0.0,0.0,0.0,0.0,01/11/2026,21/12/2026
Lake Naivasha,Lake Naivasha Sopa Lodge,,test,FALSE,0,FALSE,USD,Premium Single Room,test,1,4,12,1,1,84.5,0.0,0.0,0.0,01/11/2026,21/12/2026
Lake Naivasha,Lake Naivasha Sopa Lodge,,test,FALSE,0,FALSE,USD,Premium Single Room,test,1,13,99,1,1,169.0,0.0,0.0,0.0,01/11/2026,21/12/2026
Lake Naivasha,Lake Naivasha Sopa Lodge,,test,FALSE,0,FALSE,USD,Premium Single Room,test,1,0,3,1,1,0.0,0.0,0.0,0.0,23/12/2026,01/01/2027
Lake Naivasha,Lake Naivasha Sopa Lodge,,test,FALSE,0,FALSE,USD,Premium Single Room,test,1,4,12,1,1,96.0,0.0,0.0,0.0,23/12/2026,01/01/2027
Lake Naivasha,Lake Naivasha Sopa Lodge,,test,FALSE,0,FALSE,USD,Premium Single Room,test,1,13,99,1,1,192.0,0.0,0.0,0.0,23/12/2026,01/01/2027
Lake Naivasha,Lake Naivasha Sopa Lodge,,test,FALSE,0,FALSE,USD,Premium Double Room,test,2,0,3,1,2,0.0,0.0,0.0,0.0,02/01/2026,31/03/2026
Lake Naivasha,Lake Naivasha Sopa Lodge,,test,FALSE,0,FALSE,USD,Premium Double Room,test,2,4,12,1,2,65.0,130.0,0.0,0.0,02/01/2026,31/03/2026
Lake Naivasha,Lake Naivasha Sopa Lodge,,test,FALSE,0,FALSE,USD,Premium Double Room,test,2,13,99,1,2,130.0,130.0,0.0,0.0,02/01/2026,31/03/2026
Lake Naivasha,Lake Naivasha Sopa Lodge,,test,FALSE,0,FALSE,USD,Premium Double Room,test,2,0,3,1,2,0.0,0.0,0.0,0.0,01/04/2026,31/05/2026
Lake Naivasha,Lake Naivasha Sopa Lodge,,test,FALSE,0,FALSE,USD,Premium Double Room,test,2,4,12,1,2,45.25,90.5,0.0,0.0,01/04/2026,31/05/2026
Lake Naivasha,Lake Naivasha Sopa Lodge,,test,FALSE,0,FALSE,USD,Premium Double Room,test,2,13,99,1,2,90.5,90.5,0.0,0.0,01/04/2026,31/05/2026
Lake Naivasha,Lake Naivasha Sopa Lodge,,test,FALSE,0,FALSE,USD,Premium Double Room,test,2,0,3,1,2,0.0,0.0,0.0,0.0,01/06/2026,30/06/2026
Lake Naivasha,Lake Naivasha Sopa Lodge,,test,FALSE,0,FALSE,USD,Premium Double Room,test,2,4,12,1,2,65.0,130.0,0.0,0.0,01/06/2026,30/06/2026
Lake Naivasha,Lake Naivasha Sopa Lodge,,test,FALSE,0,FALSE,USD,Premium Double Room,test,2,13,99,1,2,130.0,130.0,0.0,0.0,01/06/2026,30/06/2026
Lake Naivasha,Lake Naivasha Sopa Lodge,,test,FALSE,0,FALSE,USD,Premium Double Room,test,2,0,3,1,2,0.0,0.0,0.0,0.0,01/07/2026,31/10/2026
Lake Naivasha,Lake Naivasha Sopa Lodge,,test,FALSE,0,FALSE,USD,Premium Double Room,test,2,4,12,1,2,74.0,148.0,0.0,0.0,01/07/2026,31/10/2026
Lake Naivasha,Lake Naivasha Sopa Lodge,,test,FALSE,0,FALSE,USD,Premium Double Room,test,2,13,99,1,2,148.0,148.0,0.0,0.0,01/07/2026,31/10/2026
Lake Naivasha,Lake Naivasha Sopa Lodge,,test,FALSE,0,FALSE,USD,Premium Double Room,test,2,0,3,1,2,0.0,0.0,0.0,0.0,01/11/2026,21/12/2026
Lake Naivasha,Lake Naivasha Sopa Lodge,,test,FALSE,0,FALSE,USD,Premium Double Room,test,2,4,12,1,2,65.0,130.0,0.0,0.0,01/11/2026,21/12/2026
Lake Naivasha,Lake Naivasha Sopa Lodge,,test,FALSE,0,FALSE,USD,Premium Double Room,test,2,13,99,1,2,130.0,130.0,0.0,0.0,01/11/2026,21/12/2026
Lake Naivasha,Lake Naivasha Sopa Lodge,,test,FALSE,0,FALSE,USD,Premium Double Room,test,2,0,3,1,2,0.0,0.0,0.0,0.0,23/12/2026,01/01/2027
Lake Naivasha,Lake Naivasha Sopa Lodge,,test,FALSE,0,FALSE,USD,Premium Double Room,test,2,4,12,1,2,74.0,148.0,0.0,0.0,23/12/2026,01/01/2027
Lake Naivasha,Lake Naivasha Sopa Lodge,,test,FALSE,0,FALSE,USD,Premium Double Room,test,2,13,99,1,2,148.0,148.0,0.0,0.0,23/12/2026,01/01/2027
Lake Naivasha,Lake Naivasha Sopa Lodge,,test,FALSE,0,FALSE,USD,Premium Twin Room,test,2,0,3,1,2,0.0,0.0,0.0,0.0,02/01/2026,31/03/2026
Lake Naivasha,Lake Naivasha Sopa Lodge,,test,FALSE,0,FALSE,USD,Premium Twin Room,test,2,4,12,1,2,65.0,130.0,0.0,0.0,02/01/2026,31/03/2026
Lake Naivasha,Lake Naivasha Sopa Lodge,,test,FALSE,0,FALSE,USD,Premium Twin Room,test,2,13,99,1,2,130.0,130.0,0.0,0.0,02/01/2026,31/03/2026
Lake Naivasha,Lake Naivasha Sopa Lodge,,test,FALSE,0,FALSE,USD,Premium Twin Room,test,2,0,3,1,2,0.0,0.0,0.0,0.0,01/04/2026,31/05/2026
Lake Naivasha,Lake Naivasha Sopa Lodge,,test,FALSE,0,FALSE,USD,Premium Twin Room,test,2,4,12,1,2,45.25,90.5,0.0,0.0,01/04/2026,31/05/2026
Lake Naivasha,Lake Naivasha Sopa Lodge,,test,FALSE,0,FALSE,USD,Premium Twin Room,test,2,13,99,1,2,90.5,90.5,0.0,0.0,01/04/2026,31/05/2026
Lake Naivasha,Lake Naivasha Sopa Lodge,,test,FALSE,0,FALSE,USD,Premium Twin Room,test,2,0,3,1,2,0.0,0.0,0.0,0.0,01/06/2026,30/06/2026
Lake Naivasha,Lake Naivasha Sopa Lodge,,test,FALSE,0,FALSE,USD,Premium Twin Room,test,2,4,12,1,2,65.0,130.0,0.0,0.0,01/06/2026,30/06/2026
Lake Naivasha,Lake Naivasha Sopa Lodge,,test,FALSE,0,FALSE,USD,Premium Twin Room,test,2,13,99,1,2,130.0,130.0,0.0,0.0,01/06/2026,30/06/2026
Lake Naivasha,Lake Naivasha Sopa Lodge,,test,FALSE,0,FALSE,USD,Premium Twin Room,test,2,0,3,1,2,0.0,0.0,0.0,0.0,01/07/2026,31/10/2026
Lake Naivasha,Lake Naivasha Sopa Lodge,,test,FALSE,0,FALSE,USD,Premium Twin Room,test,2,4,12,1,2,74.0,148.0,0.0,0.0,01/07/2026,31/10/2026
Lake Naivasha,Lake Naivasha Sopa Lodge,,test,FALSE,0,FALSE,USD,Premium Twin Room,test,2,13,99,1,2,148.0,148.0,0.0,0.0,01/07/2026,31/10/2026
Lake Naivasha,Lake Naivasha Sopa Lodge,,test,FALSE,0,FALSE,USD,Premium Twin Room,test,2,0,3,1,2,0.0,0.0,0.0,0.0,01/11/2026,21/12/2026
Lake Naivasha,Lake Naivasha Sopa Lodge,,test,FALSE,0,FALSE,USD,Premium Twin Room,test,2,4,12,1,2,65.0,130.0,0.0,0.0,01/11/2026,21/12/2026
Lake Naivasha,Lake Naivasha Sopa Lodge,,test,FALSE,0,FALSE,USD,Premium Twin Room,test,2,13,99,1,2,130.0,130.0,0.0,0.0,01/11/2026,21/12/2026
Lake Naivasha,Lake Naivasha Sopa Lodge,,test,FALSE,0,FALSE,USD,Premium Twin Room,test,2,0,3,1,2,0.0,0.0,0.0,0.0,23/12/2026,01/01/2027
Lake Naivasha,Lake Naivasha Sopa Lodge,,test,FALSE,0,FALSE,USD,Premium Twin Room,test,2,4,12,1,2,74.0,148.0,0.0,0.0,23/12/2026,01/01/2027
