location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
Lake Nakuru,Lake Nakuru Sopa Lodge,,test,FALSE,0,FALSE,USD,Single Room,test,1,0,3,1,1,0.0,0.0,0.0,0.0,02/01/2026,31/03/2026
Lake Nakuru,Lake Nakuru Sopa Lodge,,test,FALSE,0,FALSE,USD,Single Room,test,1,4,12,1,1,81.0,0.0,0.0,0.0,02/01/2026,31/03/2026
Lake Nakuru,Lake Nakuru Sopa Lodge,,test,FALSE,0,FALSE,USD,Single Room,test,1,13,99,1,1,162.0,0.0,0.0,0.0,02/01/2026,31/03/2026
Lake Nakuru,Lake Nakuru Sopa Lodge,,test,FALSE,0,FALSE,USD,Single Room,test,1,0,3,1,1,0.0,0.0,0.0,0.0,01/04/2026,31/05/2026
Lake Nakuru,Lake Nakuru Sopa Lodge,,test,FALSE,0,FALSE,USD,Single Room,test,1,4,12,1,1,58.5,0.0,0.0,0.0,01/04/2026,31/05/2026
Lake Nakuru,Lake Nakuru Sopa Lodge,,test,FALSE,0,FALSE,USD,Single Room,test,1,13,99,1,1,117.0,0.0,0.0,0.0,01/04/2026,31/05/2026
Lake Nakuru,Lake Nakuru Sopa Lodge,,test,FALSE,0,FALSE,USD,Single Room,test,1,0,3,1,1,0.0,0.0,0.0,0.0,01/06/2026,30/06/2026
Lake Nakuru,Lake Nakuru Sopa Lodge,,test,FALSE,0,FALSE,USD,Single Room,test,1,4,12,1,1,81.0,0.0,0.0,0.0,01/06/2026,30/06/2026
Lake Nakuru,Lake Nakuru Sopa Lodge,,test,FALSE,0,FALSE,USD,Single Room,test,1,13,99,1,1,162.0,0.0,0.0,0.0,01/06/2026,30/06/2026
Lake Nakuru,Lake Nakuru Sopa Lodge,,test,FALSE,0,FALSE,USD,Single Room,test,1,0,3,1,1,0.0,0.0,0.0,0.0,01/07/2026,31/10/2026
Lake Nakuru,Lake Nakuru Sopa Lodge,,test,FALSE,0,FALSE,USD,Single Room,test,1,4,12,1,1,123.5,0.0,0.0,0.0,01/07/2026,31/10/2026
Lake Nakuru,Lake Nakuru Sopa Lodge,,test,FALSE,0,FALSE,USD,Single Room,test,1,13,99,1,1,247.0,0.0,0.0,0.0,01/07/2026,31/10/2026
Lake Nakuru,Lake Nakuru Sopa Lodge,,test,FALSE,0,FALSE,USD,Single Room,test,1,0,3,1,1,0.0,0.0,0.0,0.0,01/11/2026,21/12/2026
Lake Nakuru,Lake Nakuru Sopa Lodge,,test,FALSE,0,FALSE,USD,Single Room,test,1,4,12,1,1,81.0,0.0,0.0,0.0,01/11/2026,21/12/2026
