location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
Ambosoli,Masai Mara Sopa Lodge 27,,test,FALSE,0,FALSE,USD,Single Room,test,1,0,3,1,1,0.0,0.0,0.0,0.0,02/01/2027,31/03/2027
Ambosoli,Masai Mara Sopa Lodge 27,,test,FALSE,0,FALSE,USD,Single Room,test,1,4,12,1,1,113.5,0.0,0.0,0.0,02/01/2027,31/03/2027
Ambosoli,Masai Mara Sopa Lodge 27,,test,FALSE,0,FALSE,USD,Single Room,test,1,13,99,1,1,227.0,0.0,0.0,0.0,02/01/2027,31/03/2027
Ambosoli,Masai Mara Sopa Lodge 27,,test,FALSE,0,FALSE,USD,Single Room,test,1,0,3,1,1,0.0,0.0,0.0,0.0,01/04/2027,31/05/2027
Ambosoli,Masai Mara Sopa Lodge 27,,test,FALSE,0,FALSE,USD,Single Room,test,1,4,12,1,1,79.0,0.0,0.0,0.0,01/04/2027,31/05/2027
Ambosoli,Masai Mara Sopa Lodge 27,,test,FALSE,0,FALSE,USD,Single Room,test,1,13,99,1,1,158.0,0.0,0.0,0.0,01/04/2027,31/05/2027
Ambosoli,Masai Mara Sopa Lodge 27,,test,FALSE,0,FALSE,USD,Single Room,test,1,0,3,1,1,0.0,0.0,0.0,0.0,01/06/2027,30/06/2027
Ambosoli,Masai Mara Sopa Lodge 27,,test,FALSE,0,FALSE,USD,Single Room,test,1,4,12,1,1,113.5,0.0,0.0,0.0,01/06/2027,30/06/2027
Ambosoli,Masai Mara Sopa Lodge 27,,test,FALSE,0,FALSE,USD,Single Room,test,1,13,99,1,1,227.0,0.0,0.0,0.0,01/06/2027,30/06/2027
Ambosoli,Masai Mara Sopa Lodge 27,,test,FALSE,0,FALSE,USD,Single Room,test,1,0,3,1,1,0.0,0.0,0.0,0.0,01/07/2027,31/10/2027
Ambosoli,Masai Mara Sopa Lodge 27,,test,FALSE,0,FALSE,USD,Single Room,test,1,4,12,1,1,184.5,0.0,0.0,0.0,01/07/2027,31/10/2027
Ambosoli,Masai Mara Sopa Lodge 27,,test,FALSE,0,FALSE,USD,Single Room,test,1,13,99,1,1,369.0,0.0,0.0,0.0,01/07/2027,31/10/2027
Ambosoli,Masai Mara Sopa Lodge 27,,test,FALSE,0,FALSE,USD,Single Room,test,1,0,3,1,1,0.0,0.0,0.0,0.0,01/11/2027,21/12/2027
Ambosoli,Masai Mara Sopa Lodge 27,,test,FALSE,0,FALSE,USD,Single Room,test,1,4,12,1,1,113.5,0.0,0.0,0.0,01/11/2027,21/12/2027
Ambosoli,Masai Mara Sopa Lodge 27,,test,FALSE,0,FALSE,USD,Single Room,test,1,13,99,1,1,227.0,0.0,0.0,0.0,01/11/2027,21/12/2027
Ambosoli,Masai Mara Sopa Lodge 27,,test,FALSE,0,FALSE,USD,Single Room,test,1,0,3,1,1,0.0,0.0,0.0,0.0,23/12/2027,01/01/2028
Ambosoli,Masai Mara Sopa Lodge 27,,test,FALSE,0,FALSE,USD,Single Room,test,1,4,12,1,1,184.5,0.0,0.0,0.0,23/12/2027,01/01/2028
Ambosoli,Masai Mara Sopa Lodge 27,,test,FALSE,0,FALSE,USD,Single Room,test,1,13,99,1,1,369.0,0.0,0.0,0.0,23/12/2027,01/01/2028
Ambosoli,Masai Mara Sopa Lodge 27,,test,FALSE,0,FALSE,USD,Double Room,test,2,0,3,1,2,0.0,0.0,0.0,0.0,02/01/2027,31/03/2027
Ambosoli,Masai Mara Sopa Lodge 27,,test,FALSE,0,FALSE,USD,Double Room,test,2,4,12,1,2,87.25,174.5,0.0,0.0,02/01/2027,31/03/2027
Ambosoli,Masai Mara Sopa Lodge 27,,test,FALSE,0,FALSE,USD,Double Room,test,2,13,99,1,2,174.5,174.5,0.0,0.0,02/01/2027,31/03/2027
Ambosoli,Masai Mara Sopa Lodge 27,,test,FALSE,0,FALSE,USD,Double Room,test,2,0,3,1,2,0.0,0.0,0.0,0.0,01/04/2027,31/05/2027
Ambosoli,Masai Mara Sopa Lodge 27,,test,FALSE,0,FALSE,USD,Double Room,test,2,4,12,1,2,61.0,122.0,0.0,0.0,01/04/2027,31/05/2027
