location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
Lake Naivasha,Lake Naivasha Sopa Lodge 27,,test,FALSE,0,FALSE,USD,Single Room,test,1,0,3,1,1,0.0,0.0,0.0,0.0,02/01/2027,31/03/2027
Lake Naivasha,Lake Naivasha Sopa Lodge 27,,test,FALSE,0,FALSE,USD,Single Room,test,1,4,12,1,1,157.0,0.0,0.0,0.0,02/01/2027,31/03/2027
Lake Naivasha,Lake Naivasha Sopa Lodge 27,,test,FALSE,0,FALSE,USD,Single Room,test,1,13,99,1,1,314.0,0.0,0.0,0.0,02/01/2027,31/03/2027
Lake Naivasha,Lake Naivasha Sopa Lodge 27,,test,FALSE,0,FALSE,USD,Single Room,test,1,0,3,1,1,0.0,0.0,0.0,0.0,01/04/2027,31/05/2027
Lake Naivasha,Lake Naivasha Sopa Lodge 27,,test,FALSE,0,FALSE,USD,Single Room,test,1,4,12,1,1,135.5,0.0,0.0,0.0,01/04/2027,31/05/2027
Lake Naivasha,Lake Naivasha Sopa Lodge 27,,test,FALSE,0,FALSE,USD,Single Room,test,1,13,99,1,1,271.0,0.0,0.0,0.0,01/04/2027,31/05/2027
Lake Naivasha,Lake Naivasha Sopa Lodge 27,,test,FALSE,0,FALSE,USD,Single Room,test,1,0,3,1,1,0.0,0.0,0.0,0.0,01/06/2027,30/06/2027
Lake Naivasha,Lake Naivasha Sopa Lodge 27,,test,FALSE,0,FALSE,USD,Single Room,test,1,4,12,1,1,157.0,0.0,0.0,0.0,01/06/2027,30/06/2027
Lake Naivasha,Lake Naivasha Sopa Lodge 27,,test,FALSE,0,FALSE,USD,Single Room,test,1,13,99,1,1,314.0,0.0,0.0,0.0,01/06/2027,30/06/2027
Lake Naivasha,Lake Naivasha Sopa Lodge 27,,test,FALSE,0,FALSE,USD,Single Room,test,1,0,3,1,1,0.0,0.0,0.0,0.0,01/07/2027,31/10/2027
Lake Naivasha,Lake Naivasha Sopa Lodge 27,,test,FALSE,0,FALSE,USD,Single Room,test,1,4,12,1,1,216.0,0.0,0.0,0.0,01/07/2027,31/10/2027
Lake Naivasha,Lake Naivasha Sopa Lodge 27,,test,FALSE,0,FALSE,USD,Single Room,test,1,13,99,1,1,432.0,0.0,0.0,0.0,01/07/2027,31/10/2027
Lake Naivasha,Lake Naivasha Sopa Lodge 27,,test,FALSE,0,FALSE,USD,Single Room,test,1,0,3,1,1,0.0,0.0,0.0,0.0,01/11/2027,21/12/2027
Lake Naivasha,Lake Naivasha Sopa Lodge 27,,test,FALSE,0,FALSE,USD,Single Room,test,1,4,12,1,1,157.0,0.0,0.0,0.0,01/11/2027,21/12/2027
Lake Naivasha,Lake Naivasha Sopa Lodge 27,,test,FALSE,0,FALSE,USD,Single Room,test,1,13,99,1,1,314.0,0.0,0.0,0.0,01/11/2027,21/12/2027
Lake Naivasha,Lake Naivasha Sopa Lodge 27,,test,FALSE,0,FALSE,USD,Single Room,test,1,0,3,1,1,0.0,0.0,0.0,0.0,23/12/2027,01/01/2028
Lake Naivasha,Lake Naivasha Sopa Lodge 27,,test,FALSE,0,FALSE,USD,Single Room,test,1,4,12,1,1,216.0,0.0,0.0,0.0,23/12/2027,01/01/2028
Lake Naivasha,Lake Naivasha Sopa Lodge 27,,test,FALSE,0,FALSE,USD,Single Room,test,1,13,99,1,1,432.0,0.0,0.0,0.0,23/12/2027,01/01/2028
Lake Naivasha,Lake Naivasha Sopa Lodge 27,,test,FALSE,0,FALSE,USD,Double Room,test,2,0,3,1,2,0.0,0.0,0.0,0.0,02/01/2027,31/03/2027
Lake Naivasha,Lake Naivasha Sopa Lodge 27,,test,FALSE,0,FALSE,USD,Double Room,test,2,4,12,1,2,120.75,241.5,0.0,0.0,02/01/2027,31/03/2027
Lake Naivasha,Lake Naivasha Sopa Lodge 27,,test,FALSE,0,FALSE,USD,Double Room,test,2,13,99,1,2,241.5,241.5,0.0,0.0,02/01/2027,31/03/2027
Lake Naivasha,Lake Naivasha Sopa Lodge 27,,test,FALSE,0,FALSE,USD,Double Room,test,2,0,3,1,2,0.0,0.0,0.0,0.0,01/04/2027,31/05/2027
