location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
Ambosoli,Zebra Plains Mara Camp,,test,FALSE,0,FALSE,USD,Hillside Double Room,test,2,0,3,1,2,0.0,0.0,0.0,0.0,03/01/2026,30/06/2026
Ambosoli,Zebra Plains Mara Camp,,test,FALSE,0,FALSE,USD,Hillside Double Room,test,2,4,11,1,2,105.0,150.0,0.0,0.0,03/01/2026,30/06/2026
Ambosoli,Zebra Plains Mara Camp,,test,FALSE,0,FALSE,USD,Hillside Double Room,test,2,12,99,1,2,150.0,150.0,0.0,0.0,03/01/2026,30/06/2026
Ambosoli,Zebra Plains Mara Camp,,test,FALSE,0,FALSE,USD,Hillside Double Room,test,2,0,3,1,2,0.0,0.0,0.0,0.0,01/07/2026,14/07/2026
Ambosoli,Zebra Plains Mara Camp,,test,FALSE,0,FALSE,USD,Hillside Double Room,test,2,4,11,1,2,175.0,245.0,0.0,0.0,01/07/2026,14/07/2026
Ambosoli,Zebra Plains Mara Camp,,test,FALSE,0,FALSE,USD,Hillside Double Room,test,2,12,99,1,2,245.0,245.0,0.0,0.0,01/07/2026,14/07/2026
Ambosoli,Zebra Plains Mara Camp,,test,FALSE,0,FALSE,USD,Hillside Double Room,test,2,0,3,1,2,0.0,0.0,0.0,0.0,15/07/2026,15/09/2026
Ambosoli,Zebra Plains Mara Camp,,test,FALSE,0,FALSE,USD,Hillside Double Room,test,2,4,11,1,2,220.0,305.0,0.0,0.0,15/07/2026,15/09/2026
Ambosoli,Zebra Plains Mara Camp,,test,FALSE,0,FALSE,USD,Hillside Double Room,test,2,12,99,1,2,305.0,305.0,0.0,0.0,15/07/2026,15/09/2026
Ambosoli,Zebra Plains Mara Camp,,test,FALSE,0,FALSE,USD,Hillside Double Room,test,2,0,3,1,2,0.0,0.0,0.0,0.0,01/10/2026,22/12/2026
Ambosoli,Zebra Plains Mara Camp,,test,FALSE,0,FALSE,USD,Hillside Double Room,test,2,4,11,1,2,105.0,150.0,0.0,0.0,01/10/2026,22/12/2026
Ambosoli,Zebra Plains Mara Camp,,test,FALSE,0,FALSE,USD,Hillside Double Room,test,2,12,99,1,2,150.0,150.0,0.0,0.0,01/10/2026,22/12/2026
Ambosoli,Zebra Plains Mara Camp,,test,FALSE,0,FALSE,USD,Hillside Double Room,test,2,0,3,1,2,0.0,0.0,0.0,0.0,23/12/2026,02/01/2027
Ambosoli,Zebra Plains Mara Camp,,test,FALSE,0,FALSE,USD,Hillside Double Room,test,2,4,11,1,2,175.0,245.0,0.0,0.0,23/12/2026,02/01/2027
Ambosoli,Zebra Plains Mara Camp,,test,FALSE,0,FALSE,USD,Hillside Double Room,test,2,12,99,1,2,245.0,245.0,0.0,0.0,23/12/2026,02/01/2027
Ambosoli,Zebra Plains Mara Camp,,test,FALSE,0,FALSE,USD,Hillside Twin Room,test,2,0,3,1,2,0.0,0.0,0.0,0.0,03/01/2026,30/06/2026
Ambosoli,Zebra Plains Mara Camp,,test,FALSE,0,FALSE,USD,Hillside Twin Room,test,2,4,11,1,2,105.0,150.0,0.0,0.0,03/01/2026,30/06/2026
Ambosoli,Zebra Plains Mara Camp,,test,FALSE,0,FALSE,USD,Hillside Twin Room,test,2,12,99,1,2,150.0,150.0,0.0,0.0,03/01/2026,30/06/2026
Ambosoli,Zebra Plains Mara Camp,,test,FALSE,0,FALSE,USD,Hillside Twin Room,test,2,0,3,1,2,0.0,0.0,0.0,0.0,01/07/2026,14/07/2026
Ambosoli,Zebra Plains Mara Camp,,test,FALSE,0,FALSE,USD,Hillside Twin Room,test,2,4,11,1,2,175.0,245.0,0.0,0.0,01/07/2026,14/07/2026
Ambosoli,Zebra Plains Mara Camp,,test,FALSE,0,FALSE,USD,Hillside Twin Room,test,2,12,99,1,2,245.0,245.0,0.0,0.0,01/07/2026,14/07/2026
Ambosoli,Zebra Plains Mara Camp,,test,FALSE,0,FALSE,USD,Hillside Twin Room,test,2,0,3,1,2,0.0,0.0,0.0,0.0,15/07/2026,15/09/2026
Ambosoli,Zebra Plains Mara Camp,,test,FALSE,0,FALSE,USD,Hillside Twin Room,test,2,4,11,1,2,220.0,305.0,0.0,0.0,15/07/2026,15/09/2026
