location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
Nairobi,Giraffe Minor 27,,test,FALSE,0,FALSE,USD,Superior Single Room,test,1,0,2,1,1,0.0,0.0,0.0,0.0,01/01/2027,31/12/2027
Nairobi,Giraffe Minor 27,,test,FALSE,0,FALSE,USD,Superior Single Room,test,1,3,11,1,1,964.0,0.0,0.0,0.0,01/01/2027,31/12/2027
Nairobi,Giraffe Minor 27,,test,FALSE,0,FALSE,USD,Superior Single Room,test,1,12,99,1,1,2196.0,0.0,0.0,0.0,01/01/2027,31/12/2027
Nairobi,Giraffe Minor 27,,test,FALSE,0,FALSE,USD,Superior Double Room,test,2,0,2,1,2,0.0,0.0,0.0,0.0,01/01/2027,31/12/2027
Nairobi,Giraffe Minor 27,,test,FALSE,0,FALSE,USD,Superior Double Room,test,2,3,11,1,2,964.0,1399.0,0.0,0.0,01/01/2027,31/12/2027
Nairobi,Giraffe Minor 27,,test,FALSE,0,FALSE,USD,Superior Double Room,test,2,12,99,1,2,1399.0,1399.0,0.0,0.0,01/01/2027,31/12/2027
Nairobi,Giraffe Minor 27,,test,FALSE,0,FALSE,USD,Superior Family Room,test,4,0,2,1,4,0.0,0.0,0.0,0.0,01/01/2027,31/12/2027
Nairobi,Giraffe Minor 27,,test,FALSE,0,FALSE,USD,Superior Family Room,test,4,3,11,1,4,964.0,1195.75,0.0,0.0,01/01/2027,31/12/2027
Nairobi,Giraffe Minor 27,,test,FALSE,0,FALSE,USD,Superior Family Room,test,4,12,99,1,4,1195.75,1195.75,0.0,0.0,01/01/2027,31/12/2027
Nairobi,Giraffe Minor 27,,test,FALSE,0,FALSE,USD,Superior Twin  Room,test,2,0,2,1,2,0.0,0.0,0.0,0.0,01/01/2027,31/12/2027
Nairobi,Giraffe Minor 27,,test,FALSE,0,FALSE,USD,Superior Twin  Room,test,2,3,11,1,2,964.0,1399.0,0.0,0.0,01/01/2027,31/12/2027
Nairobi,Giraffe Minor 27,,test,FALSE,0,FALSE,USD,Superior Twin  Room,test,2,12,99,1,2,1399.0,1399.0,0.0,0.0,01/01/2027,31/12/2027
Nairobi,Giraffe Minor 27,,test,FALSE,0,FALSE,USD,Superior Triple   Room,test,3,0,2,1,3,0.0,0.0,0.0,0.0,01/01/2027,31/12/2027
Nairobi,Giraffe Minor 27,,test,FALSE,0,FALSE,USD,Superior Triple   Room,test,3,3,11,1,3,964.0,1399.0,0.0,0.0,01/01/2027,31/12/2027
Nairobi,Giraffe Minor 27,,test,FALSE,0,FALSE,USD,Superior Triple   Room,test,3,12,99,1,3,1399.0,1399.0,0.0,0.0,01/01/2027,31/12/2027
