location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
Nairobi,Tamarind Tree Hotel,,test,FALSE,0,FALSE,USD,Standard Single Room,test,1,0,4,1,1,0.0,0.0,0.0,0.0,01/01/2026,31/12/2026
Nairobi,Tamarind Tree Hotel,,test,FALSE,0,FALSE,USD,Standard Single Room,test,1,5,12,1,1,127.5,0.0,0.0,0.0,01/01/2026,31/12/2026
Nairobi,Tamarind Tree Hotel,,test,FALSE,0,FALSE,USD,Standard Single Room,test,1,13,99,1,1,170.0,0.0,0.0,0.0,01/01/2026,31/12/2026
Nairobi,Tamarind Tree Hotel,,test,FALSE,0,FALSE,USD,Standard Double Room,test,2,0,4,1,2,0.0,0.0,0.0,0.0,01/01/2026,31/12/2026
Nairobi,Tamarind Tree Hotel,,test,FALSE,0,FALSE,USD,Standard Double Room,test,2,5,12,1,2,78.75,105.0,0.0,0.0,01/01/2026,31/12/2026
Nairobi,Tamarind Tree Hotel,,test,FALSE,0,FALSE,USD,Standard Double Room,test,2,13,99,1,2,105.0,105.0,0.0,0.0,01/01/2026,31/12/2026
Nairobi,Tamarind Tree Hotel,,test,FALSE,0,FALSE,USD,Junior Single Room,test,1,0,4,1,1,0.0,0.0,0.0,0.0,01/01/2026,31/12/2026
Nairobi,Tamarind Tree Hotel,,test,FALSE,0,FALSE,USD,Junior Single Room,test,1,5,12,1,1,262.5,0.0,0.0,0.0,01/01/2026,31/12/2026
Nairobi,Tamarind Tree Hotel,,test,FALSE,0,FALSE,USD,Junior Single Room,test,1,13,99,1,1,350.0,0.0,0.0,0.0,01/01/2026,31/12/2026
Nairobi,Tamarind Tree Hotel,,test,FALSE,0,FALSE,USD,Junior Double Room,test,2,0,4,1,2,0.0,0.0,0.0,0.0,01/01/2026,31/12/2026
Nairobi,Tamarind Tree Hotel,,test,FALSE,0,FALSE,USD,Junior Double Room,test,2,5,12,1,2,146.25,195.0,0.0,0.0,01/01/2026,31/12/2026
Nairobi,Tamarind Tree Hotel,,test,FALSE,0,FALSE,USD,Junior Double Room,test,2,13,99,1,2,195.0,195.0,0.0,0.0,01/01/2026,31/12/2026
Nairobi,Tamarind Tree Hotel,,test,FALSE,0,FALSE,USD,Executive Single Suite,test,1,0,4,1,1,0.0,0.0,0.0,0.0,01/01/2026,31/12/2026
Nairobi,Tamarind Tree Hotel,,test,FALSE,0,FALSE,USD,Executive Single Suite,test,1,5,12,1,1,300.0,0.0,0.0,0.0,01/01/2026,31/12/2026
Nairobi,Tamarind Tree Hotel,,test,FALSE,0,FALSE,USD,Executive Single Suite,test,1,13,99,1,1,400.0,0.0,0.0,0.0,01/01/2026,31/12/2026
Nairobi,Tamarind Tree Hotel,,test,FALSE,0,FALSE,USD,Executive  Double Suite,test,2,0,4,1,2,0.0,0.0,0.0,0.0,01/01/2026,31/12/2026
Nairobi,Tamarind Tree Hotel,,test,FALSE,0,FALSE,USD,Executive  Double Suite,test,2,5,12,1,2,165.0,220.0,0.0,0.0,01/01/2026,31/12/2026
Nairobi,Tamarind Tree Hotel,,test,FALSE,0,FALSE,USD,Executive  Double Suite,test,2,13,99,1,2,220.0,220.0,0.0,0.0,01/01/2026,31/12/2026
Nairobi,Tamarind Tree Hotel,,test,FALSE,0,FALSE,USD,Superior Single Room,test,1,0,4,1,1,0.0,0.0,0.0,0.0,01/01/2026,31/12/2026
Nairobi,Tamarind Tree Hotel,,test,FALSE,0,FALSE,USD,Superior Single Room,test,1,5,12,1,1,375.0,0.0,0.0,0.0,01/01/2026,31/12/2026
Nairobi,Tamarind Tree Hotel,,test,FALSE,0,FALSE,USD,Superior Single Room,test,1,13,99,1,1,500.0,0.0,0.0,0.0,01/01/2026,31/12/2026
Nairobi,Tamarind Tree Hotel,,test,FALSE,0,FALSE,USD,Superior Double Room,test,2,0,4,1,2,0.0,0.0,0.0,0.0,01/01/2026,31/12/2026
Nairobi,Tamarind Tree Hotel,,test,FALSE,0,FALSE,USD,Superior Double Room,test,2,5,12,1,2,187.5,250.0,0.0,0.0,01/01/2026,31/12/2026
Nairobi,Tamarind Tree Hotel,,test,FALSE,0,FALSE,USD,Superior Double Room,test,2,13,99,1,2,250.0,250.0,0.0,0.0,01/01/2026,31/12/2026
Nairobi,Tamarind Tree Hotel,,test,FALSE,0,FALSE,USD,Family Room,test,4,0,4,1,4,0.0,0.0,0.0,0.0,01/01/2026,31/12/2026
Nairobi,Tamarind Tree Hotel,,test,FALSE,0,FALSE,USD,Family Room,test,4,5,12,1,4,112.5,150.0,0.0,0.0,01/01/2026,31/12/2026
Nairobi,Tamarind Tree Hotel,,test,FALSE,0,FALSE,USD,Family Room,test,4,13,99,1,4,150.0,150.0,0.0,0.0,01/01/2026,31/12/2026
