location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
Nairobi,Tamarind Tree Hotel 27,,test,FALSE,0,FALSE,USD,Standard Single Room,test,1,0,4,1,1,0.0,0.0,0.0,0.0,01/01/2027,31/12/2027
Nairobi,Tamarind Tree Hotel 27,,test,FALSE,0,FALSE,USD,Standard Single Room,test,1,5,12,1,1,135.0,0.0,0.0,0.0,01/01/2027,31/12/2027
Nairobi,Tamarind Tree Hotel 27,,test,FALSE,0,FALSE,USD,Standard Single Room,test,1,13,99,1,1,180.0,0.0,0.0,0.0,01/01/2027,31/12/2027
Nairobi,Tamarind Tree Hotel 27,,test,FALSE,0,FALSE,USD,Standard Double Room,test,2,0,4,1,2,0.0,0.0,0.0,0.0,01/01/2027,31/12/2027
Nairobi,Tamarind Tree Hotel 27,,test,FALSE,0,FALSE,USD,Standard Double Room,test,2,5,12,1,2,82.5,110.0,0.0,0.0,01/01/2027,31/12/2027
Nairobi,Tamarind Tree Hotel 27,,test,FALSE,0,FALSE,USD,Standard Double Room,test,2,13,99,1,2,110.0,110.0,0.0,0.0,01/01/2027,31/12/2027
Nairobi,Tamarind Tree Hotel 27,,test,FALSE,0,FALSE,USD,Junior Single Room,test,1,0,4,1,1,0.0,0.0,0.0,0.0,01/01/2027,31/12/2027
Nairobi,Tamarind Tree Hotel 27,,test,FALSE,0,FALSE,USD,Junior Single Room,test,1,5,12,1,1,262.5,0.0,0.0,0.0,01/01/2027,31/12/2027
Nairobi,Tamarind Tree Hotel 27,,test,FALSE,0,FALSE,USD,Junior Single Room,test,1,13,99,1,1,350.0,0.0,0.0,0.0,01/01/2027,31/12/2027
Nairobi,Tamarind Tree Hotel 27,,test,FALSE,0,FALSE,USD,Junior Double Room,test,2,0,4,1,2,0.0,0.0,0.0,0.0,01/01/2027,31/12/2027
Nairobi,Tamarind Tree Hotel 27,,test,FALSE,0,FALSE,USD,Junior Double Room,test,2,5,12,1,2,150.0,200.0,0.0,0.0,01/01/2027,31/12/2027
Nairobi,Tamarind Tree Hotel 27,,test,FALSE,0,FALSE,USD,Junior Double Room,test,2,13,99,1,2,200.0,200.0,0.0,0.0,01/01/2027,31/12/2027
Nairobi,Tamarind Tree Hotel 27,,test,FALSE,0,FALSE,USD,Executive Single Suite,test,1,0,4,1,1,0.0,0.0,0.0,0.0,01/01/2027,31/12/2027
Nairobi,Tamarind Tree Hotel 27,,test,FALSE,0,FALSE,USD,Executive Single Suite,test,1,5,12,1,1,337.5,0.0,0.0,0.0,01/01/2027,31/12/2027
Nairobi,Tamarind Tree Hotel 27,,test,FALSE,0,FALSE,USD,Executive Single Suite,test,1,13,99,1,1,450.0,0.0,0.0,0.0,01/01/2027,31/12/2027
Nairobi,Tamarind Tree Hotel 27,,test,FALSE,0,FALSE,USD,Executive  Double Suite,test,2,0,4,1,2,0.0,0.0,0.0,0.0,01/01/2027,31/12/2027
Nairobi,Tamarind Tree Hotel 27,,test,FALSE,0,FALSE,USD,Executive  Double Suite,test,2,5,12,1,2,187.5,250.0,0.0,0.0,01/01/2027,31/12/2027
Nairobi,Tamarind Tree Hotel 27,,test,FALSE,0,FALSE,USD,Executive  Double Suite,test,2,13,99,1,2,250.0,250.0,0.0,0.0,01/01/2027,31/12/2027
Nairobi,Tamarind Tree Hotel 27,,test,FALSE,0,FALSE,USD,Superior Single Room,test,1,0,4,1,1,0.0,0.0,0.0,0.0,01/01/2027,31/12/2027
Nairobi,Tamarind Tree Hotel 27,,test,FALSE,0,FALSE,USD,Superior Single Room,test,1,5,12,1,1,300.0,0.0,0.0,0.0,01/01/2027,31/12/2027
Nairobi,Tamarind Tree Hotel 27,,test,FALSE,0,FALSE,USD,Superior Single Room,test,1,13,99,1,1,400.0,0.0,0.0,0.0,01/01/2027,31/12/2027
Nairobi,Tamarind Tree Hotel 27,,test,FALSE,0,FALSE,USD,Superior Double Room,test,2,0,4,1,2,0.0,0.0,0.0,0.0,01/01/2027,31/12/2027
Nairobi,Tamarind Tree Hotel 27,,test,FALSE,0,FALSE,USD,Superior Double Room,test,2,5,12,1,2,225.0,300.0,0.0,0.0,01/01/2027,31/12/2027
Nairobi,Tamarind Tree Hotel 27,,test,FALSE,0,FALSE,USD,Superior Double Room,test,2,13,99,1,2,300.0,300.0,0.0,0.0,01/01/2027,31/12/2027
Nairobi,Tamarind Tree Hotel 27,,test,FALSE,0,FALSE,USD,Family Room,test,4,0,4,1,4,0.0,0.0,0.0,0.0,01/01/2027,31/12/2027
Nairobi,Tamarind Tree Hotel 27,,test,FALSE,0,FALSE,USD,Family Room,test,4,5,12,1,4,131.25,175.0,0.0,0.0,01/01/2027,31/12/2027
Nairobi,Tamarind Tree Hotel 27,,test,FALSE,0,FALSE,USD,Family Room,test,4,13,99,1,4,175.0,175.0,0.0,0.0,01/01/2027,31/12/2027
