location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
Lake Nakuru,Sarova Lion Hill game Lodge,,test,FALSE,0,FALSE,USD,Standard Single Room,test,1,0,6,1,1,0.0,0.0,0.0,0.0,04/01/2026,28/02/2026
Lake Nakuru,Sarova Lion Hill game Lodge,,test,FALSE,0,FALSE,USD,Standard Single Room,test,1,7,12,1,1,32.25,0.0,0.0,0.0,04/01/2026,28/02/2026
Lake Nakuru,Sarova Lion Hill game Lodge,,test,FALSE,0,FALSE,USD,Standard Single Room,test,1,13,17,1,1,53.75,0.0,0.0,0.0,04/01/2026,28/02/2026
Lake Nakuru,Sarova Lion Hill game Lodge,,test,FALSE,0,FALSE,USD,Standard Single Room,test,1,18,99,1,1,215.0,0.0,0.0,0.0,04/01/2026,28/02/2026
Lake Nakuru,Sarova Lion Hill game Lodge,,test,FALSE,0,FALSE,USD,Standard Single Room,test,1,0,6,1,1,0.0,0.0,0.0,0.0,01/03/2026,31/03/2026
Lake Nakuru,Sarova Lion Hill game Lodge,,test,FALSE,0,FALSE,USD,Standard Single Room,test,1,7,12,1,1,22.65,0.0,0.0,0.0,01/03/2026,31/03/2026
Lake Nakuru,Sarova Lion Hill game Lodge,,test,FALSE,0,FALSE,USD,Standard Single Room,test,1,13,17,1,1,37.75,0.0,0.0,0.0,01/03/2026,31/03/2026
Lake Nakuru,Sarova Lion Hill game Lodge,,test,FALSE,0,FALSE,USD,Standard Single Room,test,1,18,99,1,1,151.0,0.0,0.0,0.0,01/03/2026,31/03/2026
Lake Nakuru,Sarova Lion Hill game Lodge,,test,FALSE,0,FALSE,USD,Standard Single Room,test,1,0,6,1,1,0.0,0.0,0.0,0.0,01/04/2026,02/04/2026
Lake Nakuru,Sarova Lion Hill game Lodge,,test,FALSE,0,FALSE,USD,Standard Single Room,test,1,7,12,1,1,14.25,0.0,0.0,0.0,01/04/2026,02/04/2026
Lake Nakuru,Sarova Lion Hill game Lodge,,test,FALSE,0,FALSE,USD,Standard Single Room,test,1,13,17,1,1,23.75,0.0,0.0,0.0,01/04/2026,02/04/2026
Lake Nakuru,Sarova Lion Hill game Lodge,,test,FALSE,0,FALSE,USD,Standard Single Room,test,1,18,99,1,1,95.0,0.0,0.0,0.0,01/04/2026,02/04/2026
Lake Nakuru,Sarova Lion Hill game Lodge,,test,FALSE,0,FALSE,USD,Standard Single Room,test,1,0,6,1,1,0.0,0.0,0.0,0.0,03/04/2026,06/04/2026
Lake Nakuru,Sarova Lion Hill game Lodge,,test,FALSE,0,FALSE,USD,Standard Single Room,test,1,7,12,1,1,32.25,0.0,0.0,0.0,03/04/2026,06/04/2026
Lake Nakuru,Sarova Lion Hill game Lodge,,test,FALSE,0,FALSE,USD,Standard Single Room,test,1,13,17,1,1,53.75,0.0,0.0,0.0,03/04/2026,06/04/2026
Lake Nakuru,Sarova Lion Hill game Lodge,,test,FALSE,0,FALSE,USD,Standard Single Room,test,1,18,99,1,1,215.0,0.0,0.0,0.0,03/04/2026,06/04/2026
Lake Nakuru,Sarova Lion Hill game Lodge,,test,FALSE,0,FALSE,USD,Standard Single Room,test,1,0,6,1,1,0.0,0.0,0.0,0.0,07/04/2026,31/05/2026
Lake Nakuru,Sarova Lion Hill game Lodge,,test,FALSE,0,FALSE,USD,Standard Single Room,test,1,7,12,1,1,14.25,0.0,0.0,0.0,07/04/2026,31/05/2026
Lake Nakuru,Sarova Lion Hill game Lodge,,test,FALSE,0,FALSE,USD,Standard Single Room,test,1,13,17,1,1,23.75,0.0,0.0,0.0,07/04/2026,31/05/2026
Lake Nakuru,Sarova Lion Hill game Lodge,,test,FALSE,0,FALSE,USD,Standard Single Room,test,1,18,99,1,1,95.0,0.0,0.0,0.0,07/04/2026,31/05/2026
Lake Nakuru,Sarova Lion Hill game Lodge,,test,FALSE,0,FALSE,USD,Standard Single Room,test,1,0,6,1,1,0.0,0.0,0.0,0.0,01/06/2026,14/06/2026
Lake Nakuru,Sarova Lion Hill game Lodge,,test,FALSE,0,FALSE,USD,Standard Single Room,test,1,7,12,1,1,22.65,0.0,0.0,0.0,01/06/2026,14/06/2026
Lake Nakuru,Sarova Lion Hill game Lodge,,test,FALSE,0,FALSE,USD,Standard Single Room,test,1,13,17,1,1,37.75,0.0,0.0,0.0,01/06/2026,14/06/2026
Lake Nakuru,Sarova Lion Hill game Lodge,,test,FALSE,0,FALSE,USD,Standard Single Room,test,1,18,99,1,1,151.0,0.0,0.0,0.0,01/06/2026,14/06/2026
Lake Nakuru,Sarova Lion Hill game Lodge,,test,FALSE,0,FALSE,USD,Standard Single Room,test,1,0,6,1,1,0.0,0.0,0.0,0.0,15/06/2026,30/09/2026
Lake Nakuru,Sarova Lion Hill game Lodge,,test,FALSE,0,FALSE,USD,Standard Single Room,test,1,7,12,1,1,54.0,0.0,0.0,0.0,15/06/2026,30/09/2026
Lake Nakuru,Sarova Lion Hill game Lodge,,test,FALSE,0,FALSE,USD,Standard Single Room,test,1,13,17,1,1,90.0,0.0,0.0,0.0,15/06/2026,30/09/2026
Lake Nakuru,Sarova Lion Hill game Lodge,,test,FALSE,0,FALSE,USD,Standard Single Room,test,1,18,99,1,1,360.0,0.0,0.0,0.0,15/06/2026,30/09/2026
Lake Nakuru,Sarova Lion Hill game Lodge,,test,FALSE,0,FALSE,USD,Standard Single Room,test,1,0,6,1,1,0.0,0.0,0.0,0.0,01/10/2026,31/10/2026
