location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
mto wa mbu,Siafu Serenity Lodge,,Test,FALSE,0,FALSE,USD,Single Room,test,1,0,4,1,1,0.0,0.0,0.0,0.0,01/01/2026,15/03/2026
mto wa mbu,Siafu Serenity Lodge,,Test,FALSE,0,FALSE,USD,Single Room,test,1,5,10,1,1,45.0,0.0,15.0,30.0,01/01/2026,15/03/2026
mto wa mbu,Siafu Serenity Lodge,,Test,FALSE,0,FALSE,USD,Single Room,test,1,11,15,1,1,67.5,0.0,15.0,30.0,01/01/2026,15/03/2026
mto wa mbu,Siafu Serenity Lodge,,Test,FALSE,0,FALSE,USD,Single Room,test,1,16,99,1,1,90.0,0.0,15.0,30.0,01/01/2026,15/03/2026
mto wa mbu,Siafu Serenity Lodge,,Test,FALSE,0,FALSE,USD,Single Room,test,1,0,4,1,1,0.0,0.0,0.0,0.0,16/03/2026,15/06/2026
mto wa mbu,Siafu Serenity Lodge,,Test,FALSE,0,FALSE,USD,Single Room,test,1,5,10,1,1,35.0,0.0,15.0,30.0,16/03/2026,15/06/2026
mto wa mbu,Siafu Serenity Lodge,,Test,FALSE,0,FALSE,USD,Single Room,test,1,11,15,1,1,52.5,0.0,15.0,30.0,16/03/2026,15/06/2026
mto wa mbu,Siafu Serenity Lodge,,Test,FALSE,0,FALSE,USD,Single Room,test,1,16,99,1,1,70.0,0.0,15.0,30.0,16/03/2026,15/06/2026
mto wa mbu,Siafu Serenity Lodge,,Test,FALSE,0,FALSE,USD,Single Room,test,1,0,4,1,1,0.0,0.0,0.0,0.0,16/06/2026,15/10/2026
mto wa mbu,Siafu Serenity Lodge,,Test,FALSE,0,FALSE,USD,Single Room,test,1,5,10,1,1,45.0,0.0,15.0,30.0,16/06/2026,15/10/2026
mto wa mbu,Siafu Serenity Lodge,,Test,FALSE,0,FALSE,USD,Single Room,test,1,11,15,1,1,67.5,0.0,15.0,30.0,16/06/2026,15/10/2026
