location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
Mafia Island,Banja Amani Lodge,,test,FALSE,0,FALSE,USD,Ocean Front  Double Room,test,2,0,3,1,2,0.0,0.0,0.0,0.0,16/01/2026,14/07/2026
Mafia Island,Banja Amani Lodge,,test,FALSE,0,FALSE,USD,Ocean Front  Double Room,test,2,4,12,1,2,72.5,145.0,0.0,0.0,16/01/2026,14/07/2026
Mafia Island,Banja Amani Lodge,,test,FALSE,0,FALSE,USD,Ocean Front  Double Room,test,2,13,99,1,2,145.0,145.0,0.0,0.0,16/01/2026,14/07/2026
Mafia Island,Banja Amani Lodge,,test,FALSE,0,FALSE,USD,Ocean Front  Double Room,test,2,0,3,1,2,0.0,0.0,0.0,0.0,15/07/2026,31/08/2026
Mafia Island,Banja Amani Lodge,,test,FALSE,0,FALSE,USD,Ocean Front  Double Room,test,2,4,12,1,2,80.0,160.0,0.0,0.0,15/07/2026,31/08/2026
Mafia Island,Banja Amani Lodge,,test,FALSE,0,FALSE,USD,Ocean Front  Double Room,test,2,13,99,1,2,160.0,160.0,0.0,0.0,15/07/2026,31/08/2026
Mafia Island,Banja Amani Lodge,,test,FALSE,0,FALSE,USD,Ocean Front  Double Room,test,2,0,3,1,2,0.0,0.0,0.0,0.0,01/09/2026,14/12/2026
Mafia Island,Banja Amani Lodge,,test,FALSE,0,FALSE,USD,Ocean Front  Double Room,test,2,4,12,1,2,72.5,145.0,0.0,0.0,01/09/2026,14/12/2026
Mafia Island,Banja Amani Lodge,,test,FALSE,0,FALSE,USD,Ocean Front  Double Room,test,2,13,99,1,2,145.0,145.0,0.0,0.0,01/09/2026,14/12/2026
Mafia Island,Banja Amani Lodge,,test,FALSE,0,FALSE,USD,Ocean Front  Double Room,test,2,0,3,1,2,0.0,0.0,0.0,0.0,15/12/2026,15/01/2027
Mafia Island,Banja Amani Lodge,,test,FALSE,0,FALSE,USD,Ocean Front  Double Room,test,2,4,12,1,2,80.0,160.0,0.0,0.0,15/12/2026,15/01/2027
Mafia Island,Banja Amani Lodge,,test,FALSE,0,FALSE,USD,Ocean Front  Double Room,test,2,13,99,1,2,160.0,160.0,0.0,0.0,15/12/2026,15/01/2027
Mafia Island,Banja Amani Lodge,,test,FALSE,0,FALSE,USD,Ocean Front  Triple Room,test,3,0,3,1,3,0.0,0.0,0.0,0.0,16/01/2026,14/07/2026
Mafia Island,Banja Amani Lodge,,test,FALSE,0,FALSE,USD,Ocean Front  Triple Room,test,3,4,12,1,3,24.16,48.33,0.0,0.0,16/01/2026,14/07/2026
Mafia Island,Banja Amani Lodge,,test,FALSE,0,FALSE,USD,Ocean Front  Triple Room,test,3,13,99,1,3,48.33,48.33,0.0,0.0,16/01/2026,14/07/2026
Mafia Island,Banja Amani Lodge,,test,FALSE,0,FALSE,USD,Ocean Front  Triple Room,test,3,0,3,1,3,0.0,0.0,0.0,0.0,15/07/2026,31/08/2026
Mafia Island,Banja Amani Lodge,,test,FALSE,0,FALSE,USD,Ocean Front  Triple Room,test,3,4,12,1,3,26.66,53.33,0.0,0.0,15/07/2026,31/08/2026
Mafia Island,Banja Amani Lodge,,test,FALSE,0,FALSE,USD,Ocean Front  Triple Room,test,3,13,99,1,3,53.33,53.33,0.0,0.0,15/07/2026,31/08/2026
Mafia Island,Banja Amani Lodge,,test,FALSE,0,FALSE,USD,Ocean Front  Triple Room,test,3,0,3,1,3,0.0,0.0,0.0,0.0,01/09/2026,14/12/2026
Mafia Island,Banja Amani Lodge,,test,FALSE,0,FALSE,USD,Ocean Front  Triple Room,test,3,4,12,1,3,24.16,48.33,0.0,0.0,01/09/2026,14/12/2026
Mafia Island,Banja Amani Lodge,,test,FALSE,0,FALSE,USD,Ocean Front  Triple Room,test,3,13,99,1,3,48.33,48.33,0.0,0.0,01/09/2026,14/12/2026
Mafia Island,Banja Amani Lodge,,test,FALSE,0,FALSE,USD,Ocean Front  Triple Room,test,3,0,3,1,3,0.0,0.0,0.0,0.0,15/12/2026,15/01/2027
