location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
Nairobi,Villa Rose Kempinski 27,,Test,FALSE,0,FALSE,USD,Superior  Single Room,Test,1,0,5,1,1,0.0,0.0,0.0,0.0,01/01/2027,31/12/2027
Nairobi,Villa Rose Kempinski 27,,Test,FALSE,0,FALSE,USD,Superior  Single Room,Test,1,6,12,1,1,110.0,0.0,0.0,0.0,01/01/2027,31/12/2027
Nairobi,Villa Rose Kempinski 27,,Test,FALSE,0,FALSE,USD,Superior  Single Room,Test,1,13,99,1,1,220.0,0.0,0.0,0.0,01/01/2027,31/12/2027
Nairobi,Villa Rose Kempinski 27,,Test,FALSE,0,FALSE,USD,Superior  Double Room,Test,2,0,5,1,2,0.0,0.0,0.0,0.0,01/01/2027,31/12/2027
Nairobi,Villa Rose Kempinski 27,,Test,FALSE,0,FALSE,USD,Superior  Double Room,Test,2,6,12,1,2,62.5,125.0,0.0,0.0,01/01/2027,31/12/2027
Nairobi,Villa Rose Kempinski 27,,Test,FALSE,0,FALSE,USD,Superior  Double Room,Test,2,13,99,1,2,125.0,125.0,0.0,0.0,01/01/2027,31/12/2027
Nairobi,Villa Rose Kempinski 27,,Test,FALSE,0,FALSE,USD,Deluxe Single Room,Test,1,0,5,1,1,0.0,0.0,0.0,0.0,01/01/2027,31/12/2027
Nairobi,Villa Rose Kempinski 27,,Test,FALSE,0,FALSE,USD,Deluxe Single Room,Test,1,6,12,1,1,125.0,0.0,0.0,0.0,01/01/2027,31/12/2027
Nairobi,Villa Rose Kempinski 27,,Test,FALSE,0,FALSE,USD,Deluxe Single Room,Test,1,13,99,1,1,250.0,0.0,0.0,0.0,01/01/2027,31/12/2027
Nairobi,Villa Rose Kempinski 27,,Test,FALSE,0,FALSE,USD,Deluxe Double Room,Test,2,0,5,1,2,0.0,0.0,0.0,0.0,01/01/2027,31/12/2027
Nairobi,Villa Rose Kempinski 27,,Test,FALSE,0,FALSE,USD,Deluxe Double Room,Test,2,6,12,1,2,70.0,140.0,0.0,0.0,01/01/2027,31/12/2027
Nairobi,Villa Rose Kempinski 27,,Test,FALSE,0,FALSE,USD,Deluxe Double Room,Test,2,13,99,1,2,140.0,140.0,0.0,0.0,01/01/2027,31/12/2027
Nairobi,Villa Rose Kempinski 27,,Test,FALSE,0,FALSE,USD,Balcony Deluxe Single Room,Test,1,0,5,1,1,0.0,0.0,0.0,0.0,01/01/2027,31/12/2027
Nairobi,Villa Rose Kempinski 27,,Test,FALSE,0,FALSE,USD,Balcony Deluxe Single Room,Test,1,6,12,1,1,140.0,0.0,0.0,0.0,01/01/2027,31/12/2027
Nairobi,Villa Rose Kempinski 27,,Test,FALSE,0,FALSE,USD,Balcony Deluxe Single Room,Test,1,13,99,1,1,280.0,0.0,0.0,0.0,01/01/2027,31/12/2027
Nairobi,Villa Rose Kempinski 27,,Test,FALSE,0,FALSE,USD,Balcony Deluxe Double Room,Test,2,0,5,1,2,0.0,0.0,0.0,0.0,01/01/2027,31/12/2027
Nairobi,Villa Rose Kempinski 27,,Test,FALSE,0,FALSE,USD,Balcony Deluxe Double Room,Test,2,6,12,1,2,77.5,155.0,0.0,0.0,01/01/2027,31/12/2027
Nairobi,Villa Rose Kempinski 27,,Test,FALSE,0,FALSE,USD,Balcony Deluxe Double Room,Test,2,13,99,1,2,155.0,155.0,0.0,0.0,01/01/2027,31/12/2027
Nairobi,Villa Rose Kempinski 27,,Test,FALSE,0,FALSE,USD,Executive Single Room,Test,1,0,5,1,1,0.0,0.0,0.0,0.0,01/01/2027,31/12/2027
