location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
Nairobi,Enkorok Safari Camp 27,,Test,FALSE,0,FALSE,USD,Double Room,Test,1,0,2,1,1,0.0,0.0,0.0,0.0,03/01/2026,31/03/2026
Nairobi,Enkorok Safari Camp 27,,Test,FALSE,0,FALSE,USD,Double Room,Test,1,3,12,1,1,105.0,0.0,0.0,0.0,03/01/2026,31/03/2026
Nairobi,Enkorok Safari Camp 27,,Test,FALSE,0,FALSE,USD,Double Room,Test,1,13,17,1,1,157.5,0.0,0.0,0.0,03/01/2026,31/03/2026
Nairobi,Enkorok Safari Camp 27,,Test,FALSE,0,FALSE,USD,Double Room,Test,1,18,99,1,1,210.0,0.0,0.0,0.0,03/01/2026,31/03/2026
Nairobi,Enkorok Safari Camp 27,,Test,FALSE,0,FALSE,USD,Double Room,Test,1,0,2,1,1,0.0,0.0,0.0,0.0,01/04/2026,31/05/2026
Nairobi,Enkorok Safari Camp 27,,Test,FALSE,0,FALSE,USD,Double Room,Test,1,3,12,1,1,80.0,0.0,0.0,0.0,01/04/2026,31/05/2026
Nairobi,Enkorok Safari Camp 27,,Test,FALSE,0,FALSE,USD,Double Room,Test,1,13,17,1,1,120.0,0.0,0.0,0.0,01/04/2026,31/05/2026
Nairobi,Enkorok Safari Camp 27,,Test,FALSE,0,FALSE,USD,Double Room,Test,1,18,99,1,1,160.0,0.0,0.0,0.0,01/04/2026,31/05/2026
Nairobi,Enkorok Safari Camp 27,,Test,FALSE,0,FALSE,USD,Double Room,Test,1,0,2,1,1,0.0,0.0,0.0,0.0,01/06/2026,30/06/2026
Nairobi,Enkorok Safari Camp 27,,Test,FALSE,0,FALSE,USD,Double Room,Test,1,3,12,1,1,105.0,0.0,0.0,0.0,01/06/2026,30/06/2026
