location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
Masai Mara,Mara Enkaji,,Test,FALSE,0,FALSE,USD,Deluxe Tented Cottage Single Room,Test,1,0,3,1,1,0.0,0.0,0.0,0.0,18/01/2026,30/06/2026
Masai Mara,Mara Enkaji,,Test,FALSE,0,FALSE,USD,Deluxe Tented Cottage Single Room,Test,1,4,11,1,1,80.0,0.0,0.0,0.0,18/01/2026,30/06/2026
Masai Mara,Mara Enkaji,,Test,FALSE,0,FALSE,USD,Deluxe Tented Cottage Single Room,Test,1,12,99,1,1,364.0,0.0,0.0,0.0,18/01/2026,30/06/2026
Masai Mara,Mara Enkaji,,Test,FALSE,0,FALSE,USD,Deluxe Tented Cottage Single Room,Test,1,0,3,1,1,0.0,0.0,0.0,0.0,01/07/2026,30/09/2026
Masai Mara,Mara Enkaji,,Test,FALSE,0,FALSE,USD,Deluxe Tented Cottage Single Room,Test,1,4,11,1,1,96.0,0.0,0.0,0.0,01/07/2026,30/09/2026
Masai Mara,Mara Enkaji,,Test,FALSE,0,FALSE,USD,Deluxe Tented Cottage Single Room,Test,1,12,99,1,1,485.0,0.0,0.0,0.0,01/07/2026,30/09/2026
Masai Mara,Mara Enkaji,,Test,FALSE,0,FALSE,USD,Deluxe Tented Cottage Single Room,Test,1,0,3,1,1,0.0,0.0,0.0,0.0,01/10/2026,31/12/2026
Masai Mara,Mara Enkaji,,Test,FALSE,0,FALSE,USD,Deluxe Tented Cottage Single Room,Test,1,4,11,1,1,96.0,0.0,0.0,0.0,01/10/2026,31/12/2026
Masai Mara,Mara Enkaji,,Test,FALSE,0,FALSE,USD,Deluxe Tented Cottage Single Room,Test,1,12,99,1,1,485.0,0.0,0.0,0.0,01/10/2026,31/12/2026
Masai Mara,Mara Enkaji,,Test,FALSE,0,FALSE,USD,Deluxe Tented Cottage Double Room,Test,2,0,3,1,2,0.0,0.0,0.0,0.0,18/01/2026,30/06/2026
Masai Mara,Mara Enkaji,,Test,FALSE,0,FALSE,USD,Deluxe Tented Cottage Double Room,Test,2,4,11,1,2,80.0,333.5,0.0,0.0,18/01/2026,30/06/2026
Masai Mara,Mara Enkaji,,Test,FALSE,0,FALSE,USD,Deluxe Tented Cottage Double Room,Test,2,12,99,1,2,333.5,333.5,0.0,0.0,18/01/2026,30/06/2026
Masai Mara,Mara Enkaji,,Test,FALSE,0,FALSE,USD,Deluxe Tented Cottage Double Room,Test,2,0,3,1,2,0.0,0.0,0.0,0.0,01/07/2026,30/09/2026
Masai Mara,Mara Enkaji,,Test,FALSE,0,FALSE,USD,Deluxe Tented Cottage Double Room,Test,2,4,11,1,2,96.0,424.0,0.0,0.0,01/07/2026,30/09/2026
Masai Mara,Mara Enkaji,,Test,FALSE,0,FALSE,USD,Deluxe Tented Cottage Double Room,Test,2,12,99,1,2,424.0,424.0,0.0,0.0,01/07/2026,30/09/2026
Masai Mara,Mara Enkaji,,Test,FALSE,0,FALSE,USD,Deluxe Tented Cottage Double Room,Test,2,0,3,1,2,0.0,0.0,0.0,0.0,01/10/2026,31/12/2026
Masai Mara,Mara Enkaji,,Test,FALSE,0,FALSE,USD,Deluxe Tented Cottage Double Room,Test,2,4,11,1,2,96.0,424.0,0.0,0.0,01/10/2026,31/12/2026
Masai Mara,Mara Enkaji,,Test,FALSE,0,FALSE,USD,Deluxe Tented Cottage Double Room,Test,2,12,99,1,2,424.0,424.0,0.0,0.0,01/10/2026,31/12/2026
