location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
Masai Mara,Mara Enkaji 27,,Test,FALSE,0,FALSE,USD,Deluxe Tented Cottage Single Room,Test,1,0,3,1,1,0.0,0.0,0.0,0.0,18/01/2027,30/06/2027
Masai Mara,Mara Enkaji 27,,Test,FALSE,0,FALSE,USD,Deluxe Tented Cottage Single Room,Test,1,4,11,1,1,100.0,0.0,0.0,0.0,18/01/2027,30/06/2027
Masai Mara,Mara Enkaji 27,,Test,FALSE,0,FALSE,USD,Deluxe Tented Cottage Single Room,Test,1,12,99,1,1,330.0,0.0,0.0,0.0,18/01/2027,30/06/2027
Masai Mara,Mara Enkaji 27,,Test,FALSE,0,FALSE,USD,Deluxe Tented Cottage Single Room,Test,1,0,3,1,1,0.0,0.0,0.0,0.0,01/07/2027,30/09/2027
Masai Mara,Mara Enkaji 27,,Test,FALSE,0,FALSE,USD,Deluxe Tented Cottage Single Room,Test,1,4,11,1,1,120.0,0.0,0.0,0.0,01/07/2027,30/09/2027
Masai Mara,Mara Enkaji 27,,Test,FALSE,0,FALSE,USD,Deluxe Tented Cottage Single Room,Test,1,12,99,1,1,484.0,0.0,0.0,0.0,01/07/2027,30/09/2027
Masai Mara,Mara Enkaji 27,,Test,FALSE,0,FALSE,USD,Deluxe Tented Cottage Single Room,Test,1,0,3,1,1,0.0,0.0,0.0,0.0,01/10/2027,31/12/2027
Masai Mara,Mara Enkaji 27,,Test,FALSE,0,FALSE,USD,Deluxe Tented Cottage Single Room,Test,1,4,11,1,1,120.0,0.0,0.0,0.0,01/10/2027,31/12/2027
Masai Mara,Mara Enkaji 27,,Test,FALSE,0,FALSE,USD,Deluxe Tented Cottage Single Room,Test,1,12,99,1,1,484.0,0.0,0.0,0.0,01/10/2027,31/12/2027
Masai Mara,Mara Enkaji 27,,Test,FALSE,0,FALSE,USD,Deluxe Tented Cottage Double Room,Test,2,0,3,1,2,0.0,0.0,0.0,0.0,18/01/2027,30/06/2027
Masai Mara,Mara Enkaji 27,,Test,FALSE,0,FALSE,USD,Deluxe Tented Cottage Double Room,Test,2,4,11,1,2,100.0,302.5,0.0,0.0,18/01/2027,30/06/2027
Masai Mara,Mara Enkaji 27,,Test,FALSE,0,FALSE,USD,Deluxe Tented Cottage Double Room,Test,2,12,99,1,2,302.5,302.5,0.0,0.0,18/01/2027,30/06/2027
Masai Mara,Mara Enkaji 27,,Test,FALSE,0,FALSE,USD,Deluxe Tented Cottage Double Room,Test,2,0,3,1,2,0.0,0.0,0.0,0.0,01/07/2027,30/09/2027
Masai Mara,Mara Enkaji 27,,Test,FALSE,0,FALSE,USD,Deluxe Tented Cottage Double Room,Test,2,4,11,1,2,120.0,423.5,0.0,0.0,01/07/2027,30/09/2027
Masai Mara,Mara Enkaji 27,,Test,FALSE,0,FALSE,USD,Deluxe Tented Cottage Double Room,Test,2,12,99,1,2,423.5,423.5,0.0,0.0,01/07/2027,30/09/2027
Masai Mara,Mara Enkaji 27,,Test,FALSE,0,FALSE,USD,Deluxe Tented Cottage Double Room,Test,2,0,3,1,2,0.0,0.0,0.0,0.0,01/10/2027,31/12/2027
Masai Mara,Mara Enkaji 27,,Test,FALSE,0,FALSE,USD,Deluxe Tented Cottage Double Room,Test,2,4,11,1,2,120.0,423.5,0.0,0.0,01/10/2027,31/12/2027
Masai Mara,Mara Enkaji 27,,Test,FALSE,0,FALSE,USD,Deluxe Tented Cottage Double Room,Test,2,12,99,1,2,423.5,423.5,0.0,0.0,01/10/2027,31/12/2027
Masai Mara,Mara Enkaji 27,,Test,FALSE,0,FALSE,USD,Deluxe Tented Cottage Triple Room,Test,3,0,3,1,3,0.0,0.0,0.0,0.0,18/01/2027,30/06/2027
Masai Mara,Mara Enkaji 27,,Test,FALSE,0,FALSE,USD,Deluxe Tented Cottage Triple Room,Test,3,4,11,1,3,100.0,256.67,0.0,0.0,18/01/2027,30/06/2027
Masai Mara,Mara Enkaji 27,,Test,FALSE,0,FALSE,USD,Deluxe Tented Cottage Triple Room,Test,3,12,99,1,3,256.67,256.67,0.0,0.0,18/01/2027,30/06/2027
Masai Mara,Mara Enkaji 27,,Test,FALSE,0,FALSE,USD,Deluxe Tented Cottage Triple Room,Test,3,0,3,1,3,0.0,0.0,0.0,0.0,01/07/2027,30/09/2027
