location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
Nairobi,Salt Lick Safari Lodge,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,0,4,1,1,0.0,0.0,0.0,0.0,02/01/2026,31/03/2026
Nairobi,Salt Lick Safari Lodge,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,5,11,1,1,118.5,0.0,0.0,0.0,02/01/2026,31/03/2026
Nairobi,Salt Lick Safari Lodge,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,12,99,1,1,237.0,0.0,0.0,0.0,02/01/2026,31/03/2026
Nairobi,Salt Lick Safari Lodge,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,0,4,1,1,0.0,0.0,0.0,0.0,01/04/2026,30/06/2026
Nairobi,Salt Lick Safari Lodge,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,5,11,1,1,58.0,0.0,0.0,0.0,01/04/2026,30/06/2026
Nairobi,Salt Lick Safari Lodge,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,12,99,1,1,116.0,0.0,0.0,0.0,01/04/2026,30/06/2026
Nairobi,Salt Lick Safari Lodge,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,0,4,1,1,0.0,0.0,0.0,0.0,01/07/2026,01/01/2027
Nairobi,Salt Lick Safari Lodge,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,5,11,1,1,118.5,0.0,0.0,0.0,01/07/2026,01/01/2027
Nairobi,Salt Lick Safari Lodge,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,12,99,1,1,237.0,0.0,0.0,0.0,01/07/2026,01/01/2027
Nairobi,Salt Lick Safari Lodge,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,0,4,1,2,0.0,0.0,0.0,0.0,02/01/2026,31/03/2026
Nairobi,Salt Lick Safari Lodge,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,5,11,1,2,79.0,158.0,0.0,0.0,02/01/2026,31/03/2026
Nairobi,Salt Lick Safari Lodge,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,12,99,1,2,158.0,158.0,0.0,0.0,02/01/2026,31/03/2026
Nairobi,Salt Lick Safari Lodge,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,0,4,1,2,0.0,0.0,0.0,0.0,01/04/2026,30/06/2026
Nairobi,Salt Lick Safari Lodge,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,5,11,1,2,57.75,115.5,0.0,0.0,01/04/2026,30/06/2026
Nairobi,Salt Lick Safari Lodge,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,12,99,1,2,115.5,115.5,0.0,0.0,01/04/2026,30/06/2026
Nairobi,Salt Lick Safari Lodge,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,0,4,1,2,0.0,0.0,0.0,0.0,01/07/2026,01/01/2027
Nairobi,Salt Lick Safari Lodge,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,5,11,1,2,79.0,158.0,0.0,0.0,01/07/2026,01/01/2027
Nairobi,Salt Lick Safari Lodge,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,12,99,1,2,158.0,158.0,0.0,0.0,01/07/2026,01/01/2027
Nairobi,Salt Lick Safari Lodge,,Test,FALSE,0,FALSE,USD,Triple Room,Test,3,0,4,1,3,0.0,0.0,0.0,0.0,02/01/2026,31/03/2026
Nairobi,Salt Lick Safari Lodge,,Test,FALSE,0,FALSE,USD,Triple Room,Test,3,5,11,1,3,68.5,137.0,0.0,0.0,02/01/2026,31/03/2026
Nairobi,Salt Lick Safari Lodge,,Test,FALSE,0,FALSE,USD,Triple Room,Test,3,12,99,1,3,137.0,137.0,0.0,0.0,02/01/2026,31/03/2026
Nairobi,Salt Lick Safari Lodge,,Test,FALSE,0,FALSE,USD,Triple Room,Test,3,0,4,1,3,0.0,0.0,0.0,0.0,01/04/2026,30/06/2026
Nairobi,Salt Lick Safari Lodge,,Test,FALSE,0,FALSE,USD,Triple Room,Test,3,5,11,1,3,50.0,100.0,0.0,0.0,01/04/2026,30/06/2026
Nairobi,Salt Lick Safari Lodge,,Test,FALSE,0,FALSE,USD,Triple Room,Test,3,12,99,1,3,100.0,100.0,0.0,0.0,01/04/2026,30/06/2026
Nairobi,Salt Lick Safari Lodge,,Test,FALSE,0,FALSE,USD,Triple Room,Test,3,0,4,1,3,0.0,0.0,0.0,0.0,01/07/2026,01/01/2027
Nairobi,Salt Lick Safari Lodge,,Test,FALSE,0,FALSE,USD,Triple Room,Test,3,5,11,1,3,68.5,137.0,0.0,0.0,01/07/2026,01/01/2027
Nairobi,Salt Lick Safari Lodge,,Test,FALSE,0,FALSE,USD,Triple Room,Test,3,12,99,1,3,137.0,137.0,0.0,0.0,01/07/2026,01/01/2027
